identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF03/0001/A071,PT,44.387275,10.921598,10.0,66701.0,-26912.5
PF18/0001/A071,PT,44.380675,10.918383,52.0,65961.933,-27151.356
PF19/0001/A071,PT,44.383851,10.913864,52.0,66306.226,-27519.576
PF21/0001/A071,PT,44.378688,10.918024,20.0,65740.547,-27174.834
PF02/0002/A071,PT,44.380194,10.90873,52.0,65890.478,-27919.137
PF05/0002/A071,PT,44.376923,10.923363,52.0,65554.388,-26744.863
PF22/0002/A071,PT,44.374632,10.918649,52.0,65291.115,-27114.489
PF27/0002/A071,PT,44.37579,10.913276,21.0,65409.734,-27545.57
PF28/0002/A071,PT,44.373544,10.906121,21.0,65146.987,-28109.75
PF29/0002/A071,PT,44.371904,10.913912,20.0,64979.24,-27484.78
PF30/0002/A071,PT,44.372538,10.920732,21.0,65062.457,-26943.034
PF31/0002/A071,PT,44.378055,10.909073,20.0,65653.507,-27886.283
PF14/0003/A071,PT,44.374415,10.93337,52.0,65294.631,-25941.076
PF15/0003/A071,PT,44.375949,10.936094,52.0,65470.091,-25728.026
PF18/0003/A071,PT,44.373626,10.927695,52.0,65196.265,-26391.161
PF24/0003/A071,PT,44.378036,10.92809,10.0,65686.9,-26371.2
PF25/0003/A071,PT,44.381595,10.929383,21.0,66084.7,-26277.5
PF26/0003/A071,PT,44.375986,10.926513,10.0,65456.22,-26491.464
PF27/0003/A071,PT,44.379792,10.925014,20.0,65876.185,-26620.813
PF29/0003/A071,PT,44.378427,10.932952,21.0,65739.425,-25984.909
PF33/0003/A071,PT,44.375839,10.929729,20.0,65445.957,-26234.856
PF02/0004/A071,PT,44.37243,10.911283,52.0,65032.827,-27695.635
PF04/0004/A071,PT,44.37006,10.905143,10.0,64758.2,-28178.7
PF06/0004/A071,PT,44.368907,10.912958,52.0,64644.565,-27552.974
PF11/0004/A071,PT,44.367198,10.921724,52.0,64471.175,-26850.086
PF18/0004/A071,PT,44.368711,10.918302,10.0,64632.772,-27126.709
PF21/0004/A071,PT,44.369624,10.909193,21.0,64717.222,-27854.884
PF22/0004/A071,PT,44.370584,10.916923,21.0,64838.227,-27241.451
PF05/0005/A071,PT,44.369679,10.923852,52.0,64750.689,-26687.012
PF06/0005/A071,PT,44.371807,10.926127,52.0,64991.366,-26511.308
PF13/0005/A071,PT,44.370439,10.930579,52.0,64847.69,-26153.032
PF15/0005/A071,PT,44.367544,10.930294,52.0,64525.658,-26168.154
PF16/0005/A071,PT,44.364725,10.933656,52.0,64218.772,-25892.854
PF18/0005/A071,PT,44.37312,10.92313,52.0,65131.527,-26753.552
PF19/0005/A071,PT,44.367392,10.925064,21.0,64498.871,-26584.502
PF22/0005/A071,PT,44.370537,10.934007,21.0,64865.09,-25880.128
PF01/0006/A071,PT,44.366829,10.939975,52.0,64464.458,-25394.875
PF04/0006/A071,PT,44.363093,10.936385,52.0,64042.609,-25671.103
PF08/0006/A071,PT,44.36509,10.947979,52.0,64286.388,-24752.51
PF12/0006/A071,PT,44.367545,10.934791,12.0,64534.2,-25809.8
PF13/0006/A071,PT,44.3673,10.946059,52.0,64528.251,-24911.344
PF15/0006/A071,PT,44.364854,10.937716,21.0,64240.746,-25569.697
PF16/0006/A071,PT,44.362202,10.939062,21.0,63948.739,-25455.441
PF18/0006/A071,PT,44.364982,10.944288,20.0,64267.409,-25046.369
PF01/0007/A071,PT,44.36669,10.904766,52.0,64383.098,-28200.034
PF02/0007/A071,PT,44.365992,10.910527,52.0,64316.261,-27739.184
PF04/0007/A071,PT,44.364164,10.914345,52.0,64120.319,-27430.221
PF06/0007/A071,PT,44.363638,10.90732,52.0,64048.846,-27988.585
PF08/0007/A071,PT,44.360007,10.909365,52.0,63649.314,-27816.247
PF09/0007/A071,PT,44.359262,10.91374,52.0,63574.69,-27465.688
PF14/0007/A071,PT,44.355347,10.909442,20.0,63131.807,-27798.078
PF02/0008/A071,PT,44.364086,10.91823,52.0,64118.89,-27120.417
PF07/0008/A071,PT,44.356138,10.918598,52.0,63236.707,-27070.418
PF08/0008/A071,PT,44.355637,10.914698,52.0,63173.818,-27379.964
PF10/0008/A071,PT,44.353341,10.914287,52.0,62917.992,-27406.73
PF14/0008/A071,PT,44.358144,10.917606,52.0,63457.71,-27154.713
PF15/0008/A071,PT,44.359942,10.921716,52.0,63665.078,-26831.84
PF16/0008/A071,PT,44.354875,10.92399,21.0,63106.585,-26637.434
