identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0002/A035,PU,44.479011,11.810515,72.0,-5881.174,4569.823
PF03/0002/A035,PU,44.474774,11.810784,12.0,-6352.0,4591.5
PF01/0004/A035,PU,44.464211,11.804957,54.0,-7525.878,4128.68
PF02/0004/A035,PU,44.465614,11.798946,52.0,-7370.282,3650.356
PF03/0004/A035,PU,44.46866,11.802936,50.0,-7031.727,3967.63
PF04/0004/A035,PU,44.467697,11.798306,52.0,-7138.894,3599.279
PF05/0004/A035,PU,44.469448,11.796162,50.0,-6944.429,3428.588
PF03/0006/A035,PU,44.460059,11.817536,52.0,-7986.513,5129.938
PF01/0007/A035,PU,44.456548,11.802614,52.0,-8377.492,3942.773
PF02/0007/A035,PU,44.453514,11.801939,52.0,-8714.592,3889.31
PF03/0007/A035,PU,44.451495,11.795712,52.0,-8939.174,3393.837
PF04/0007/A035,PU,44.453636,11.795178,52.0,-8701.354,3351.211
PF01/0008/A035,PU,44.457595,11.812169,8.0,-8260.62,4703.12
PF02/0008/A035,PU,44.459203,11.810167,52.0,-8082.121,4543.662
PF03/0008/A035,PU,44.45758,11.811983,52.0,-8262.333,4688.283
PF01/0009/A035,PU,44.44995,11.824328,32.0,-9109.251,5671.385
PF03/0009/A035,PU,44.458199,11.815881,52.0,-8193.3,4998.449
PF01/0011/A035,PU,44.449803,11.767632,12.0,-9127.99,1159.133
PF01/0012/A035,PU,44.449466,11.77741,72.0,-9165.242,1937.331
PF02/0012/A035,PU,44.450553,11.782841,52.0,-9044.378,2369.505
PF03/0012/A035,PU,44.45343,11.779994,72.0,-8724.747,2142.85
PF02/0013/A035,PU,44.448005,11.792078,52.0,-9327.096,3104.804
PF03/0013/A035,PU,44.442801,11.791494,52.0,-9905.373,3058.608
PF04/0013/A035,PU,44.441236,11.786158,52.0,-10079.449,2633.952
PF05/0013/A035,PU,44.451529,11.792113,52.0,-8935.619,3107.39
PF07/0013/A035,PU,44.448851,11.786956,52.0,-9233.306,2697.074
PF02/0014/A035,PU,44.450693,11.803378,52.0,-9027.92,4003.97
PF06/0014/A035,PU,44.443597,11.80557,52.0,-9816.24,4178.957
PF07/0014/A035,PU,44.441116,11.802888,52.0,-10092.075,3965.633
PF08/0014/A035,PU,44.441632,11.798181,52.0,-10034.975,3590.928
PF09/0014/A035,PU,44.44915,11.797364,52.0,-9199.639,3525.465
PF10/0014/A035,PU,44.444718,11.802098,52.0,-9691.958,3902.49
PF01/0015/A035,PU,44.452781,11.807811,52.0,-8795.751,4356.638
PF04/0015/A035,PU,44.448781,11.811346,72.0,-9239.969,4638.304
PF05/0015/A035,PU,44.447373,11.809871,52.0,-9396.494,4520.972
PF06/0015/A035,PU,44.445048,11.807975,52.0,-9654.96,4370.297
PF07/0015/A035,PU,44.442908,11.808854,52.0,-9892.622,4440.407
PF09/0015/A035,PU,44.447495,11.813702,50.0,-9382.743,4825.934
PF11/0015/A035,PU,44.450689,11.807869,52.0,-9028.192,4361.418
PF13/0015/A035,PU,44.442451,11.815011,50.0,-9943.144,4930.559
PF14/0015/A035,PU,44.450484,11.814507,52.0,-9050.537,4889.722
PF15/0015/A035,PU,44.447471,11.806025,52.0,-9385.836,4214.856
PF03/0016/A035,PU,44.446596,11.815306,50.0,-9482.543,4953.67
PF06/0016/A035,PU,44.446074,11.824109,52.0,-9539.999,5654.326
PF08/0016/A035,PU,44.445238,11.827405,8.0,-9632.65,5916.79
PF10/0016/A035,PU,44.447178,11.833072,52.0,-9416.598,6367.627
PF14/0016/A035,PU,44.44557,11.820295,52.0,-9596.218,5350.865
PF16/0016/A035,PU,44.448811,11.816311,50.0,-9236.384,5033.449
PF17/0016/A035,PU,44.4445,11.816471,52.0,-9715.306,5046.539
PF18/0016/A035,PU,44.444972,11.831074,52.0,-9661.844,6208.837
PF19/0016/A035,PU,44.443386,11.827489,52.0,-9838.416,5923.644
PF20/0016/A035,PU,44.446136,11.83398,52.0,-9532.392,6440.005
PF21/0016/A035,PU,44.444206,11.824683,52.0,-9747.452,5700.231
PF02/0017/A035,PU,44.445038,11.697378,72.0,-9656.039,-4432.665
PF03/0017/A035,PU,44.444781,11.686321,52.0,-9683.929,-5312.775
PF04/0017/A035,PU,44.45256,11.685422,52.0,-8819.525,-5383.595
PF05/0017/A035,PU,44.446266,11.68471,72.0,-9518.844,-5440.853
PF01/0018/A035,PU,44.443427,11.674864,8.0,-9833.51,-6224.78
PF02/0018/A035,PU,44.440994,11.678984,70.0,-10104.123,-5897.145
PF03/0018/A035,PU,44.439667,11.683989,70.0,-10251.928,-5498.837
PF04/0018/A035,PU,44.443613,11.677524,52.0,-9813.126,-6013.057
PF02/0019/A035,PU,44.44657,11.69003,72.0,-9485.412,-5017.38
PF03/0019/A035,PU,44.43843,11.698159,72.0,-10390.26,-4370.979
PF04/0019/A035,PU,44.440674,11.698482,52.0,-10140.902,-4345.068
PF05/0019/A035,PU,44.439685,11.690658,72.0,-10250.437,-4967.975
PF06/0019/A035,PU,44.442014,11.692095,72.0,-9991.748,-4853.426
PF02/0020/A035,PU,44.443013,11.706485,52.0,-9881.457,-3707.875
PF03/0020/A035,PU,44.438654,11.706579,52.0,-10365.787,-3700.726
PF04/0020/A035,PU,44.436263,11.712023,52.0,-10631.68,-3267.451
PF05/0020/A035,PU,44.446405,11.712273,52.0,-9504.836,-3247.004
PF01/0021/A035,PU,44.449365,11.72032,52.0,-9176.221,-2606.373
PF03/0021/A035,PU,44.452165,11.723914,52.0,-8865.282,-2320.249
PF01/0022/A035,PU,44.441671,11.726788,7.0,-10031.27,-2091.87
PF02/0022/A035,PU,44.438078,11.726489,72.0,-10430.538,-2115.853
PF03/0022/A035,PU,44.443971,11.72149,52.0,-9775.573,-2513.481
PF05/0022/A035,PU,44.446482,11.717773,52.0,-9496.443,-2809.264
PF01/0023/A035,PU,44.445437,11.731312,52.0,-9612.991,-1731.653
PF02/0023/A035,PU,44.443317,11.727038,52.0,-9848.406,-2071.918
PF03/0023/A035,PU,44.444161,11.738668,52.0,-9754.822,-1146.233
PF01/0024/A035,PU,44.435596,11.672894,70.0,-10703.504,-6382.495
PF03/0024/A035,PU,44.430729,11.673286,52.0,-11244.255,-6351.795
PF01/0026/A035,PU,44.437094,11.68414,52.0,-10537.816,-5487.032
PF02/0026/A035,PU,44.43383,11.695601,70.0,-10901.196,-4574.944
PF01/0027/A035,PU,44.431175,11.701281,52.0,-11196.49,-4122.94
PF01/0028/A035,PU,44.433676,11.71018,52.0,-10919.024,-3414.376
PF02/0028/A035,PU,44.429629,11.701888,72.0,-11368.276,-4074.726
PF03/0028/A035,PU,44.427799,11.705028,52.0,-11571.762,-3824.873
PF02/0029/A035,PU,44.432812,11.718791,52.0,-11015.336,-2728.862
PF03/0029/A035,PU,44.433138,11.715016,52.0,-10979.053,-3029.345
PF04/0029/A035,PU,44.431146,11.713058,72.0,-11200.302,-3185.397
PF05/0029/A035,PU,44.436318,11.713155,72.0,-10625.602,-3177.349
PF01/0030/A035,PU,44.434011,11.727403,72.0,-10882.43,-2043.228
PF02/0030/A035,PU,44.434987,11.73186,52.0,-10774.035,-1688.329
PF03/0030/A035,PU,44.43244,11.725011,52.0,-11056.91,-2233.659
PF04/0030/A035,PU,44.433457,11.737579,50.0,-10944.11,-1233.08
PF05/0030/A035,PU,44.430719,11.727819,72.0,-11248.225,-2010.222
PF01/0031/A035,PU,44.440023,11.731832,52.0,-10214.509,-1690.419
PF02/0031/A035,PU,44.437993,11.739406,52.0,-10440.234,-1087.589
PF03/0031/A035,PU,44.437162,11.746092,50.0,-10532.551,-555.392
PF03/0033/A035,PU,44.415283,11.673993,52.0,-12960.544,-6297.131
PF04/0033/A035,PU,44.40945,11.671897,52.0,-13608.422,-6464.753
PF01/0034/A035,PU,44.417786,11.679959,8.0,-12682.9,-5821.81
PF03/0034/A035,PU,44.423114,11.675133,72.0,-12090.501,-6205.557
PF04/0034/A035,PU,44.418242,11.67555,52.0,-12631.85,-6172.859
PF05/0034/A035,PU,44.42051,11.677722,12.0,-12380.0,-5999.7
PF06/0034/A035,PU,44.424564,11.678445,12.0,-11929.6,-5941.7
PF07/0034/A035,PU,44.428002,11.67086,52.0,-11547.065,-6545.258
PF08/0034/A035,PU,44.425976,11.669307,52.0,-11772.015,-6669.113
PF01/0036/A035,PU,44.419534,11.682649,70.0,-12488.763,-5607.465
PF02/0036/A035,PU,44.419114,11.692769,52.0,-12536.169,-4801.661
PF02/0037/A035,PU,44.425081,11.704398,52.0,-11873.735,-3875.206
PF03/0037/A035,PU,44.425392,11.701426,52.0,-11839.008,-4111.792
PF04/0037/A035,PU,44.4214,11.70544,72.0,-12282.823,-3792.49
PF03/0038/A035,PU,44.410944,11.70394,52.0,-13444.44,-3912.592
PF04/0038/A035,PU,44.417606,11.695931,72.0,-12703.841,-4549.942
PF05/0038/A035,PU,44.414617,11.698254,50.0,-13036.139,-4365.169
PF06/0038/A035,PU,44.421709,11.699231,70.0,-12248.142,-4286.884
PF07/0038/A035,PU,44.419101,11.699215,50.0,-12537.901,-4288.317
PF08/0038/A035,PU,44.415383,11.707415,52.0,-12951.407,-3635.589
PF01/0039/A035,PU,44.419367,11.718323,72.0,-12509.247,-2766.757
PF03/0039/A035,PU,44.425786,11.71387,72.0,-11795.788,-3120.971
PF01/0040/A035,PU,44.422997,11.722619,72.0,-12106.054,-2424.521
PF02/0040/A035,PU,44.429955,11.720868,72.0,-11332.818,-2563.671
PF02/0041/A035,PU,44.427265,11.726982,72.0,-11631.88,-2076.986
PF03/0041/A035,PU,44.424767,11.732943,50.0,-11909.635,-1602.386
PF04/0041/A035,PU,44.429248,11.732172,72.0,-11411.739,-1663.694
PF05/0041/A035,PU,44.423652,11.728046,72.0,-12033.389,-1992.376
PF06/0041/A035,PU,44.431333,11.738765,52.0,-11180.215,-1138.773
PF02/0042/A035,PU,44.417006,11.73207,52.0,-12771.938,-1672.152
PF03/0042/A035,PU,44.418942,11.739686,72.0,-12556.903,-1065.632
PF04/0042/A035,PU,44.422465,11.737252,50.0,-12165.468,-1259.397
PF05/0042/A035,PU,44.419044,11.73653,72.0,-12545.488,-1316.985
PF06/0042/A035,PU,44.41915,11.73036,72.0,-12533.599,-1808.253
PF07/0042/A035,PU,44.420541,11.741111,72.0,-12379.302,-952.127
PF08/0042/A035,PU,44.420864,11.735676,50.0,-12343.357,-1384.932
PF01/0043/A035,PU,44.424161,11.740378,52.0,-11977.013,-1010.43
PF02/0043/A035,PU,44.432121,11.746297,50.0,-11092.685,-539.073
PF03/0043/A035,PU,44.434742,11.744856,50.0,-10801.409,-653.752
PF04/0043/A035,PU,44.429586,11.746761,70.0,-11374.3,-502.197
PF02/0044/A035,PU,44.433199,11.751225,50.0,-10972.973,-146.786
PF03/0044/A035,PU,44.430052,11.757102,70.0,-11322.625,321.159
PF04/0044/A035,PU,44.437356,11.753345,50.0,-10511.019,21.997
PF05/0044/A035,PU,44.429055,11.751488,70.0,-11433.362,-125.825
PF02/0045/A035,PU,44.433404,11.757405,50.0,-10950.201,345.278
PF03/0045/A035,PU,44.440392,11.771173,52.0,-10173.523,1441.14
PF04/0045/A035,PU,44.427471,11.759673,52.0,-11609.353,525.846
PF05/0045/A035,PU,44.438269,11.758519,50.0,-10409.607,433.932
PF02/0047/A035,PU,44.441672,11.783798,52.0,-10031.065,2446.045
PF03/0047/A035,PU,44.441812,11.780604,52.0,-10015.573,2191.792
PF04/0047/A035,PU,44.437776,11.771168,72.0,-10464.255,1440.775
PF05/0047/A035,PU,44.436097,11.771116,10.0,-10650.76,1436.73
PF01/0048/A035,PU,44.436482,11.782466,50.0,-10607.795,2340.232
