identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A171,PV,45.293925,8.707013,8.0,5015664.19,1477053.7
PF04/0001/A171,PV,45.292001,8.704962,50.0,5015451.001,1476892.078
PF05/0001/A171,PV,45.294614,8.710832,50.0,5015739.611,1477353.477
PF06/0001/A171,PV,45.299061,8.704641,50.0,5016235.452,1476869.829
PF07/0001/A171,PV,45.293969,8.72144,12.0,5015665.0,1478185.0
PF08/0001/A171,PV,45.294362,8.716592,12.0,5015710.0,1477805.0
PF09/0001/A171,PV,45.29583,8.705806,50.0,5015876.124,1476959.832
PF01/0002/A171,PV,45.289984,8.701923,50.0,5015227.844,1476652.978
PF02/0002/A171,PV,45.29479,8.70243,50.0,5015761.561,1476694.728
PF03/0002/A171,PV,45.295072,8.698287,50.0,5015794.049,1476369.969
PF05/0002/A171,PV,45.292653,8.701222,50.0,5015524.456,1476599.107
PF06/0002/A171,PV,45.287658,8.703313,12.0,5014969.0,1476761.0
PF07/0002/A171,PV,45.287071,8.698891,12.0,5014905.0,1476414.0
PF02/0003/A171,PV,45.289863,8.705665,50.0,5015213.222,1476946.361
PF03/0003/A171,PV,45.287898,8.711422,50.0,5014993.382,1477397.05
PF05/0003/A171,PV,45.284642,8.721052,12.0,5014629.0,1478151.0
PF06/0003/A171,PV,45.292185,8.717509,50.0,5015467.915,1477876.048
PF07/0003/A171,PV,45.290678,8.709682,50.0,5015302.718,1477261.698
PF08/0003/A171,PV,45.289446,8.713991,50.0,5015164.591,1477599.097
PF02/0001/A175,PV,45.19277,9.268391,50.0,5004419.492,1521110.234
PF04/0001/A175,PV,45.189965,9.256187,50.0,5004104.832,1520152.614
PF05/0001/A175,PV,45.194551,9.256465,50.0,5004614.338,1520172.788
PF06/0001/A175,PV,45.192145,9.262642,50.0,5004348.626,1520658.876
PF08/0001/A175,PV,45.189066,9.260286,50.0,5004006.0,1520474.931
PF09/0001/A175,PV,45.188382,9.26496,50.0,5003931.16,1520842.352
PF10/0001/A175,PV,45.1919,9.25011,50.0,5004318.266,1519674.537
PF11/0001/A175,PV,45.188472,9.268228,12.0,5003942.0,1521099.0
PF12/0001/A175,PV,45.18618,9.266626,12.0,5003687.0,1520974.0
PF01/0002/A175,PV,45.186554,9.25025,50.0,5003724.398,1519687.345
PF02/0002/A175,PV,45.184379,9.242862,50.0,5003481.043,1519107.733
