identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A013,PZ,40.979152,16.191765,8.0,38492.95,-37158.57
PF02/0001/A013,PZ,40.974498,16.18671,8.0,37978.37,-37586.54
PF03/0001/A013,PZ,40.972186,16.166813,8.0,37730.34,-39262.38
PF04/0001/A013,PZ,40.983094,16.197968,50.0,38928.049,-36634.38
PF05/0001/A013,PZ,40.975959,16.194695,50.0,38137.153,-36913.756
PF06/0001/A013,PZ,40.965032,16.167702,50.0,36935.583,-39191.765
PF07/0001/A013,PZ,40.967524,16.171591,10.0,37210.5,-38863.0
PF08/0001/A013,PZ,40.979478,16.186866,12.0,38531.23,-37570.59
PF09/0001/A013,PZ,40.979967,16.195738,50.0,38581.799,-36823.759
PF10/0001/A013,PZ,40.978784,16.192431,50.0,38451.829,-37102.711
PF11/0001/A013,PZ,40.983772,16.194596,12.0,39004.811,-36917.735
PF12/0001/A013,PZ,40.987156,16.200518,12.0,39378.064,-36417.602
PF13/0001/A013,PZ,40.968257,16.178101,12.0,37289.04,-38314.637
PF14/0001/A013,PZ,40.97602,16.180235,12.0,38150.096,-38130.595
PF15/0001/A013,PZ,40.97203,16.176317,12.0,37708.8,-38462.65
PF70/0001/A013,PZ,40.546899,16.672611,50.0,-9596.375,3326.735
PF71/0001/A013,PZ,40.539768,16.66934,50.0,-10388.318,3050.042
PF72/0001/A013,PZ,40.555434,16.666288,50.0,-8648.906,2790.867
PF73/0001/A013,PZ,40.978464,16.192952,12.0,38416.0,-37059.0
PF01/0002/A013,PZ,40.971051,16.197379,8.0,37590.99,-36690.64
PF02/0002/A013,PZ,40.974333,16.215426,50.0,37947.999,-35170.016
PF03/0002/A013,PZ,40.971374,16.214031,50.0,37620.032,-35288.971
PF04/0002/A013,PZ,40.967235,16.212208,50.0,37161.115,-35444.661
PF06/0002/A013,PZ,40.965584,16.204434,50.0,36981.038,-36099.8
PF07/0002/A013,PZ,40.967899,16.204648,50.0,37238.034,-36080.527
PF08/0002/A013,PZ,40.970124,16.204826,50.0,37484.982,-36064.344
PF09/0002/A013,PZ,40.973646,16.205106,50.0,37875.931,-36038.881
PF10/0002/A013,PZ,40.957095,16.20491,50.0,36038.175,-36064.413
PF11/0002/A013,PZ,40.959442,16.206061,50.0,36298.318,-35966.193
PF12/0002/A013,PZ,40.966543,16.207518,50.0,37086.208,-35839.771
PF14/0002/A013,PZ,40.964186,16.20621,10.0,36825.1,-35951.1
PF15/0002/A013,PZ,40.958597,16.194185,12.0,36209.486,-36966.363
PF16/0002/A013,PZ,40.963957,16.196194,12.0,36803.739,-36794.25
PF17/0002/A013,PZ,40.959538,16.19731,12.0,36312.617,-36702.818
PF01/0003/A013,PZ,40.967723,16.225913,8.0,37209.91,-34290.91
PF02/0003/A013,PZ,40.977837,16.22028,8.0,38335.19,-34759.69
PF03/0003/A013,PZ,40.961499,16.218139,50.0,36521.841,-34948.425
PF04/0003/A013,PZ,40.97533,16.223844,50.0,38055.429,-34461.081
PF05/0003/A013,PZ,40.541761,16.694826,12.0,-10165.8,5208.7
PF06/0003/A013,PZ,40.974036,16.226982,50.0,37910.458,-34197.661
PF07/0003/A013,PZ,40.972273,16.223594,50.0,37716.046,-34483.678
PF09/0003/A013,PZ,40.96213,16.227553,50.0,36588.192,-34155.768
PF10/0003/A013,PZ,40.964853,16.226023,50.0,36891.129,-34283.094
PF11/0003/A013,PZ,40.957715,16.216877,50.0,36102.172,-35056.676
PF12/0003/A013,PZ,40.963465,16.221451,50.0,36738.806,-34668.611
PF13/0003/A013,PZ,40.961983,16.223771,50.0,36573.336,-34474.136
PF14/0003/A013,PZ,40.960185,16.221916,50.0,36374.411,-34631.267
PF15/0003/A013,PZ,40.968447,16.220053,50.0,37292.547,-34783.704
PF16/0003/A013,PZ,40.959747,16.214227,50.0,36328.887,-35278.682
PF17/0003/A013,PZ,40.961034,16.210839,50.0,36473.173,-35563.208
