identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF08/0017/C553,RA,44.275092,12.353393,50.0,4907914.406,1767646.252
PF21/0017/C553,RA,44.279182,12.353262,12.0,4908368.262,1767617.259
PF23/0017/C553,RA,44.280758,12.3542,12.0,4908546.35,1767684.94
PF04/0026/C553,RA,44.265914,12.357283,60.0,4906907.584,1767998.434
PF09/0026/C553,RA,44.266747,12.355822,60.0,4906995.304,1767878.043
PF10/0026/C553,RA,44.269409,12.354769,50.0,4907287.54,1767781.891
PF14/0026/C553,RA,44.268154,12.356881,50.0,4907155.081,1767956.16
PF18/0026/C553,RA,44.268865,12.360128,60.0,4907244.685,1768212.105
PF22/0026/C553,RA,44.273003,12.355147,12.0,4907687.989,1767795.792
PF25/0026/C553,RA,44.269583,12.356674,12.0,4907313.118,1767933.187
PF26/0026/C553,RA,44.271103,12.356192,12.0,4907480.395,1767887.782
PF18/0034/C553,RA,44.262474,12.359756,12.0,4906533.564,1768211.543
PF20/0034/C553,RA,44.259805,12.361103,12.0,4906241.516,1768331.232
PF07/0043/C553,RA,44.255809,12.363142,12.0,4905804.211,1768512.152
PF10/0043/C553,RA,44.253223,12.364466,12.0,4905521.309,1768629.65
PF26/0043/C553,RA,44.254697,12.36376,12.0,4905682.787,1768566.543
PF27/0043/C553,RA,44.250108,12.366222,12.0,4905181.065,1768784.025
PF01/0058/C553,RA,44.244789,12.369405,50.0,4904600.673,1769062.441
PF02/0058/C553,RA,44.242352,12.371054,12.0,4904335.392,1769205.29
PF03/0058/C553,RA,44.239844,12.372844,12.0,4904062.645,1769359.663
PF14/0058/C553,RA,44.246341,12.368621,12.0,4904770.461,1768992.805
PF15/0058/C553,RA,44.24795,12.367262,12.0,4904944.8,1768876.9
PF02/0059/C553,RA,44.23714,12.374616,12.0,4903768.151,1769513.522
PF15/0059/C553,RA,44.234838,12.376107,12.0,4903517.359,1769643.071
PF16/0059/C553,RA,44.232655,12.377501,12.0,4903279.468,1769764.413
PF17/0059/C553,RA,44.236021,12.373669,12.0,4903640.774,1769443.018
PF03/0075/C553,RA,44.227527,12.381343,12.0,4902722.479,1770094.748
PF17/0075/C553,RA,44.229586,12.379838,12.0,4902946.206,1769965.065
PF18/0075/C553,RA,44.225777,12.382637,12.0,4902532.362,1770206.05
PF19/0075/C553,RA,44.224713,12.383372,12.0,4902416.517,1770269.708
PF01/0001/H199A,RA,44.49194,12.284174,9.0,4931778.556,1761155.325
PF03/0001/H199A,RA,44.492838,12.28887,10.0,4931893.366,1761524.719
PF08/0001/H199A,RA,44.487132,12.285897,50.0,4931249.964,1761313.825
PF09/0001/H199A,RA,44.490412,12.283775,12.0,4931607.547,1761130.409
PF10/0001/H199A,RA,44.493356,12.291809,12.0,4931960.234,1761756.107
