identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A077,RC,37.284202,15.601393,52.0,-90980.266,-17610.233
PF03/0001/A077,RC,37.282031,15.6034,52.0,-91221.469,-17432.818
PF04/0001/A077,RC,37.285897,15.603478,10.0,-90792.5,-17425.0
PF05/0001/A077,RC,37.277801,15.598683,12.0,-91690.0,-17852.0
PF06/0001/A077,RC,37.279892,15.607063,12.0,-91459.54,-17108.47
PF01/0002/A077,RC,37.275415,15.619702,52.0,-91958.546,-15988.658
PF02/0002/A077,RC,37.275332,15.624096,10.0,-91968.5,-15599.0
PF03/0002/A077,RC,37.279904,15.614171,12.0,-91459.5,-16478.2
PF04/0002/A077,RC,37.276005,15.613184,12.0,-91892.0,-16566.5
PF05/0002/A077,RC,37.276753,15.614419,12.0,-91809.213,-16456.829
PF01/0003/A077,RC,37.274929,15.607272,8.0,-92010.34,-17091.04
PF02/0003/A077,RC,37.271713,15.60409,52.0,-92366.658,-17373.967
PF03/0003/A077,RC,37.271072,15.607535,52.0,-92438.438,-17068.624
PF04/0003/A077,RC,37.270074,15.594613,52.0,-92546.784,-18214.804
PF05/0003/A077,RC,37.27437,15.59559,52.0,-92070.19,-18127.15
PF02/0004/A077,RC,37.269041,15.612592,52.0,-92664.632,-16620.559
PF03/0004/A077,RC,37.266708,15.618001,52.0,-92924.507,-16141.361
PF05/0004/A077,RC,37.270651,15.618097,10.0,-92487.0,-16132.0
PF07/0004/A077,RC,37.275244,15.616502,12.0,-91977.0,-16272.5
PF08/0004/A077,RC,37.270587,15.610976,12.0,-92492.848,-16763.582
PF01/0005/A077,RC,37.267729,15.600767,8.0,-92808.1,-17669.61
PF03/0005/A077,RC,37.264341,15.596574,52.0,-93183.35,-18042.285
PF04/0005/A077,RC,37.268089,15.597349,52.0,-92767.579,-17972.649
PF05/0005/A077,RC,37.266122,15.600237,52.0,-92986.311,-17717.008
PF06/0005/A077,RC,37.264372,15.602755,52.0,-93181.05,-17494.029
PF08/0005/A077,RC,37.262133,15.605761,10.0,-93430.0,-17228.0
PF10/0005/A077,RC,37.259795,15.605014,52.0,-93689.307,-17294.715
PF12/0005/A077,RC,37.262621,15.600872,12.0,-93375.0,-17661.5
PF13/0005/A077,RC,37.259951,15.600625,12.0,-93671.2,-17684.0
PF01/0006/A077,RC,37.266617,15.601368,52.0,-92931.652,-17616.509
PF07/0006/A077,RC,37.266863,15.605281,52.0,-92905.051,-17269.446
PF09/0006/A077,RC,37.267847,15.602825,12.0,-92795.363,-17487.062
