identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A162,RE,44.635718,10.592523,52.0,4943735.93,1626337.882
PF03/0001/A162,RE,44.632483,10.586169,52.0,4943366.658,1625840.932
PF04/0001/A162,RE,44.631777,10.590222,52.0,4943294.581,1626163.91
PF05/0001/A162,RE,44.635798,10.585982,52.0,4943734.612,1625818.915
PF06/0001/A162,RE,44.638043,10.597994,52.0,4944002.601,1626766.75
PF07/0001/A162,RE,44.859019,10.656104,20.0,4968641.769,1630876.046
PF08/0001/A162,RE,44.852876,10.653889,20.0,4967955.786,1630714.935
PF03/0002/A162,RE,44.637846,10.601925,52.0,4943986.922,1627078.963
PF04/0002/A162,RE,44.637247,10.605917,52.0,4943926.56,1627396.916
PF05/0002/A162,RE,44.636241,10.601307,52.0,4943807.582,1627033.479
PF09/0002/A162,RE,44.642272,10.605341,52.0,4944483.906,1627340.199
PF10/0002/A162,RE,44.644343,10.606549,52.0,4944715.845,1627431.501
PF12/0002/A162,RE,44.63338,10.604925,52.0,4943495.432,1627326.699
PF13/0002/A162,RE,44.634443,10.600501,52.0,4943606.676,1626973.462
PF14/0002/A162,RE,44.639896,10.603733,12.0,4944217.4,1627217.9
PF01/0003/A162,RE,44.63229,10.61196,52.0,4943385.42,1627887.099
PF02/0003/A162,RE,44.635791,10.608897,52.0,4943769.515,1627636.464
PF03/0003/A162,RE,44.632517,10.608609,52.0,4943405.338,1627620.759
PF04/0003/A162,RE,44.6388,10.608711,52.0,4944103.429,1627615.094
PF05/0003/A162,RE,44.635141,10.61386,52.0,4943705.028,1628031.511
PF07/0003/A162,RE,44.638066,10.616246,52.0,4944033.779,1628214.363
PF01/0004/A162,RE,44.629055,10.611931,52.0,4943025.956,1627891.898
PF02/0004/A162,RE,44.629651,10.616022,52.0,4943098.658,1628215.098
PF05/0004/A162,RE,44.631642,10.616694,52.0,4943320.789,1628264.003
PF07/0004/A162,RE,44.633692,10.622681,52.0,4943557.985,1628734.368
PF08/0004/A162,RE,44.633595,10.617668,52.0,4943539.363,1628336.933
PF09/0004/A162,RE,44.635636,10.621688,52.0,4943772.415,1628651.276
PF01/0005/A162,RE,44.63487,10.624453,52.0,4943691.648,1628872.289
PF05/0005/A162,RE,44.636083,10.635037,52.0,4943843.138,1629709.073
PF06/0005/A162,RE,44.630982,10.632107,52.0,4943271.86,1629488.066
PF07/0005/A162,RE,44.632432,10.62931,52.0,4943428.475,1629262.963
PF08/0005/A162,RE,44.632274,10.63733,52.0,4943423.676,1629899.453
PF09/0005/A162,RE,44.634326,10.639881,52.0,4943655.722,1630097.257
PF10/0005/A162,RE,44.633619,10.631984,52.0,4943564.576,1629472.456
PF11/0005/A162,RE,44.630948,10.62652,52.0,4943259.267,1629044.969
PF12/0005/A162,RE,44.634034,10.627524,52.0,4943603.651,1629117.738
PF02/0006/A162,RE,44.624068,10.577925,52.0,4942419.303,1625205.127
PF03/0006/A162,RE,44.622768,10.574165,52.0,4942269.037,1624909.638
PF04/0006/A162,RE,44.626214,10.576084,52.0,4942654.811,1625054.446
