identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0002/A014,RG,37.54824,14.79419,8.0,-24003.75,-16948.48
PF02/0002/A014,RG,37.534325,14.798976,8.0,-25548.86,-16528.66
PF03/0002/A014,RG,37.540203,14.79149,42.0,-24895.135,-17188.899
PF04/0002/A014,RG,37.542959,14.797367,42.0,-24590.384,-16668.909
PF06/0002/A014,RG,37.537329,14.797838,10.0,-25215.235,-16628.613
PF07/0002/A014,RG,37.554556,14.796654,12.0,-23303.3,-16729.4
PF08/0002/A014,RG,37.548219,14.794004,12.0,-24006.0,-16964.9
PF09/0002/A014,RG,37.546456,14.799664,12.0,-24202.7,-16465.2
PF10/0002/A014,RG,37.542377,14.801074,12.0,-24655.6,-16341.5
PF11/0002/A014,RG,37.540624,14.793389,12.0,-24848.8,-17021.0
PF12/0002/A014,RG,37.558333,14.792404,12.0,-22883.377,-17103.998
PF13/0002/A014,RG,37.555881,14.79375,12.0,-23155.652,-16985.607
PF01/0003/A014,RG,37.558797,14.798399,10.0,-22832.871,-16574.23
PF02/0003/A014,RG,37.558804,14.801887,10.0,-22832.739,-16266.124
PF03/0003/A014,RG,37.563267,14.800671,10.0,-22337.237,-16372.513
PF04/0003/A014,RG,37.561923,14.798,10.0,-22485.973,-16608.763
PF05/0003/A014,RG,37.553587,14.80433,10.0,-23412.15,-16051.41
PF06/0003/A014,RG,37.559529,14.805091,10.0,-22752.85,-15982.85
PF01/0004/A014,RG,37.559402,14.812071,52.0,-22768.081,-15366.229
PF02/0004/A014,RG,37.564359,14.815131,52.0,-22218.427,-15094.892
PF03/0004/A014,RG,37.554967,14.813038,42.0,-23260.479,-15281.712
PF04/0004/A014,RG,37.566289,14.810303,52.0,-22003.454,-15521.07
PF05/0004/A014,RG,37.562623,14.807156,52.0,-22409.793,-15799.8
PF06/0004/A014,RG,37.550307,14.815571,8.0,-23777.98,-15058.91
PF07/0004/A014,RG,37.562906,14.810855,52.0,-22378.999,-15473.0
PF09/0004/A014,RG,37.566156,14.805556,10.0,-22017.43,-15940.38
PF10/0004/A014,RG,37.56853,14.809822,10.0,-21754.77,-15563.04
PF11/0004/A014,RG,37.565831,14.814629,12.0,-22055.0,-15139.0
PF12/0004/A014,RG,37.569333,14.813331,10.0,-21666.163,-15252.963
PF13/0004/A014,RG,37.557304,14.815494,10.0,-23001.439,-15064.266
PF15/0004/A014,RG,37.542925,14.82043,12.0,-24598.0,-14631.0
PF01/0005/A014,RG,37.558627,14.819924,52.0,-22855.361,-14672.645
PF04/0005/A014,RG,37.552722,14.825898,42.0,-23511.532,-14146.011
PF09/0005/A014,RG,37.553136,14.821652,52.0,-23464.958,-14521.036
PF11/0005/A014,RG,37.567281,14.81774,52.0,-21894.606,-14863.921
PF12/0005/A014,RG,37.556797,14.820439,4.0,-23058.5,-14627.5
PF13/0005/A014,RG,37.570093,14.817393,10.0,-21582.47,-14893.98
PF14/0005/A014,RG,37.547308,14.822412,10.0,-24111.84,-14455.06
PF15/0005/A014,RG,37.553669,14.834919,12.0,-23407.76,-13348.829
PF16/0005/A014,RG,37.549617,14.826773,12.0,-23856.267,-14069.303
PF01/0006/A014,RG,37.539418,14.737754,52.0,-24971.043,-21937.615
PF03/0006/A014,RG,37.544954,14.747348,8.0,-24358.96,-21088.22
PF04/0006/A014,RG,37.549888,14.742114,12.0,-23810.23,-21549.32
PF05/0006/A014,RG,37.544348,14.740299,12.0,-24424.53,-21711.34
PF06/0006/A014,RG,37.544924,14.731383,12.0,-24358.579,-22498.99
PF07/0006/A014,RG,37.542291,14.736391,12.0,-24651.894,-22057.221
PF01/0007/A014,RG,37.537831,14.753716,52.0,-25150.787,-20527.544
PF08/0007/A014,RG,37.544876,14.757696,10.0,-24369.83,-20173.94
PF09/0007/A014,RG,37.594289,15.002214,21.0,-18910.521,1431.162
PF01/0008/A014,RG,37.541351,14.760233,52.0,-24761.574,-19950.666
PF03/0008/A014,RG,37.543774,14.756049,10.0,-24491.78,-20319.77
PF22/0008/A014,RG,37.594062,15.009284,20.0,-18935.589,2055.492
PF01/0009/A014,RG,37.539047,14.765149,52.0,-25018.342,-19516.879
PF02/0009/A014,RG,37.54408,14.768822,10.0,-24460.5,-19191.0
PF03/0009/A014,RG,37.542689,14.767055,52.0,-24614.504,-19347.492
PF04/0009/A014,RG,37.542511,14.763259,52.0,-24633.545,-19682.954
PF01/0010/A014,RG,37.542664,14.772963,10.0,-24618.5,-18825.5
PF02/0010/A014,RG,37.540759,14.774297,8.0,-24830.23,-18708.06
PF03/0010/A014,RG,37.537957,14.775956,42.0,-25141.417,-18562.152
PF02/0011/A014,RG,37.542563,14.788381,52.0,-24632.729,-17463.114
PF03/0011/A014,RG,37.542925,14.781973,52.0,-24591.314,-18029.275
PF05/0011/A014,RG,37.543938,14.791737,10.0,-24480.7,-17166.23
PF06/0011/A014,RG,37.544655,14.785694,10.0,-24400.0,-17700.0
PF01/0012/A014,RG,37.554497,14.808115,52.0,-23311.761,-15716.764
PF03/0012/A014,RG,37.545103,14.80568,52.0,-24353.911,-15933.951
PF04/0012/A014,RG,37.543275,14.804399,52.0,-24556.502,-16047.5
PF01/0013/A014,RG,37.538534,14.720479,52.0,-25065.033,-23464.481
PF02/0013/A014,RG,37.536729,14.726411,52.0,-25266.842,-22940.835
PF03/0013/A014,RG,37.543256,14.725179,52.0,-24542.127,-23047.644
PF04/0013/A014,RG,37.539446,14.730778,52.0,-24966.33,-22554.06
PF01/0014/A014,RG,37.523061,14.714249,52.0,-26780.628,-24019.923
PF02/0014/A014,RG,37.532496,14.720079,42.0,-25735.058,-23501.744
PF03/0014/A014,RG,37.522542,14.725036,8.0,-26840.94,-23066.73
PF04/0014/A014,RG,37.529484,14.715354,42.0,-26068.086,-23920.274
PF05/0014/A014,RG,37.525683,14.709581,52.0,-26488.368,-24431.667
PF06/0014/A014,RG,37.534927,14.717192,10.0,-25464.474,-23756.103
PF07/0014/A014,RG,37.522366,14.725812,10.0,-26860.632,-22998.14
PF26/0014/A014,RG,37.522542,14.725036,8.0,-26840.94,-23066.73
PF27/0014/A014,RG,37.52865,14.70621,10.0,-26158.264,-24728.69
PF02/0015/A014,RG,37.519292,14.714267,52.0,-27198.876,-24019.537
PF03/0015/A014,RG,37.518911,14.721129,52.0,-27242.891,-23413.125
PF05/0015/A014,RG,37.516116,14.717074,52.0,-27552.005,-23772.49
PF06/0015/A014,RG,37.519587,14.710007,12.0,-27165.0,-24396.0
PF10/0015/A014,RG,37.518097,14.691515,42.0,-27325.449,-26031.102
PF11/0015/A014,RG,37.520926,14.721558,52.0,-27019.386,-23374.632
PF12/0015/A014,RG,37.520099,14.690158,10.0,-27102.9,-26150.33
PF13/0015/A014,RG,37.522489,14.701385,10.0,-26840.76,-25157.19
PF14/0015/A014,RG,37.524171,14.705103,10.0,-26655.0,-24828.0
PF15/0015/A014,RG,37.524643,14.699048,10.0,-26601.0,-25363.0
PF16/0015/A014,RG,37.524316,14.696358,10.0,-26636.603,-25600.864
PF17/0015/A014,RG,37.523078,14.685704,10.0,-26771.0,-26543.0
PF18/0015/A014,RG,37.519161,14.686715,10.0,-27206.0,-26455.0
PF19/0015/A014,RG,37.515912,14.720533,12.0,-27575.531,-23466.8
PF20/0015/A014,RG,37.519241,14.714621,10.0,-27204.622,-23988.303
PF21/0015/A014,RG,37.51606,14.687438,10.0,-27550.31,-26392.22
PF02/0016/A014,RG,37.518069,14.734364,52.0,-27339.5,-22243.5
PF03/0016/A014,RG,37.522799,14.734712,52.0,-26814.697,-22211.398
PF04/0016/A014,RG,37.5359,14.750775,8.0,-25364.44,-20787.93
PF05/0016/A014,RG,37.534303,14.737505,8.0,-25538.66,-21961.1
PF06/0016/A014,RG,37.521695,14.740944,52.0,-26938.633,-21660.815
PF07/0016/A014,RG,37.531509,14.7542,52.0,-25852.523,-20486.503
PF08/0016/A014,RG,37.529881,14.749521,52.0,-26032.192,-20900.446
PF10/0016/A014,RG,37.523822,14.730363,52.0,-26700.083,-22595.458
PF11/0016/A014,RG,37.518796,14.725921,52.0,-27256.821,-22989.604
PF12/0016/A014,RG,37.526203,14.73605,10.0,-26437.26,-22092.1
PF13/0016/A014,RG,37.521951,14.745915,10.0,-26911.4,-21221.42
PF14/0016/A014,RG,37.523005,14.747963,10.0,-26794.87,-21040.13
PF15/0016/A014,RG,37.523665,14.743816,10.0,-26720.71,-21406.45
PF16/0016/A014,RG,37.528411,14.743283,10.0,-26193.878,-21452.168
PF17/0016/A014,RG,37.518042,14.73156,12.0,-27341.89,-22491.43
PF18/0016/A014,RG,37.530577,14.747052,10.0,-25954.37,-21118.46
PF21/0016/A014,RG,37.529472,14.740547,10.0,-26075.536,-21693.723
PF01/0017/A014,RG,37.531481,14.760069,52.0,-25856.892,-19967.804
PF02/0017/A014,RG,37.531262,14.768277,52.0,-25882.953,-19242.487
PF03/0017/A014,RG,37.534797,14.773327,42.0,-25491.651,-18795.294
PF04/0017/A014,RG,37.533015,14.771608,52.0,-25689.049,-18947.62
PF05/0017/A014,RG,37.537203,14.770389,52.0,-25224.014,-19054.258
PF06/0017/A014,RG,37.532408,14.775149,52.0,-25757.069,-18634.835
PF07/0017/A014,RG,37.533976,14.76591,52.0,-25581.218,-19450.985
PF02/0018/A014,RG,37.539666,14.789024,52.0,-24954.287,-17406.932
PF03/0018/A014,RG,37.535538,14.780783,52.0,-25410.869,-18136.18
PF04/0018/A014,RG,37.540656,14.779907,52.0,-24842.756,-18212.31
PF05/0018/A014,RG,37.537234,14.781331,52.0,-25222.707,-18087.365
PF09/0018/A014,RG,37.534996,14.787303,52.0,-25472.243,-17560.076
PF10/0018/A014,RG,37.535568,14.788775,12.0,-25409.07,-17429.89
PF01/0019/A014,RG,37.528979,14.769526,52.0,-26136.49,-19132.633
PF03/0019/A014,RG,37.525723,14.765215,52.0,-26497.011,-19514.494
PF05/0019/A014,RG,37.529649,14.764235,52.0,-26061.075,-19600.087
PF06/0019/A014,RG,37.526126,14.759808,52.0,-26451.111,-19992.263
PF07/0019/A014,RG,37.524633,14.771241,52.0,-26619.138,-18982.21
PF08/0019/A014,RG,37.52349,14.762395,12.0,-26744.221,-19764.38
PF01/0020/A014,RG,37.523822,14.784555,42.0,-26711.794,-17805.575
PF02/0020/A014,RG,37.528896,14.777729,52.0,-26147.317,-18407.668
PF03/0020/A014,RG,37.527438,14.783699,52.0,-26310.365,-17880.4
PF04/0020/A014,RG,37.528852,14.773185,52.0,-26151.332,-18809.302
PF01/0021/A014,RG,37.532996,14.776418,42.0,-25692.049,-18522.536
PF03/0021/A014,RG,37.532001,14.779793,10.0,-25803.2,-18224.5
PF04/0021/A014,RG,37.532112,14.785735,10.0,-25792.0,-17699.4
PF05/0021/A014,RG,37.531311,14.777671,52.0,-25879.354,-18412.206
PF06/0021/A014,RG,37.531699,14.783094,52.0,-25837.361,-17932.832
PF07/0021/A014,RG,37.530967,14.788045,10.0,-25919.5,-17495.5
PF09/0021/A014,RG,37.529949,14.780223,10.0,-26031.0,-18187.0
PF10/0021/A014,RG,37.53003,14.785609,12.0,-26023.0,-17711.0
PF12/0021/A014,RG,37.52832,14.790412,52.0,-26213.716,-17286.862
PF13/0021/A014,RG,37.529599,14.793344,10.0,-26072.3,-17027.5
PF15/0021/A014,RG,37.529721,14.787414,52.0,-26057.666,-17551.55
PF17/0021/A014,RG,37.527649,14.79228,52.0,-26288.551,-17121.971
PF18/0021/A014,RG,37.527079,14.787121,52.0,-26350.8,-17578.092
PF22/0021/A014,RG,37.524644,14.792412,52.0,-26622.004,-17111.002
PF23/0021/A014,RG,37.526039,14.790754,42.0,-26466.896,-17257.207
PF24/0021/A014,RG,37.53328,14.785565,10.0,-25662.38,-17714.1
PF25/0021/A014,RG,37.532061,14.792045,10.0,-25798.85,-17141.75
PF26/0021/A014,RG,37.533315,14.788599,10.0,-25659.0,-17446.0
PF27/0021/A014,RG,37.529362,14.782656,10.0,-26096.568,-17972.119
PF01/0022/A014,RG,37.509765,14.673574,10.0,-28245.0,-27620.0
PF02/0022/A014,RG,37.510658,14.666836,52.0,-28143.875,-28215.301
PF03/0022/A014,RG,37.514104,14.672852,52.0,-27763.182,-27682.211
PF04/0022/A014,RG,37.513913,14.682021,12.0,-27787.135,-26871.77
PF05/0022/A014,RG,37.510041,14.677501,10.0,-28215.48,-27272.77
PF06/0022/A014,RG,37.507928,14.67472,10.0,-28449.146,-27519.416
PF07/0022/A014,RG,37.506622,14.676494,12.0,-28594.64,-27362.99
PF02/0023/A014,RG,37.503994,14.703684,52.0,-28893.772,-24960.113
PF03/0023/A014,RG,37.504672,14.68505,52.0,-28813.464,-26607.334
PF04/0023/A014,RG,37.50572,14.707398,52.0,-28703.301,-24631.229
PF05/0023/A014,RG,37.507177,14.704082,52.0,-28540.678,-24923.867
PF06/0023/A014,RG,37.502962,14.686739,52.0,-29003.755,-26458.55
PF07/0023/A014,RG,37.509443,14.700885,8.0,-28288.4,-25205.75
PF08/0023/A014,RG,37.499155,14.701254,8.0,-29430.19,-25176.59
PF09/0023/A014,RG,37.495437,14.714507,52.0,-29846.285,-24005.969
PF11/0023/A014,RG,37.501923,14.68396,52.0,-29118.27,-26704.69
PF12/0023/A014,RG,37.508987,14.704838,10.0,-28340.0,-24856.4
PF13/0023/A014,RG,37.501721,14.688099,12.0,-29141.79,-26338.76
PF14/0023/A014,RG,37.500904,14.681537,10.0,-29230.57,-26919.22
PF01/0024/A014,RG,37.517607,14.708434,52.0,-27384.324,-24535.695
PF02/0024/A014,RG,37.519272,14.706371,12.0,-27199.0,-24717.5
PF03/0024/A014,RG,37.504741,14.720982,52.0,-28815.391,-23430.542
PF04/0024/A014,RG,37.507315,14.717948,52.0,-28528.963,-23698.001
PF05/0024/A014,RG,37.504056,14.711407,52.0,-28888.989,-24277.303
PF06/0024/A014,RG,37.507749,14.710962,52.0,-28478.96,-24315.428
PF07/0024/A014,RG,37.502657,14.718198,52.0,-29045.906,-23677.401
PF08/0024/A014,RG,37.513695,14.714237,52.0,-27820.0,-24024.0
PF09/0024/A014,RG,37.511678,14.718512,52.0,-28044.95,-23646.745
PF10/0024/A014,RG,37.498004,14.713992,10.0,-29561.2,-24050.747
PF12/0024/A014,RG,37.520752,14.699764,10.0,-27033.0,-25301.0
PF13/0024/A014,RG,37.517252,14.701746,10.0,-27422.0,-25127.0
PF14/0024/A014,RG,37.506661,14.7203,10.0,-28602.086,-23490.276
PF15/0024/A014,RG,37.501237,14.711039,12.0,-29201.7,-24310.8
PF01/0025/A014,RG,37.522771,14.755681,52.0,-26822.497,-20358.018
PF02/0025/A014,RG,37.517968,14.765523,52.0,-27357.655,-19489.315
PF03/0025/A014,RG,37.519411,14.757284,52.0,-27195.785,-20217.235
PF04/0025/A014,RG,37.515283,14.76319,52.0,-27655.119,-19696.207
PF05/0025/A014,RG,37.517255,14.760693,52.0,-27435.803,-19916.447
PF06/0025/A014,RG,37.513603,14.742397,52.0,-27837.013,-21534.786
PF07/0025/A014,RG,37.510482,14.740685,52.0,-28182.998,-21686.991
PF08/0025/A014,RG,37.512377,14.752039,52.0,-27975.225,-20682.745
PF09/0025/A014,RG,37.513698,14.736274,8.0,-27825.01,-22075.99
PF10/0025/A014,RG,37.516377,14.764349,8.0,-27533.95,-19593.52
PF11/0025/A014,RG,37.519711,14.761687,52.0,-27163.378,-19827.938
PF13/0025/A014,RG,37.519538,14.75424,52.0,-27181.017,-20486.193
PF14/0025/A014,RG,37.515106,14.750001,52.0,-27671.916,-20862.174
PF16/0025/A014,RG,37.515857,14.743118,52.0,-27587.017,-21470.393
PF17/0025/A014,RG,37.515136,14.726605,52.0,-27663.166,-22930.254
PF18/0025/A014,RG,37.515153,14.731398,10.0,-27662.46,-22506.6
PF19/0025/A014,RG,37.514528,14.735919,10.0,-27732.84,-22107.11
PF20/0025/A014,RG,37.507209,14.734687,10.0,-28544.76,-22218.17
PF22/0025/A014,RG,37.511624,14.749238,10.0,-28058.18,-20930.6
PF23/0025/A014,RG,37.515503,14.745603,10.0,-27626.94,-21250.79
PF24/0025/A014,RG,37.514506,14.759906,12.0,-27740.65,-19986.71
PF25/0025/A014,RG,37.512553,14.730696,10.0,-27950.829,-22569.378
PF26/0025/A014,RG,37.516107,14.734429,10.0,-27557.268,-22238.364
PF27/0025/A014,RG,37.516295,14.740958,10.0,-27537.98,-21661.18
PF28/0025/A014,RG,37.519676,14.749743,10.0,-27164.767,-20883.693
PF29/0025/A014,RG,37.515111,14.755382,10.0,-27672.539,-20386.456
PF01/0026/A014,RG,37.522329,14.781051,52.0,-26876.734,-18115.713
PF02/0026/A014,RG,37.521091,14.777584,42.0,-27013.474,-18422.45
PF03/0026/A014,RG,37.524201,14.781429,42.0,-26669.15,-18081.795
PF04/0026/A014,RG,37.523962,14.778097,52.0,-26694.956,-18376.4
PF05/0026/A014,RG,37.523753,14.771614,52.0,-26716.867,-18949.42
PF06/0026/A014,RG,37.519874,14.770898,10.0,-27147.27,-19013.72
PF07/0026/A014,RG,37.520975,14.774839,10.0,-27025.842,-18665.051
PF08/0026/A014,RG,37.520024,14.77365,10.0,-27131.09,-18770.41
PF09/0026/A014,RG,37.519996,14.767902,10.0,-27133.1,-19278.5
PF01/0027/A014,RG,37.510845,14.775172,52.0,-28150.131,-18638.143
PF02/0027/A014,RG,37.510722,14.771663,52.0,-28163.034,-18948.452
PF05/0027/A014,RG,37.510294,14.760864,52.0,-28208.346,-19903.168
PF06/0027/A014,RG,37.512722,14.760031,52.0,-27938.658,-19976.129
PF07/0027/A014,RG,37.511264,14.756098,52.0,-28099.578,-20324.224
PF08/0027/A014,RG,37.517483,14.769283,52.0,-27412.296,-19157.073
PF09/0027/A014,RG,37.512911,14.770979,52.0,-27919.972,-19008.299
PF10/0027/A014,RG,37.511695,14.765908,52.0,-28053.853,-19456.924
PF13/0027/A014,RG,37.51496,14.770043,12.0,-27692.42,-19090.5
PF14/0027/A014,RG,37.510816,14.768873,10.0,-28152.0,-19195.0
PF02/0028/A014,RG,37.519576,14.776462,52.0,-27181.418,-18521.971
PF03/0028/A014,RG,37.518947,14.77349,52.0,-27250.642,-18784.818
PF07/0028/A014,RG,37.516075,14.780546,52.0,-27570.712,-18161.869
PF08/0028/A014,RG,37.515599,14.777597,52.0,-27622.949,-18422.636
PF09/0028/A014,RG,37.51443,14.774123,52.0,-27752.029,-18730.0
PF10/0028/A014,RG,37.514028,14.780628,52.0,-27797.901,-18155.077
PF11/0028/A014,RG,37.513281,14.777548,52.0,-27880.171,-18427.564
PF12/0028/A014,RG,37.511584,14.774802,52.0,-28068.04,-18670.685
PF15/0028/A014,RG,37.52165,14.778893,52.0,-26951.753,-18306.59
PF16/0028/A014,RG,37.517297,14.775826,52.0,-27434.181,-18578.796
PF17/0028/A014,RG,37.519836,14.779469,52.0,-27153.152,-18256.1
PF18/0028/A014,RG,37.517742,14.778782,10.0,-27385.38,-18317.4
PF20/0028/A014,RG,37.512062,14.780302,10.0,-28016.01,-18184.35
PF01/0029/A014,RG,37.523569,14.789796,52.0,-26740.792,-17342.431
PF02/0029/A014,RG,37.522793,14.791772,52.0,-26827.259,-17167.942
PF04/0029/A014,RG,37.519364,14.791276,52.0,-27207.769,-17212.636
PF05/0029/A014,RG,37.518819,14.786766,52.0,-27267.367,-17611.411
PF06/0029/A014,RG,37.51831,14.789257,52.0,-27324.371,-17391.27
PF07/0029/A014,RG,37.518136,14.784203,52.0,-27342.657,-17838.114
PF12/0029/A014,RG,37.514257,14.78816,52.0,-27773.943,-17489.22
PF13/0029/A014,RG,37.513267,14.782388,52.0,-27882.669,-17999.722
PF14/0029/A014,RG,37.513855,14.790924,52.0,-27819.008,-17244.983
PF17/0029/A014,RG,37.512113,14.788618,42.0,-28011.984,-17449.193
PF21/0029/A014,RG,37.510209,14.790211,52.0,-28223.562,-17308.845
PF22/0029/A014,RG,37.510102,14.787618,42.0,-28234.952,-17538.077
PF24/0029/A014,RG,37.519847,14.789189,52.0,-27153.771,-17396.962
PF25/0029/A014,RG,37.521203,14.793009,52.0,-27003.977,-17059.037
PF26/0029/A014,RG,37.515058,14.784526,42.0,-27684.305,-17810.234
PF28/0029/A014,RG,37.516662,14.787054,52.0,-27506.781,-17586.431
PF29/0029/A014,RG,37.512927,14.785101,10.0,-27920.94,-17759.91
PF30/0029/A014,RG,37.516333,14.790456,10.0,-27544.01,-17285.82
PF31/0029/A014,RG,37.516301,14.782514,10.0,-27546.07,-17987.78
PF32/0029/A014,RG,37.521012,14.790306,70.0,-27024.666,-17297.972
PF33/0029/A014,RG,37.510507,14.785534,10.0,-28189.55,-17722.23
PF01/0030/A014,RG,37.511339,14.747089,52.0,-28089.274,-21120.66
PF02/0030/A014,RG,37.508307,14.757498,52.0,-28428.128,-20201.269
PF03/0030/A014,RG,37.509533,14.743115,52.0,-28288.853,-21472.452
PF04/0030/A014,RG,37.509989,14.752589,52.0,-28240.412,-20634.773
PF05/0030/A014,RG,37.506764,14.749449,4.0,-28597.6,-20913.31
PF06/0030/A014,RG,37.507674,14.751959,4.0,-28497.12,-20691.16
PF07/0030/A014,RG,37.508207,14.747218,4.0,-28436.95,-21110.13
PF03/0031/A014,RG,37.506225,14.777358,52.0,-28663.232,-18446.075
PF04/0031/A014,RG,37.502774,14.769254,52.0,-29044.543,-19163.424
PF05/0031/A014,RG,37.502896,14.766089,52.0,-29030.441,-19443.148
PF06/0031/A014,RG,37.503374,14.763229,52.0,-28976.706,-19695.882
PF07/0031/A014,RG,37.501185,14.763963,52.0,-29219.851,-19631.593
PF08/0031/A014,RG,37.508682,14.76685,52.0,-28388.431,-19374.427
PF09/0031/A014,RG,37.506443,14.762136,52.0,-28635.91,-19791.78
PF10/0031/A014,RG,37.5007,14.766802,52.0,-29274.22,-19380.68
PF11/0031/A014,RG,37.507163,14.772788,10.0,-28558.17,-18849.86
PF12/0031/A014,RG,37.504647,14.773614,10.0,-28837.63,-18777.45
PF13/0031/A014,RG,37.587583,14.653925,12.0,-19603.0,-29326.5
PF01/0032/A014,RG,37.505566,14.791228,12.0,-28739.0,-17220.0
PF02/0032/A014,RG,37.506583,14.793775,52.0,-28626.532,-16994.578
PF03/0032/A014,RG,37.504827,14.793097,52.0,-28821.386,-17054.909
PF04/0032/A014,RG,37.509203,14.783855,12.0,-28334.0,-17871.0
PF05/0032/A014,RG,37.506761,14.786552,52.0,-28605.513,-17633.104
PF08/0032/A014,RG,37.503192,14.781819,52.0,-29000.65,-18052.409
PF09/0032/A014,RG,37.500641,14.776911,52.0,-29282.804,-18486.919
PF10/0032/A014,RG,37.504069,14.77883,52.0,-28902.76,-18316.5
PF11/0032/A014,RG,37.509156,14.77986,10.0,-28338.49,-18224.19
PF12/0032/A014,RG,37.509076,14.775985,10.0,-28346.584,-18566.726
PF13/0032/A014,RG,37.507215,14.776886,10.0,-28553.236,-18487.558
PF14/0032/A014,RG,37.505754,14.779761,10.0,-28715.967,-18233.77
PF15/0032/A014,RG,37.5038,14.789879,10.0,-28934.721,-17339.673
PF01/0033/A014,RG,37.500186,14.677283,52.0,-29309.114,-27295.581
PF02/0033/A014,RG,37.50228,14.679407,52.0,-29077.257,-27107.107
PF03/0033/A014,RG,37.497049,14.669872,42.0,-29655.052,-27952.06
PF05/0033/A014,RG,37.496892,14.653629,52.0,-29667.517,-29388.209
PF06/0033/A014,RG,37.493607,14.656117,42.0,-30032.894,-29169.527
PF08/0033/A014,RG,37.501771,14.662617,52.0,-29128.878,-28591.677
PF10/0033/A014,RG,37.507324,14.663545,52.0,-28512.91,-28507.549
PF11/0033/A014,RG,37.507329,14.670619,52.0,-28514.463,-27882.168
PF12/0033/A014,RG,37.503556,14.66997,52.0,-28932.967,-27940.904
PF13/0033/A014,RG,37.498959,14.644715,52.0,-29435.3,-30175.555
PF14/0033/A014,RG,37.504575,14.660418,10.0,-28817.0,-28785.0
PF15/0033/A014,RG,37.50045,14.661126,10.0,-29275.0,-28724.0
