identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF04/0001/A019,RI,42.406593,12.285491,62.0,53674.038,-13697.331
PF06/0001/A019,RI,42.40567,12.287516,10.0,53571.21,-13530.81
PF07/0001/A019,RI,42.403568,12.276825,50.0,53339.447,-14411.32
PF08/0001/A019,RI,42.403705,12.279533,50.0,53354.182,-14188.395
PF10/0001/A019,RI,42.402812,12.273588,50.0,53256.098,-14677.944
PF12/0001/A019,RI,42.402348,12.283751,50.0,53202.855,-13841.493
PF13/0001/A019,RI,42.402513,12.288093,50.0,53220.448,-13483.974
PF14/0001/A019,RI,42.406258,12.277702,50.0,53638.044,-14338.518
PF15/0001/A019,RI,42.406751,12.280678,50.0,53692.301,-14093.403
PF16/0001/A019,RI,42.405377,12.274004,50.0,53540.905,-14643.094
PF01/0002/A019,RI,42.406415,12.295516,10.0,53652.71,-12872.21
PF02/0002/A019,RI,42.404315,12.296053,10.0,53419.4,-12828.41
PF03/0002/A019,RI,42.403975,12.292894,10.0,53382.02,-13088.52
PF04/0002/A019,RI,42.403199,12.297722,10.0,53295.16,-12691.25
PF05/0002/A019,RI,42.401298,12.29702,10.0,53084.16,-12749.39
PF01/0003/A019,RI,42.389252,12.197103,8.0,51766.04,-20978.43
PF02/0003/A019,RI,42.394317,12.208627,50.0,52325.845,-20028.005
PF03/0003/A019,RI,42.395481,12.202001,50.0,52456.67,-20573.08
PF17/0003/A019,RI,42.190288,11.793646,21.0,29846.026,-54366.921
PF19/0003/A019,RI,42.195922,11.788745,21.0,30474.947,-54766.821
PF01/0004/A019,RI,42.394118,12.228658,10.0,52299.14,-18378.96
PF02/0004/A019,RI,42.393969,12.231271,10.0,52282.03,-18163.84
PF03/0004/A019,RI,42.392913,12.225766,10.0,52165.99,-18617.37
PF04/0004/A019,RI,42.392193,12.229283,13.0,52085.18,-18328.04
PF05/0004/A019,RI,42.393695,12.233986,8.0,52251.08,-17940.38
PF01/0005/A019,RI,42.392839,12.252497,10.0,52152.27,-16416.65
