identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF00/0018/H282,RM,41.690842,12.203467,47.0,4620422.591,1766631.1
PF00/0033/G811,RM,41.782132,12.408516,177.0,4631215.912,1783296.5
PF00/0017/G811,RM,41.718423,12.645132,9.0,4624948.478,1803263.82
PF00/0029/H282,RM,41.853667,12.458909,106.0,4639327.26,1787164.91
PF00/0043/H501,RM,41.994867,12.422908,176.0,4654887.823,1783549.35
PF00/0046/F205,RM,41.975661,12.609308,118.0,4653389.682,1799081.18
PF00/0014/A089,RM,42.061705,12.203132,47.0,4661605.068,1765064.89
PF00/0033/H501,RM,41.981476,12.415679,134.0,4653376.805,1783009.89
PF00/0032/A089,RM,41.931817,12.650474,198.0,4648665.33,1802700.14
PF00/0042/F205,RM,41.91624,12.345777,75.0,4645903.393,1777500.92
PF00/0015/F205,RM,42.081166,12.621808,161.0,4665150.297,1799620.56
PF00/0019/H282,RM,42.052709,12.334779,149.0,4661022.814,1775998.06
PF00/0017/H282,RM,41.66638,12.639574,9.0,4619149.417,1803045.88
PF00/0012/A089,RM,41.949821,12.481178,90.0,4650080.139,1788580.01
PF00/0047/A089,RM,41.761633,12.511586,71.0,4629284.57,1791956.52
PF00/0005/H501,RM,41.828319,12.41678,179.0,4636372.209,1783779.28
PF00/0037/H282,RM,41.914873,12.491203,142.0,4646232.955,1789569.31
PF00/0022/H282,RM,41.594972,12.404633,62.0,4610419.392,1783796.04
PF00/0018/G811,RM,41.992619,12.604389,5.0,4655255.719,1798594.16
PF00/0014/A089,RM,41.883775,12.603716,168.0,4643165.917,1799047.16
PF00/0039/H501,RM,42.125396,12.521254,37.0,4669714.293,1791099.04
PF00/0024/F205,RM,41.705365,12.643596,151.0,4623492.969,1803197.51
PF00/0002/F205,RM,41.624883,12.622682,121.0,4614481.84,1801833.16
PF00/0048/F205,RM,42.062167,12.263123,128.0,4661844.216,1770027.37
PF00/0043/H501,RM,41.845008,12.47714,100.0,4638426.915,1788717.54
PF00/0017/G811,RM,42.095553,12.442251,145.0,4666133.592,1784701.32
PF00/0036/H501,RM,42.022151,12.569315,98.0,4658413.505,1795551.57
PF00/0046/G811,RM,41.70772,12.360449,17.0,4622795.138,1779624.31
PF00/0011/H282,RM,41.816214,12.393587,91.0,4634951.55,1781906.04
PF00/0003/H282,RM,41.714948,12.616125,50.0,4624460.66,1800866.6
PF00/0032/G811,RM,41.968119,12.509607,180.0,4652208.357,1790853.53
PF00/0010/G811,RM,41.876371,12.45209,44.0,4641825.817,1786497.31
PF00/0013/H282,RM,42.044129,12.394812,155.0,4660265.657,1781004.66
PF00/0048/F205,RM,41.973496,12.665011,120.0,4653345.451,1803707.46
PF00/0008/H501,RM,41.963977,12.442744,102.0,4651523.36,1785330.65
PF00/0019/H282,RM,41.804132,12.37289,19.0,4633542.055,1780239.36
PF00/0028/H282,RM,41.936895,12.272502,107.0,4647962.378,1771335.73
PF00/0046/H501,RM,41.919665,12.210421,122.0,4645854.288,1766259.98
PF00/0038/A089,RM,41.896191,12.531497,178.0,4644295.279,1792997.11
PF00/0033/H501,RM,41.773811,12.501069,199.0,4630601.238,1791026.94
PF00/0027/H501,RM,41.699855,12.36537,161.0,4621937.75,1780067.97
PF00/0022/G811,RM,41.761123,12.578687,96.0,4629458.165,1797538.07
PF00/0041/F205,RM,41.732672,12.226672,212.0,4625139.8,1768388.34
PF00/0031/F205,RM,42.074317,12.275818,73.0,4663233.726,1771026.21
PF00/0049/G811,RM,41.997062,12.39684,25.0,4655045.482,1781380.12
PF00/0049/H501,RM,41.771932,12.235275,20.0,4629526.319,1768939.88
PF00/0047/H282,RM,41.670132,12.377671,109.0,4618677.221,1781221.23
PF00/0042/F205,RM,41.706879,12.363008,88.0,4622710.141,1779840.91
PF00/0014/A089,RM,41.87173,12.67451,133.0,4642077.604,1804979.57
PF00/0026/H501,RM,41.828441,12.502856,126.0,4636673.964,1790928.04
PF00/0048/A089,RM,41.899594,12.368153,31.0,4644127.627,1779429.59
PF00/0018/A089,RM,41.806825,12.617151,127.0,4634667.36,1800522.46
PF00/0015/F205,RM,41.712423,12.430326,151.0,4623546.952,1785418.2
PF00/0021/A089,RM,42.078116,12.272691,116.0,4663645.594,1770751.32
PF00/0010/A089,RM,41.628417,12.192335,188.0,4613456.235,1765961.52
PF00/0031/H501,RM,41.709899,12.536816,97.0,4623625.555,1794290.62
PF00/0010/H501,RM,41.722179,12.437512,93.0,4624654.179,1785972.87
PF00/0008/H282,RM,41.932874,12.282978,210.0,4647549.103,1772221.42
PF00/0042/G811,RM,41.680535,12.639059,145.0,4620719.493,1802936.53
PF00/0015/F205,RM,41.61,12.517132,201.0,4612464.709,1793105.87
PF00/0022/A089,RM,41.71183,12.61757,92.0,4624119.413,1801001.41
PF00/0024/G811,RM,41.814702,12.568537,98.0,4635373.056,1796446.89
PF00/0045/G811,RM,42.03793,12.303613,173.0,4659281.437,1773482.04
PF00/0038/G811,RM,42.070122,12.466181,4.0,4663389.47,1786795.27
PF00/0042/A089,RM,42.016032,12.355258,187.0,4657016.144,1777852.89
PF00/0025/G811,RM,41.612139,12.416147,206.0,4612363.717,1784680.22
PF00/0012/H501,RM,41.613296,12.566875,218.0,4613001.058,1797236.44
PF00/0041/A089,RM,41.738459,12.345269,137.0,4626159.375,1778228.33
PF00/0006/H282,RM,41.849133,12.257867,68.0,4638170.278,1770492.64
PF00/0030/F205,RM,41.880086,12.557188,92.0,4642594.879,1795202.9
PF00/0047/H282,RM,41.685125,12.439797,108.0,4620546.987,1786327.48
