identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF16/0001/A747,RN,44.156032,12.45721,50.0,4895033.299,1776488.838
PF17/0001/A747,RN,44.157665,12.455244,50.0,4895208.16,1776323.969
PF23/0001/A747,RN,44.16192,12.450481,12.0,4895664.751,1775923.197
PF24/0001/A747,RN,44.15724,12.457331,12.0,4895167.891,1776492.882
PF13/0005/A747,RN,44.152047,12.461585,50.0,4894605.395,1776857.347
PF14/0005/A747,RN,44.154299,12.459253,50.0,4894847.765,1776660.321
PF17/0005/A747,RN,44.150143,12.463769,50.0,4894401.301,1777040.883
PF10/0006/A747,RN,44.146799,12.467794,50.0,4894043.462,1777378.465
PF11/0006/A747,RN,44.143555,12.468224,50.0,4893684.568,1777428.124
PF23/0006/A747,RN,44.144446,12.473303,12.0,4893800.69,1777830.18
PF07/0012/A747,RN,44.141479,12.475069,50.0,4893477.018,1777985.357
PF08/0012/A747,RN,44.137272,12.479788,50.0,4893025.691,1778382.6
PF07/0018/A747,RN,44.12956,12.487557,50.0,4892195.467,1779040.489
PF08/0018/A747,RN,44.131313,12.485807,50.0,4892384.22,1778892.175
PF11/0023/A747,RN,44.122174,12.495981,50.0,4891403.629,1779749.286
PF12/0023/A747,RN,44.124592,12.493025,50.0,4891662.168,1779501.378
PF09/0024/A747,RN,44.118867,12.499656,12.0,4891048.76,1780059.04
PF07/0003/C357,RN,43.966783,12.742508,50.0,4875011.593,1800260.311
PF14/0003/C357,RN,43.96679,12.738795,50.0,4874998.8,1799962.4
PF29/0004/C357,RN,43.969372,12.748434,50.0,4875320.704,1800722.61
PF35/0004/C357,RN,43.96808,12.750094,50.0,4875183.272,1800862.37
PF36/0004/C357,RN,43.967424,12.746533,12.0,4875097.369,1800580.0
PF03/0003/F244,RN,43.98254,12.695541,50.0,4876591.786,1796413.777
PF08/0003/F244,RN,43.981461,12.698254,50.0,4876481.723,1796636.734
PF10/0003/F244,RN,43.984646,12.690448,50.0,4876807.422,1795994.837
PF11/0003/F244,RN,43.986118,12.689673,12.0,4876968.07,1795925.32
PF01/0011/F244,RN,43.975496,12.710277,50.0,4875862.458,1797630.922
PF03/0011/F244,RN,43.97804,12.704361,50.0,4876123.655,1797143.719
PF04/0011/F244,RN,43.977426,12.707069,50.0,4876065.307,1797363.918
