identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A059A,RO,45.993679,12.569917,50.0,62235.188,23819.162
PF03/0001/A059A,RO,46.000979,12.568252,50.0,63050.204,23715.057
PF04/0001/A059A,RO,46.005879,12.560451,50.0,63613.066,23127.703
PF05/0001/A059A,RO,46.002213,12.566688,50.0,63190.956,23598.09
PF06/0001/A059A,RO,45.995736,12.562011,12.0,62482.41,23213.92
PF01/0002/A059A,RO,45.989453,12.559679,52.0,61789.888,23011.922
PF02/0002/A059A,RO,45.986643,12.558538,52.0,61480.408,22914.011
PF02/0003/A059A,RO,45.990164,12.570241,50.0,61843.918,23832.343
PF01/0004/A059A,RO,45.997113,12.571154,50.0,62613.759,23926.633
PF02/0004/A059A,RO,45.999909,12.570423,50.0,62926.155,23879.515
PF03/0004/A059A,RO,45.996017,12.574616,50.0,62483.88,24191.009
PF04/0004/A059A,RO,45.994951,12.579168,50.0,62354.643,24539.855
PF03/0005/A059A,RO,45.987348,12.564256,52.0,61545.172,23359.25
PF05/0005/A059A,RO,45.979494,12.571571,52.0,60655.214,23899.171
PF06/0005/A059A,RO,45.984809,12.570322,52.0,61248.694,23820.44
PF07/0005/A059A,RO,45.985008,12.567077,52.0,61278.513,23569.819
PF08/0005/A059A,RO,45.979436,12.556082,10.0,60685.557,22699.23
PF09/0005/A059A,RO,45.979545,12.565409,52.0,60675.513,23422.037
PF01/0006/A059A,RO,45.978744,12.573306,52.0,60567.836,24031.042
PF02/0006/A059A,RO,45.988518,12.572892,50.0,61654.764,24032.069
PF03/0006/A059A,RO,45.976488,12.575807,50.0,60311.316,24217.164
PF04/0006/A059A,RO,45.9829,12.573212,52.0,61029.837,24037.879
PF05/0006/A059A,RO,45.985988,12.574857,50.0,61368.971,24175.73
PF06/0006/A059A,RO,45.979027,12.582813,50.0,60576.858,24768.449
PF07/0006/A059A,RO,45.975735,12.578656,50.0,60220.926,24435.267
PF01/0007/A059A,RO,45.98236,12.591979,50.0,60925.696,25489.613
PF03/0007/A059A,RO,45.981428,12.58795,50.0,60831.615,25174.448
PF01/0008/A059A,RO,45.972011,12.50595,52.0,59980.962,18790.173
PF02/0008/A059A,RO,45.975215,12.510343,52.0,60326.296,19141.626
PF04/0008/A059A,RO,45.972959,12.513393,52.0,60068.238,19370.071
PF03/0009/A059A,RO,45.980551,12.518073,50.0,60900.509,19758.872
PF04/0009/A059A,RO,45.976602,12.51429,50.0,60470.84,19452.216
PF05/0009/A059A,RO,45.973216,12.522875,50.0,60073.918,20105.487
