identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0006/A091,SA,40.379447,15.005072,52.0,4469879.94,2520437.8
PF07/0006/A091,SA,40.373163,15.000751,52.0,4469182.41,2520071.0
PF13/0006/A091,SA,40.379072,15.002158,52.0,4469838.25,2520190.46
PF17/0007/A091,SA,40.369939,14.999808,12.0,4468824.5,2519991.0
PF02/0014/A091,SA,40.35492,14.987006,52.0,4467157.51,2518903.84
PF03/0014/A091,SA,40.35376,14.985448,52.0,4467028.84,2518771.52
PF04/0015/A091,SA,40.36128,14.999854,52.0,4467863.39,2519994.84
PF08/0015/A091,SA,40.359114,14.999107,52.0,4467623.0,2519931.49
PF07/0018/A091,SA,40.350064,14.978219,52.0,4466618.65,2518157.52
PF08/0018/A091,SA,40.350275,14.981105,4.0,4466642.03,2518402.64
PF09/0018/A091,SA,40.351919,14.979431,12.0,4466824.51,2518260.51
PF10/0018/A091,SA,40.354339,14.982686,12.0,4467093.12,2518537.03
PF05/0040/A091,SA,40.353927,14.990844,52.0,4467047.25,2519229.76
PF02/0041/A091,SA,40.353993,14.994722,52.0,4467054.55,2519559.1
PF12/0006/A251,SA,40.630163,14.594373,12.0,4497789.1,2485702.86
PF16/0007/A251,SA,40.630984,14.600119,12.0,4497877.939,2486189.243
PF17/0007/A251,SA,40.632755,14.597523,12.0,4498075.636,2485970.536
PF02/0008/A251,SA,40.633879,14.60321,52.0,4498198.158,2486452.057
PF03/0008/A251,SA,40.633666,14.601853,52.0,4498175.04,2486337.22
PF02/0009/A251,SA,40.633666,14.606651,52.0,4498173.26,2486743.0
PF14/0011/A251,SA,40.627712,14.591134,12.0,4497518.272,2485427.669
PF04/0015/A251,SA,40.625447,14.585857,52.0,4497268.91,2484980.2
PF05/0015/A251,SA,40.626442,14.587774,52.0,4497378.66,2485142.84
PF07/0015/A251,SA,40.625053,14.58601,12.0,4497225.129,2484992.868
PF08/0015/A251,SA,40.626909,14.589667,12.0,4497429.7,2485303.14
PF09/0015/A251,SA,40.625575,14.587723,12.0,4497282.36,2485138.03
PF08/0016/A251,SA,40.618859,14.57629,12.0,4496541.444,2484167.531
PF10/0016/A251,SA,40.618277,14.576867,12.0,4496476.7,2484216.0
PF13/0009/A460,SA,40.159195,15.147884,12.0,4445442.96,2532601.42
PF18/0010/A460,SA,40.154535,15.152729,12.0,4444926.4,2533014.94
PF20/0010/A460,SA,40.151231,15.156153,12.0,4444560.14,2533307.21
PF11/0016/A460,SA,40.147769,15.159797,52.0,4444176.516,2533618.282
PF05/0044/A460,SA,40.141673,15.171911,52.0,4443501.81,2534651.37
PF10/0044/A460,SA,40.132414,15.174944,52.0,4442474.59,2534911.81
PF01/0048/A460,SA,40.125046,15.181369,8.0,4441657.88,2535460.85
PF02/0048/A460,SA,40.125203,15.18143,52.0,4441675.31,2535465.96
PF04/0048/A460,SA,40.128087,15.179928,12.0,4441995.146,2535337.381
PF05/0048/A460,SA,40.130368,15.178424,52.0,4442248.04,2535208.69
PF06/0050/A460,SA,40.124824,15.192727,52.0,4441635.211,2536428.619
PF05/0051/A460,SA,40.144134,15.163214,52.0,4443773.55,2533910.05
PF05/0052/A460,SA,40.140997,15.16671,12.0,4443425.92,2534208.49
PF04/0053/A460,SA,40.137818,15.170205,52.0,4443073.57,2534506.84
PF09/0053/A460,SA,40.139673,15.168415,52.0,4443279.16,2534353.97
PF10/0053/A460,SA,40.135555,15.172027,12.0,4442822.743,2534662.614
PF05/0001/A487,SA,40.635902,14.610142,52.0,4498420.08,2487039.3
PF17/0010/A717,SA,40.567647,14.892917,12.0,4490775.98,2510942.72
PF19/0010/A717,SA,40.56881,14.893651,12.0,4490905.0,2511005.0
