identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A006,SI,42.913182,11.740206,6.0,-45168.97,25700.98
PF02/0001/A006,SI,42.91265,11.73419,50.0,-45244.112,25211.846
PF03/0001/A006,SI,42.913395,11.751817,72.0,-45114.405,26648.052
PF04/0001/A006,SI,42.915437,11.733369,52.0,-44936.763,25134.758
PF05/0001/A006,SI,42.914655,11.734368,52.0,-45020.9,25219.12
PF06/0001/A006,SI,42.914187,11.743674,72.0,-45048.166,25980.475
PF01/0002/A006,SI,42.913019,11.762351,6.0,-45127.95,27509.34
PF02/0002/A006,SI,42.909981,11.762152,72.0,-45465.948,27504.218
PF03/0002/A006,SI,42.913959,11.765279,12.0,-45015.692,27744.925
PF01/0003/A006,SI,42.911248,11.784421,6.0,-45265.3,29317.46
PF05/0003/A006,SI,42.910435,11.77845,12.0,-45371.63,28833.05
PF01/0004/A006,SI,42.91154,11.784437,70.0,-45232.776,29317.733
PF01/0007/A006,SI,42.912661,11.729605,50.0,-45255.018,24837.511
PF02/0007/A006,SI,42.911258,11.731795,50.0,-45404.992,25021.366
PF03/0007/A006,SI,42.906267,11.727697,52.0,-45970.134,24704.764
PF01/0008/A006,SI,42.910641,11.735677,52.0,-45463.281,25340.522
PF01/0009/A006,SI,42.91039,11.765887,52.0,-45410.473,27807.577
PF02/0009/A006,SI,42.902248,11.760639,56.0,-46328.828,27408.835
PF03/0009/A006,SI,42.907944,11.757423,72.0,-45704.763,27125.504
PF04/0009/A006,SI,42.905261,11.75596,72.0,-46006.714,27015.85
PF05/0009/A006,SI,42.903702,11.759369,72.0,-46170.739,27299.847
PF06/0009/A006,SI,42.908029,11.761316,50.0,-45684.991,27443.045
PF02/0010/A006,SI,42.908529,11.768927,52.0,-45608.992,28062.56
PF03/0010/A006,SI,42.908861,11.773695,52.0,-45559.3,28450.639
PF01/0012/A006,SI,42.913219,11.813401,52.0,-44967.576,31675.924
PF01/0013/A006,SI,42.901548,11.720026,6.0,-46514.55,24095.52
PF02/0013/A006,SI,42.907722,11.718281,52.0,-45833.524,23930.882
PF03/0013/A006,SI,42.905968,11.72304,52.0,-46015.7,24325.636
PF04/0013/A006,SI,42.904517,11.730893,52.0,-46156.105,24972.01
PF05/0013/A006,SI,42.904176,11.728553,52.0,-46200.088,24782.199
PF06/0013/A006,SI,42.902913,11.730552,52.0,-46335.091,24949.963
PF07/0013/A006,SI,42.899541,11.722146,52.0,-46731.803,24275.812
PF08/0013/A006,SI,42.900784,11.72462,52.0,-46587.238,24473.316
PF09/0013/A006,SI,42.898457,11.717403,52.0,-46864.718,23892.382
PF10/0013/A006,SI,42.900956,11.71882,52.0,-46583.479,23999.104
PF11/0013/A006,SI,42.903972,11.718772,52.0,-46248.679,23984.404
PF12/0013/A006,SI,42.900977,11.717754,12.0,-46583.976,23912.016
PF01/0014/A006,SI,42.900995,11.744118,12.0,-46512.1,26064.5
PF02/0014/A006,SI,42.904428,11.741869,6.0,-46136.78,25868.48
PF03/0014/A006,SI,42.898192,11.748275,72.0,-46812.263,26414.094
PF04/0014/A006,SI,42.897698,11.751277,52.0,-46859.087,26660.992
PF05/0014/A006,SI,42.899864,11.747215,52.0,-46629.434,26321.449
PF06/0014/A006,SI,42.903361,11.747519,12.0,-46240.3,26333.6
PF07/0014/A006,SI,42.903035,11.743818,12.0,-46286.3,26032.6
PF08/0014/A006,SI,42.89809,11.746478,52.0,-46828.371,26267.738
PF01/0015/A006,SI,42.899936,11.758498,6.0,-46591.25,27242.51
PF02/0015/A006,SI,42.892868,11.761403,6.0,-47368.41,27505.44
PF03/0015/A006,SI,42.894684,11.757078,72.0,-47178.338,27145.619
PF04/0015/A006,SI,42.893969,11.760658,52.0,-47248.167,27440.577
PF05/0015/A006,SI,42.896985,11.760485,52.0,-46913.666,27415.505
PF06/0015/A006,SI,42.902027,11.754678,72.0,-46369.279,26922.959
PF07/0015/A006,SI,42.898519,11.755932,50.0,-46755.473,27038.078
