identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A135,SO,46.102669,9.586676,54.0,43871.198,-31204.937
PF02/0001/A135,SO,46.095256,9.600531,12.0,43042.006,-30137.87
PF01/0002/A135,SO,46.103974,9.592911,54.0,44013.746,-30722.161
PF02/0002/A135,SO,46.103607,9.5895,54.0,43974.31,-30986.065
PF03/0002/A135,SO,46.101215,9.590489,70.0,43708.041,-30910.986
PF04/0002/A135,SO,46.099481,9.590693,54.0,43515.27,-30896.14
PF06/0002/A135,SO,46.102472,9.589108,54.0,43848.329,-31017.042
PF01/0003/A135,SO,46.101953,9.593013,70.0,43789.172,-30715.454
PF02/0003/A135,SO,46.100023,9.59235,70.0,43574.84,-30767.739
PF04/0004/A135,SO,46.104631,9.729429,10.0,44043.1,-20168.0
PF05/0004/A135,SO,46.104774,9.597735,12.0,44100.807,-30348.803
PF06/0004/A135,SO,46.101218,9.599746,12.0,43704.885,-30195.291
PF07/0004/A135,SO,46.102056,9.603096,12.0,43796.699,-29935.861
PF01/0005/A135,SO,46.102918,9.609122,54.0,43890.269,-29469.515
PF02/0005/A135,SO,46.101829,9.607773,54.0,43769.791,-29574.387
PF03/0005/A135,SO,46.103309,9.605833,54.0,43935.024,-29723.549
PF04/0005/A135,SO,46.095219,9.602605,54.0,43037.086,-29977.526
PF05/0005/A135,SO,46.096101,9.60007,12.0,43136.067,-30173.041
PF06/0005/A135,SO,46.097886,9.605184,12.0,43332.5,-29776.7
PF01/0006/A135,SO,46.098054,9.618757,54.0,43346.21,-28727.153
PF03/0006/A135,SO,46.0961,9.620269,54.0,43128.469,-28611.291
PF04/0006/A135,SO,46.09302,9.614057,54.0,42788.397,-29093.208
PF05/0006/A135,SO,46.097575,9.622768,12.0,43291.534,-28417.283
PF01/0007/A135,SO,46.091514,9.610333,8.0,42622.4,-29381.95
PF02/0007/A135,SO,46.089245,9.60439,54.0,42372.431,-29842.73
PF03/0007/A135,SO,46.092897,9.603069,54.0,42778.794,-29942.881
PF04/0007/A135,SO,46.090916,9.603131,54.0,42558.658,-29939.181
PF05/0007/A135,SO,46.08904,9.610553,54.0,42347.349,-29366.225
PF06/0007/A135,SO,46.091253,9.608694,54.0,42594.0,-29508.8
PF07/0007/A135,SO,46.085862,9.608221,54.0,41994.993,-29548.3
PF08/0007/A135,SO,46.091233,9.612458,54.0,42590.327,-29217.81
PF09/0007/A135,SO,46.089049,9.604485,12.0,42350.567,-29835.465
PF01/0008/A135,SO,46.092452,9.597959,8.0,42731.29,-30338.26
PF02/0008/A135,SO,46.092194,9.6012,54.0,42701.417,-30087.769
PF03/0008/A135,SO,46.089167,9.601712,54.0,42364.745,-30049.839
PF04/0008/A135,SO,46.087089,9.605675,54.0,42132.291,-29744.537
PF05/0008/A135,SO,46.087184,9.599762,54.0,42145.154,-30201.753
PF01/0009/A135,SO,46.085365,9.619106,12.0,41935.8,-28706.8
PF02/0009/A135,SO,46.086382,9.619795,54.0,42048.54,-28652.94
PF03/0009/A135,SO,46.088528,9.623638,54.0,42285.676,-28354.69
PF04/0009/A135,SO,46.092501,9.619382,54.0,42728.77,-28681.758
PF01/0012/A135,SO,46.067007,9.619925,12.0,39895.17,-28652.96
PF04/0012/A135,SO,46.063499,9.618056,12.0,39506.02,-28799.32
PF05/0012/A135,SO,46.057639,9.625736,10.0,38851.903,-28208.185
PF01/0013/A135,SO,46.056996,9.619547,10.0,38782.687,-28687.386
PF02/0013/A135,SO,46.046373,9.622236,10.0,37601.135,-28484.787
PF03/0013/A135,SO,46.051939,9.63383,10.0,38215.646,-27584.781
PF01/0014/A135A,SO,46.105222,9.586055,54.0,44155.169,-31251.5
PF02/0014/A135A,SO,46.10362,9.58924,54.0,43975.882,-31006.156
PF03/0014/A135A,SO,46.10551,9.588438,54.0,44186.295,-31067.091
PF01/0015/A135A,SO,46.105665,9.592136,70.0,44201.984,-30781.197
PF01/0001/A172,SO,46.157864,9.836743,54.0,49937.916,-11860.385
PF01/0002/A172,SO,46.159572,9.844771,54.0,50126.513,-11240.02
PF02/0002/A172,SO,46.158442,9.839494,54.0,50001.779,-11647.794
PF01/0003/A172,SO,46.159948,9.851872,50.0,50167.386,-10691.511
PF02/0003/A172,SO,46.160197,9.846468,50.0,50195.81,-11108.865
PF03/0003/A172,SO,46.157288,9.847383,50.0,49872.297,-11038.787
PF04/0003/A172,SO,46.157993,9.851185,54.0,49950.14,-10744.996
PF01/0004/A172,SO,46.155584,9.839215,54.0,49684.091,-11669.968
PF02/0004/A172,SO,46.157597,9.84375,54.0,49907.19,-11319.277
PF04/0004/A172,SO,46.154576,9.835908,54.0,49572.598,-11925.623
PF05/0004/A172,SO,46.155456,9.842787,54.0,49669.386,-11394.108
PF06/0004/A172,SO,46.156689,9.834147,54.0,49807.724,-12061.125
PF07/0004/A172,SO,46.157396,9.837939,12.0,49885.7,-11768.1
PF02/0005/A172,SO,46.156067,9.844419,54.0,49737.104,-11267.96
PF03/0005/A172,SO,46.154131,9.847109,54.0,49521.561,-11060.52
PF04/0005/A172,SO,46.156009,9.852245,54.0,49729.571,-10663.48
PF05/0005/A172,SO,46.156753,9.847981,12.0,49812.8,-10992.7
PF01/0006/A172,SO,46.152205,9.831785,54.0,49309.648,-12244.549
PF02/0006/A172,SO,46.15466,9.831812,54.0,49582.556,-12241.973
PF02/0007/A172,SO,46.152158,9.837055,54.0,49303.656,-11837.561
PF03/0007/A172,SO,46.153271,9.839518,12.0,49426.963,-11647.024
PF04/0007/A172,SO,46.153869,9.843037,54.0,49492.947,-11375.096
PF05/0007/A172,SO,46.153173,9.833955,54.0,49416.951,-12076.717
PF07/0007/A172,SO,46.153029,9.841099,12.0,49399.87,-11524.99
PF08/0007/A172,SO,46.151225,9.839994,12.0,49199.583,-11610.692
PF01/0008/A172,SO,46.153645,9.845594,54.0,49467.738,-11177.641
PF02/0008/A172,SO,46.152578,9.850949,70.0,49348.357,-10764.223
PF01/0009/A172,SO,46.155824,9.858082,70.0,49708.175,-10212.672
PF02/0009/A172,SO,46.158445,9.855861,50.0,49999.808,-10383.76
PF03/0009/A172,SO,46.156204,9.853533,50.0,49751.016,-10563.933
PF04/0009/A172,SO,46.154797,9.862175,54.0,49593.515,-9896.757
PF06/0009/A172,SO,46.157828,9.859539,12.0,49930.774,-10099.83
PF01/0010/A172,SO,46.153749,9.868888,54.0,49476.238,-9378.452
PF05/0010/A172,SO,46.154299,9.858584,54.0,49538.614,-10174.226
PF07/0010/A172,SO,46.157886,9.867902,54.0,49936.191,-9453.912
PF08/0010/A172,SO,46.156033,9.866516,70.0,49730.391,-9561.267
PF09/0010/A172,SO,46.151163,9.860742,54.0,49189.86,-10008.119
PF14/0010/A172,SO,46.157363,9.863983,54.0,49878.532,-9756.625
PF15/0010/A172,SO,46.154915,9.861792,70.0,49606.661,-9926.284
PF16/0010/A172,SO,46.151846,9.86951,54.0,49264.626,-9330.709
PF17/0010/A172,SO,46.153349,9.862925,54.0,49432.536,-9839.096
PF18/0010/A172,SO,46.153207,9.856905,54.0,49417.546,-10304.099
PF19/0010/A172,SO,46.157058,9.86067,70.0,49845.046,-10012.551
PF03/0011/A172,SO,46.154373,9.872664,54.0,49545.14,-9086.691
PF04/0011/A172,SO,46.156274,9.870258,54.0,49756.673,-9272.2
PF05/0011/A172,SO,46.156462,9.873859,70.0,49777.182,-8994.069
PF01/0012/A172,SO,46.15407,9.879025,70.0,49510.806,-8595.449
PF02/0012/A172,SO,46.156794,9.878208,70.0,49813.629,-8658.078
PF03/0012/A172,SO,46.154079,9.875758,70.0,49512.107,-8847.72
PF04/0012/A172,SO,46.157797,9.882045,54.0,49924.687,-8361.616
PF01/0013/A172,SO,46.155497,9.88314,54.0,49668.955,-8277.36
PF02/0013/A172,SO,46.155111,9.886867,54.0,49625.69,-7989.58
PF03/0013/A172,SO,46.154077,9.883185,26.0,49511.121,-8274.067
PF04/0013/A172,SO,46.154384,9.885909,54.0,49544.917,-8063.644
PF05/0013/A172,SO,46.153524,9.882665,54.0,49449.675,-8314.371
PF07/0013/A172,SO,46.156913,9.883773,54.0,49826.211,-8228.263
PF08/0013/A172,SO,46.159012,9.884935,12.0,50059.45,-8138.18
PF02/0014/A172,SO,46.15692,9.89252,50.0,49826.2,-7552.653
PF04/0014/A172,SO,46.157435,9.896421,54.0,49883.014,-7251.297
PF05/0014/A172,SO,46.162023,9.894097,54.0,50393.137,-7430.191
PF06/0014/A172,SO,46.157744,9.895496,54.0,49917.5,-7322.7
PF07/0014/A172,SO,46.160535,9.892445,14.0,50228.0,-7558.0
PF01/0015/A172,SO,46.152113,9.896279,54.0,49291.547,-7262.972
PF02/0015/A172,SO,46.154385,9.885903,26.0,49545.079,-8064.122
PF03/0015/A172,SO,46.155395,9.891166,70.0,49656.85,-7657.49
PF04/0015/A172,SO,46.153251,9.895357,70.0,49418.166,-7334.042
PF05/0015/A172,SO,45.800824,10.120008,54.0,10253.666,10081.659
PF06/0015/A172,SO,46.155281,9.894518,12.0,49643.766,-7398.585
PF01/0016/A172,SO,46.151044,9.838734,54.0,49179.646,-11708.111
PF02/0016/A172,SO,46.149281,9.836342,54.0,48984.039,-11893.212
PF03/0016/A172,SO,46.151433,9.835661,54.0,49223.349,-11945.385
PF04/0016/A172,SO,46.15087,9.832567,54.0,49161.147,-12184.442
PF01/0017/A172,SO,46.148525,9.846077,54.0,48898.643,-11141.39
PF02/0017/A172,SO,46.151136,9.842421,54.0,49189.349,-11423.292
PF03/0017/A172,SO,46.150935,9.84935,54.0,49166.035,-10888.053
PF04/0017/A172,SO,46.147847,9.849095,54.0,48822.787,-10908.424
PF05/0017/A172,SO,46.148847,9.840097,54.0,48935.203,-11603.218
PF01/0018/A172,SO,46.151486,9.850028,54.0,49227.096,-10835.614
PF02/0018/A172,SO,46.15199,9.854715,54.0,49282.496,-10473.502
PF03/0018/A172,SO,46.14809,9.85193,54.0,48849.436,-10689.314
PF04/0018/A172,SO,46.15194,9.855055,12.0,49276.928,-10447.255
PF01/0019/A172,SO,46.148934,9.837174,54.0,48945.359,-11828.987
