identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF06/0001/A261,SP,44.072393,9.947202,21.0,-42633.162,80765.281
PF03/0002/A261,SP,44.074922,9.960908,54.0,-42338.628,81859.535
PF07/0002/A261,SP,44.069543,9.955671,50.0,-42941.398,81447.503
PF24/0002/A261,SP,44.067117,9.952615,54.0,-43213.929,81206.066
PF25/0002/A261,SP,44.078255,9.960592,12.0,-41968.57,81829.631
PF26/0002/A261,SP,44.077815,9.959072,54.0,-42019.023,81708.512
PF29/0002/A261,SP,44.076637,9.961302,21.0,-42147.665,81888.702
PF01/0003/A261,SP,44.076551,9.966371,56.0,-42152.195,82294.8
PF02/0003/A261,SP,44.074863,9.969702,70.0,-42336.403,82563.943
PF06/0003/A261,SP,44.069865,9.96923,56.0,-42892.136,82533.067
PF08/0003/A261,SP,44.07166,9.970509,56.0,-42691.464,82633.029
PF09/0003/A261,SP,44.072519,9.974104,54.0,-42592.415,82919.733
PF20/0003/A261,SP,44.077551,9.969527,12.0,-42037.887,82546.177
PF21/0003/A261,SP,44.074413,9.964928,21.0,-42391.186,82182.209
PF03/0005/A261,SP,44.063621,9.956867,70.0,-43598.148,81551.416
PF05/0005/A261,SP,44.065044,9.95754,54.0,-43439.457,81603.357
PF06/0005/A261,SP,44.064919,9.959961,54.0,-43450.85,81797.493
PF08/0005/A261,SP,44.066894,9.954715,54.0,-43236.702,81374.545
PF09/0005/A261,SP,44.065117,9.954898,21.0,-43433.935,81391.602
PF03/0006/A261,SP,44.068429,9.962425,54.0,-43058.452,81990.032
PF04/0006/A261,SP,44.067807,9.961537,54.0,-43128.492,81919.725
PF06/0006/A261,SP,44.066274,9.962066,58.0,-43298.281,81964.204
PF11/0006/A261,SP,44.062948,9.963175,54.0,-43666.735,82057.622
PF12/0006/A261,SP,44.064901,9.964229,54.0,-43448.637,82139.398
PF15/0006/A261,SP,44.064033,9.962336,54.0,-43546.962,81988.96
PF18/0006/A261,SP,44.066572,9.959645,21.0,-43267.575,81769.898
PF07/0007/A261,SP,44.068576,9.973684,52.0,-43030.825,82891.613
PF08/0007/A261,SP,44.067685,9.978143,54.0,-43125.356,83250.005
PF10/0007/A261,SP,44.06519,9.970417,54.0,-43410.313,82634.671
PF12/0007/A261,SP,44.06308,9.966744,54.0,-43648.504,82343.344
PF14/0007/A261,SP,44.063371,9.973723,52.0,-43609.159,82901.976
