identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A494,SR,37.833632,15.38637,50.0,7726.937,35239.911
PF03/0001/A494,SR,37.836471,15.388503,50.0,8042.865,35426.274
PF04/0001/A494,SR,37.82691,15.372185,50.0,6975.72,33994.405
PF05/0001/A494,SR,37.827812,15.376652,50.0,7077.419,34387.189
PF07/0001/A494,SR,37.832646,15.382915,50.0,7616.248,34936.215
PF13/0001/A494,SR,37.334496,15.094105,12.0,4131980.342,2528338.797
PF14/0001/A494,SR,37.82832,15.382188,50.0,7135.855,34874.28
PF15/0001/A494,SR,37.838331,15.379858,12.0,8246.0,34664.5
PF18/0001/A494,SR,37.824636,15.3854,50.0,6728.205,35158.805
PF20/0001/A494,SR,37.826725,15.390263,50.0,6961.894,35585.827
PF22/0001/A494,SR,37.823939,15.389186,50.0,6652.312,35492.389
PF23/0001/A494,SR,37.830745,15.385646,12.0,7406.28,35177.5
PF24/0001/A494,SR,37.828709,15.386687,50.0,7180.701,35270.136
PF25/0001/A494,SR,37.834662,15.379296,50.0,7838.637,34616.772
PF26/0001/A494,SR,37.836827,15.386156,50.0,8081.451,35219.545
PF27/0001/A494,SR,37.835865,15.378007,50.0,7971.613,34502.718
PF29/0001/A494,SR,37.825601,15.383467,72.0,6834.542,34988.16
PF30/0001/A494,SR,37.824164,15.371221,50.0,6670.538,33910.801
PF31/0001/A494,SR,37.822387,15.374239,50.0,6474.464,34177.311
PF32/0001/A494,SR,37.835626,15.377781,50.0,7945.07,34482.965
PF33/0001/A494,SR,37.824713,15.377426,50.0,6733.779,34456.813
PF34/0001/A494,SR,37.835559,15.385166,50.0,7940.333,35132.999
PF35/0001/A494,SR,37.834497,15.3898,50.0,7824.243,35541.402
PF36/0001/A494,SR,37.826964,15.387197,50.0,6987.206,35315.86
PF37/0001/A494,SR,37.831826,15.376722,50.0,7522.866,34391.51
PF38/0001/A494,SR,37.834749,15.38242,50.0,7849.443,34891.704
PF41/0001/A494,SR,37.83709,15.389401,72.0,8111.911,35505.036
PF42/0001/A494,SR,37.331307,15.094684,12.0,4131626.579,2528390.447
PF43/0001/A494,SR,37.83674,15.383164,12.0,8070.678,34956.21
PF44/0001/A494,SR,37.829866,15.382594,50.0,7307.557,34909.32
PF45/0001/A494,SR,37.837219,15.378388,12.0,8122.0,34535.69
PF46/0001/A494,SR,37.838632,15.380019,12.0,8279.5,34678.5
PF47/0001/A494,SR,37.82893,15.386102,12.0,7205.0,35218.5
PF48/0001/A494,SR,37.829848,15.388683,12.0,7307.84,35445.25
PF50/0001/A494,SR,37.327083,15.095735,12.0,4131158.0,2528484.0
PF51/0001/A494,SR,37.339541,15.093097,12.0,4132540.0,2528249.0
PF01/0002/A494,SR,37.809792,15.386182,50.0,5081.11,35234.703
PF02/0002/A494,SR,37.806791,15.386177,50.0,4747.978,35235.618
PF03/0002/A494,SR,37.807576,15.383882,50.0,4834.226,35033.22
PF04/0002/A494,SR,37.824208,15.390604,50.0,6682.642,35617.081
PF05/0002/A494,SR,37.819051,15.393956,36.0,6111.656,35914.709
PF07/0002/A494,SR,37.816668,15.368759,50.0,5837.727,33697.477
PF09/0002/A494,SR,37.815927,15.372753,50.0,5756.946,34049.461
PF11/0002/A494,SR,37.821552,15.383792,50.0,6385.335,35018.714
PF12/0002/A494,SR,37.819126,15.378881,50.0,6114.229,34587.443
PF14/0002/A494,SR,37.813672,15.383702,50.0,5510.704,35014.526
PF15/0002/A494,SR,37.813987,15.386615,50.0,5546.753,35270.805
PF17/0002/A494,SR,37.821915,15.372041,50.0,6421.214,33984.027
PF20/0002/A494,SR,37.811617,15.365898,50.0,5276.114,33447.896
PF21/0002/A494,SR,37.806104,15.368762,50.0,4665.382,33702.548
PF22/0002/A494,SR,37.806594,15.3741,50.0,4721.697,34172.326
PF23/0002/A494,SR,37.803034,15.378136,50.0,4328.056,34529.363
PF24/0002/A494,SR,37.802545,15.374313,50.0,4272.389,34193.006
PF26/0002/A494,SR,37.309563,15.105563,50.0,4129215.26,2529356.96
PF27/0002/A494,SR,37.803753,15.37501,8.0,4406.64,34253.8
PF28/0002/A494,SR,37.806554,15.398648,8.0,4726.48,36333.83
PF29/0002/A494,SR,37.803667,15.386927,50.0,4401.547,35303.163
