identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF03/0001/A192,SS,40.671129,8.202809,10.0,4502563.41,1432651.43
PF04/0001/A192,SS,40.665898,8.199837,10.0,4501985.0,1432394.97
PF02/0002/A192,SS,40.66018,8.193991,52.0,4501354.69,1431895.04
PF03/0002/A192,SS,40.653366,8.192882,52.0,4500599.2,1431794.36
PF05/0002/A192,SS,40.658447,8.19753,52.0,4501159.59,1432192.42
PF01/0006/A192,SS,40.672117,8.289325,12.0,4502610.398,1439964.766
PF01/0014/A192,SS,40.644034,8.186322,4.0,4499568.38,1431230.17
PF31/0019/A192,SS,40.616902,8.205776,12.0,4496541.61,1432847.96
PF32/0019/A192,SS,40.618371,8.20934,12.0,4496701.97,1433150.86
PF33/0019/A192,SS,40.621399,8.197422,10.0,4497047.148,1432145.829
PF34/0019/A192,SS,40.618463,8.195909,10.0,4496722.47,1432014.87
PF35/0019/A192,SS,40.623131,8.195427,10.0,4497241.009,1431978.841
PF36/0019/A192,SS,40.618713,8.19275,10.0,4496752.63,1431747.87
PF03/0032/A192,SS,40.594153,8.214961,9.0,4494009.38,1433602.41
PF05/0032/A192,SS,40.592695,8.210429,9.0,4493850.88,1433217.43
PF08/0032/A192,SS,40.602248,8.220552,10.0,4494903.74,1434083.43
PF17/0032/A192,SS,40.606646,8.218752,12.0,4495393.23,1433935.45
PF19/0032/A192,SS,40.594002,8.217144,12.0,4493990.88,1433786.97
PF20/0032/A192,SS,40.612961,8.211605,12.0,4496099.68,1433337.08
PF21/0032/A192,SS,40.597784,8.21802,12.0,4494410.126,1433864.778
PF22/0032/A192,SS,40.593603,8.204588,10.0,4493956.12,1432724.07
PF01/0037/A192,SS,40.591536,8.289131,52.0,4493665.56,1439876.13
PF02/0037/A192,SS,40.597223,8.289833,52.0,4494296.35,1439940.58
PF06/0037/A192,SS,40.594684,8.290042,10.0,4494014.39,1439956.04
PF01/0045/A192,SS,40.587313,8.171573,4.0,4493283.62,1429923.85
PF02/0045/A192,SS,40.594488,8.149786,4.0,4494097.69,1428087.76
PF03/0045/A192,SS,40.591925,8.165521,56.0,4493800.465,1429416.478
PF11/0045/A192,SS,40.592217,8.169428,56.0,4493829.73,1429747.46
PF13/0045/A192,SS,40.588997,8.168854,52.0,4493472.74,1429695.47
PF19/0045/A192,SS,40.583974,8.164967,12.0,4492918.35,1429361.24
PF20/0045/A192,SS,40.582446,8.169326,12.0,4492745.175,1429728.557
PF21/0045/A192,SS,40.583181,8.171561,12.0,4492825.058,1429918.46
PF02/0046/A192,SS,40.560778,8.162598,3.0,4490345.373,1429136.354
PF18/0046/A192,SS,40.566776,8.158599,12.0,4491014.363,1428804.088
PF19/0046/A192,SS,40.569511,8.157989,12.0,4491318.458,1428755.364
PF20/0046/A192,SS,40.570414,8.162663,12.0,4491414.893,1429151.957
PF21/0046/A192,SS,40.564473,8.164616,12.0,4490753.911,1429311.034
PF02/0047/A192,SS,40.572314,8.222457,9.0,4491579.52,1434215.27
PF08/0047/A192,SS,40.571324,8.203103,12.0,4491484.225,1432576.07
PF09/0047/A192,SS,40.568269,8.203756,12.0,4491144.629,1432628.291
PF10/0047/A192,SS,40.570248,8.205779,12.0,4491362.689,1432801.468
PF30/0048/A192,SS,40.570971,8.242028,10.0,4491415.98,1435870.56
PF36/0048/A192,SS,40.569336,8.241977,10.0,4491234.52,1435864.73
PF42/0048/A192,SS,40.583291,8.245589,10.0,4492781.007,1436183.731
PF01/0049/A192,SS,40.586464,8.264628,4.0,4493119.53,1437797.94
PF03/0049/A192,SS,40.576831,8.247436,6.0,4492062.49,1436333.88
PF07/0049/A192,SS,40.586067,8.255646,52.0,4493081.91,1437037.47
PF22/0049/A192,SS,40.584427,8.258668,10.0,4492897.69,1437291.69
PF23/0049/A192,SS,40.579938,8.246007,12.0,4492408.422,1436215.9
PF26/0049/A192,SS,40.583285,8.254472,10.0,4492773.94,1436935.49
PF28/0049/A192,SS,40.583425,8.262086,12.0,4492784.0,1437580.0
PF09/0050/A192,SS,40.587484,8.306376,12.0,4493204.16,1441331.84
PF10/0050/A192,SS,40.5916,8.299654,12.0,4493665.496,1440766.615
PF01/0065/A192,SS,40.565442,8.310755,12.0,4490754.52,1441683.33
PF02/0065/A192,SS,40.562004,8.311593,12.0,4490372.24,1441751.246
PF03/0065/A192,SS,40.565026,8.315643,12.0,4490705.065,1442096.746
PF04/0065/A192,SS,40.564563,8.308062,12.0,4490658.68,1441454.59
PF10/0078/A192,SS,40.545083,8.321646,52.0,4488487.35,1442587.88
PF08/0084/A192,SS,40.538624,8.325195,52.0,4487768.14,1442882.99
PF06/0093/A192,SS,40.522802,8.334338,52.0,4486005.98,1443643.98
PF01/0095/A192,SS,40.500513,8.340389,4.0,4483527.95,1444138.08
PF16/0095/A192,SS,40.510186,8.347186,52.0,4484597.356,1444721.994
PF19/0095/A192,SS,40.507347,8.339784,12.0,4484286.92,1444092.47
PF21/0095/A192,SS,40.505308,8.34372,12.0,4484058.063,1444424.28
PF26/0095/A192,SS,40.50545,8.338268,12.0,4484077.3,1443962.49
PF27/0096/A192,SS,40.495792,8.366421,12.0,4482987.781,1446340.17
PF28/0096/A192,SS,40.499803,8.357282,12.0,4483438.573,1445568.973
PF29/0096/A192,SS,40.497399,8.368725,12.0,4483164.714,1446536.699
PF03/0097/A192,SS,40.560986,8.307586,12.0,4490261.93,1441411.21
PF04/0097/A192,SS,40.560359,8.312119,10.0,4490189.3,1441794.39
PF05/0097/A192,SS,40.556549,8.312303,12.0,4489766.239,1441806.696
PF18/0001/A453,SS,41.134869,9.305638,52.0,4553782.97,1525682.3
PF11/0002/A453,SS,41.054291,9.343567,10.0,4544849.6,1528901.13
PF37/0004/A453,SS,41.063611,9.37583,12.0,4545895.49,1531607.8
PF09/0006/A453,SS,41.125993,9.337907,10.0,4552807.686,1528394.559
PF16/0006/A453,SS,41.035892,9.290325,12.0,4542790.79,1524433.74
PF32/0016/A453,SS,41.044566,9.391153,12.0,4543786.92,1532904.78
PF12/0024/A453,SS,41.004416,9.284389,52.0,4539295.0,1523946.19
PF13/0024/A453,SS,41.002065,9.285832,52.0,4539034.32,1524068.37
PF04/0025/A453,SS,41.002638,9.310057,10.0,4539104.93,1526105.52
PF21/0025/A453,SS,41.000768,9.306741,12.0,4538896.343,1525827.343
PF38/0035/A453,SS,41.095818,9.559121,12.0,4549553.504,1546985.444
PF40/0035/A453,SS,41.095818,9.559121,12.0,4549553.504,1546985.444
PF18/0036/A453,SS,41.087455,9.539087,9.0,4548614.52,1545308.66
PF19/0036/A453,SS,41.082327,9.535529,52.0,4548043.36,1545013.34
PF24/0036/A453,SS,41.08481,9.532784,52.0,4548317.63,1544781.09
PF33/0036/A453,SS,41.089263,9.534675,12.0,4548812.97,1544936.92
PF47/0038/A453,SS,40.996783,9.307677,10.0,4538454.243,1525907.665
PF48/0038/A453,SS,40.994736,9.311647,12.0,4538228.24,1526242.33
PF49/0038/A453,SS,40.998779,9.312293,12.0,4538677.19,1526295.12
PF52/0039/A453,SS,40.894576,9.454409,10.0,4527162.13,1538307.9
PF62/0039/A453,SS,40.981428,9.306926,10.0,4536749.47,1525850.52
PF58/0046/A453,SS,41.066151,9.46818,12.0,4546214.99,1539365.76
PF07/0047/A453,SS,41.079386,9.532097,54.0,4547715.11,1544727.06
PF17/0047/A453,SS,41.074155,9.530169,12.0,4547133.47,1544568.61
PF01/0048/A453,SS,41.064235,9.538925,6.0,4546036.73,1545311.0
PF06/0048/A453,SS,41.067232,9.530044,12.0,4546364.83,1544562.83
PF07/0048/A453,SS,40.984901,9.490532,12.0,4537205.646,1541294.477
PF23/0049/A453,SS,40.980468,9.488166,12.0,4536712.318,1541098.211
PF24/0049/A453,SS,40.977135,9.492222,10.0,4536344.228,1541441.544
PF26/0049/A453,SS,40.975204,9.49413,12.0,4536130.853,1541603.312
PF33/0049/A453,SS,40.978624,9.500321,12.0,4536513.429,1542122.019
PF34/0049/A453,SS,40.987821,9.482066,12.0,4537525.8,1540580.54
PF35/0049/A453,SS,40.98368,9.481761,10.0,4537065.945,1540557.428
PF36/0049/A453,SS,40.985269,9.48052,10.0,4537241.799,1540452.067
PF37/0049/A453,SS,40.984482,9.485028,10.0,4537156.536,1540831.749
PF39/0049/A453,SS,40.983121,9.487359,12.0,4537006.473,1541028.684
PF40/0049/A453,SS,40.973385,9.497557,12.0,4535930.499,1541892.748
PF41/0049/A453,SS,40.980833,9.493803,12.0,4536755.583,1541572.255
PF23/0050/A453,SS,40.957872,9.277608,10.0,4534126.225,1523392.399
PF24/0050/A453,SS,40.956636,9.282828,10.0,4533990.382,1523832.108
PF12/0053/A453,SS,40.951288,9.273539,52.0,4533394.293,1523052.243
PF63/0053/A453,SS,40.954353,9.266011,12.0,4533732.487,1522417.584
PF19/0055/A453,SS,40.946679,9.323239,12.0,4532896.86,1527237.17
PF01/0001/C272,SS,40.915409,8.712783,4.0,4529414.7,1475843.18
PF03/0002/C272,SS,40.912768,8.719538,52.0,4529119.67,1476411.11
PF11/0002/C272,SS,40.91501,8.716189,52.0,4529369.43,1476129.93
PF13/0002/C272,SS,40.917409,8.712899,10.0,4529636.74,1475853.7
PF21/0003/C272,SS,40.916405,8.736765,9.0,4529518.9,1477863.1
PF35/0003/C272,SS,40.915031,8.737502,9.0,4529366.18,1477924.68
PF38/0003/C272,SS,40.912245,8.725335,52.0,4529060.14,1476899.13
PF50/0003/C272,SS,40.915453,8.748044,12.0,4529410.445,1478812.606
PF51/0003/C272,SS,40.916816,8.750646,10.0,4529561.103,1479032.118
PF53/0003/C272,SS,40.915382,8.758959,12.0,4529400.0,1479731.717
PF22/0004/C272,SS,40.915753,8.764079,10.0,4529440.0,1480163.0
PF23/0004/C272,SS,40.915996,8.769585,10.0,4529465.789,1480626.746
PF08/0006/C272,SS,40.912193,8.700493,9.0,4529061.17,1474807.09
PF14/0006/C272,SS,40.911237,8.696183,10.0,4528956.26,1474443.7
PF17/0006/C272,SS,40.912104,8.696428,9.0,4529052.485,1474464.69
PF18/0006/C272,SS,40.914604,8.700139,56.0,4529328.96,1474778.18
PF40/0007/C272,SS,40.913704,8.70668,52.0,4529227.15,1475328.63
PF33/0009/C272,SS,40.907997,8.690964,52.0,4528598.17,1474002.94
PF28/0014/C272,SS,40.897859,8.671394,52.0,4527478.75,1472350.52
PF34/0014/C272,SS,40.895685,8.668505,52.0,4527238.33,1472106.24
PF35/0014/C272,SS,40.895445,8.664204,52.0,4527213.04,1471743.83
PF50/0014/C272,SS,40.899914,8.67724,12.0,4527705.08,1472843.8
PF61/0014/C272,SS,40.892753,8.660074,12.0,4526915.52,1471394.77
PF13/0019/C272,SS,40.878738,8.631708,52.0,4525369.42,1468998.76
