identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A122,SV,43.944704,8.100294,10.0,-47858.1,-64174.6
PF03/0001/A122,SV,43.9481,8.101396,10.0,-47481.9,-64082.0
PF04/0001/A122,SV,43.948715,8.104212,12.0,-47416.11,-63855.265
PF05/0001/A122,SV,43.94681,8.100014,12.0,-47624.029,-64194.495
PF06/0001/A122,SV,43.948639,8.097423,12.0,-47418.59,-64400.18
PF07/0001/A122,SV,43.947797,8.102864,12.0,-47516.873,-63964.581
PF01/0002/A122,SV,43.948389,8.105654,7.0,-47453.51,-63739.99
PF03/0002/A122,SV,43.948911,8.107502,10.0,-47397.1,-63591.1
PF04/0002/A122,SV,43.947777,8.109748,10.0,-47525.0,-63412.2
PF05/0002/A122,SV,43.948935,8.108774,10.0,-47395.6,-63489.0
PF06/0002/A122,SV,43.947901,8.105338,10.0,-47507.5,-63765.9
PF08/0002/A122,SV,43.946796,8.108028,10.0,-47632.5,-63551.4
PF09/0002/A122,SV,43.94641,8.110491,10.0,-47677.5,-63354.2
PF10/0002/A122,SV,43.94558,8.110435,10.0,-47769.7,-63359.7
PF11/0002/A122,SV,43.944966,8.108408,10.0,-47836.1,-63523.1
PF13/0002/A122,SV,43.944852,8.106807,10.0,-47847.4,-63651.7
PF14/0002/A122,SV,43.94429,8.105425,10.0,-47908.6,-63763.3
PF15/0002/A122,SV,43.943356,8.106669,10.0,-48013.4,-63664.6
PF16/0002/A122,SV,43.943047,8.10828,10.0,-48049.1,-63535.7
PF17/0002/A122,SV,43.94558,8.108441,10.0,-47767.9,-63519.7
PF18/0002/A122,SV,43.945828,8.106887,10.0,-47739.0,-63644.1
PF19/0002/A122,SV,43.949491,8.108243,10.0,-47333.4,-63530.9
PF20/0002/A122,SV,43.949592,8.110153,10.0,-47323.8,-63377.5
PF21/0002/A122,SV,43.945672,8.10547,12.0,-47755.1,-63758.0
PF22/0002/A122,SV,43.947013,8.109342,10.0,-47609.6,-63445.7
PF23/0002/A122,SV,43.947977,8.108495,10.0,-47501.7,-63512.5
PF24/0002/A122,SV,43.947805,8.104117,10.0,-47517.0,-63864.0
PF25/0002/A122,SV,43.94408,8.107736,10.0,-47933.9,-63578.1
PF26/0002/A122,SV,43.947028,8.105383,10.0,-47604.4,-63763.4
PF50/0002/A122,SV,43.949084,8.108817,12.0,-47379.062,-63485.337
PF01/0003/A122,SV,43.948994,8.111727,10.0,-47391.6,-63251.9
PF02/0003/A122,SV,43.947344,8.111693,10.0,-47574.8,-63256.6
PF03/0003/A122,SV,43.945481,8.112127,10.0,-47782.1,-63224.0
PF04/0003/A122,SV,43.944172,8.110978,10.0,-47926.5,-63317.8
PF05/0003/A122,SV,43.942024,8.112894,10.0,-48166.8,-63166.6
PF06/0003/A122,SV,43.941223,8.110806,10.0,-48253.9,-63335.1
PF07/0003/A122,SV,43.948751,8.114399,10.0,-47420.9,-63037.8
PF08/0003/A122,SV,43.947076,8.114168,10.0,-47606.7,-63058.3
PF09/0003/A122,SV,43.945381,8.114935,10.0,-47795.6,-62998.8
PF10/0003/A122,SV,43.943744,8.113833,10.0,-47976.5,-63089.2
PF12/0003/A122,SV,43.949192,8.116613,10.0,-47373.8,-62859.6
PF13/0003/A122,SV,43.947835,8.116007,10.0,-47524.0,-62909.9
PF14/0003/A122,SV,43.946051,8.117591,10.0,-47723.5,-62784.9
