identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF19/0123/C136,TA,40.44674,16.915357,50.0,4479110.732,2682439.121
PF34/0123/C136,TA,40.442244,16.909747,12.0,4478601.27,2681974.12
PF35/0123/C136,TA,40.443862,16.911184,12.0,4478783.53,2682092.1
PF05/0124/C136,TA,40.450105,16.919809,50.0,4479492.39,2682808.52
PF14/0124/C136,TA,40.453393,16.924132,12.0,4479865.389,2683167.169
PF15/0124/C136,TA,40.455233,16.926927,12.0,4480074.817,2683399.734
PF16/0124/C136,TA,40.455839,16.926866,12.0,4480141.999,2683393.097
PF17/0124/C136,TA,40.457729,16.930335,12.0,4480358.23,2683682.676
PF19/0124/C136,TA,40.456324,16.9286,12.0,4480199.018,2683538.993
PF11/0125/C136,TA,40.467287,16.944579,50.0,4481445.84,2684867.13
PF18/0125/C136,TA,40.462578,16.937205,50.0,4480909.35,2684253.46
PF37/0125/C136,TA,40.465749,16.942469,12.0,4481271.15,2684692.05
PF40/0125/C136,TA,40.46059,16.934127,12.0,4480682.94,2683997.322
PF02/0127/C136,TA,40.490019,16.981707,50.0,4484039.379,2687958.399
PF07/0138/E036,TA,40.429398,16.893875,50.0,4477146.21,2680658.52
PF08/0138/E036,TA,40.428829,16.89224,50.0,4477080.05,2680521.1
PF24/0138/E036,TA,40.427675,16.893127,12.0,4476953.63,2680599.17
PF43/0141/E036,TA,40.417987,16.884225,12.0,4475862.028,2679866.843
PF45/0141/E036,TA,40.413019,16.877105,12.0,4475297.66,2679274.5
PF49/0141/E036,TA,40.426824,16.888454,12.0,4476850.612,2680204.697
PF50/0141/E036,TA,40.423335,16.884183,12.0,4476455.603,2679850.687
PF52/0141/E036,TA,40.421688,16.887202,12.0,4476278.22,2680110.67
PF53/0141/E036,TA,40.418238,16.880178,12.0,4475882.52,2679522.92
PF54/0141/E036,TA,40.426023,16.891585,12.0,4476767.46,2680472.25
PF55/0141/E036,TA,40.422479,16.885014,12.0,4476362.131,2679923.179
PF56/0141/E036,TA,40.415054,16.880789,12.0,4475530.217,2679582.312
PF16/0143/E036,TA,40.401104,16.866592,12.0,4473956.1,2678410.36
PF09/0008/E537,TA,40.379498,17.29615,50.0,4472416.09,2714928.83
PF11/0008/E537,TA,40.380195,17.299701,12.0,4472501.36,2715228.27
PF03/0009/E537,TA,40.376621,17.299331,50.0,4472103.76,2715207.13
PF23/0009/E537,TA,40.375146,17.301071,50.0,4471943.8,2715359.13
PF02/0014/E537,TA,40.371162,17.305379,50.0,4471511.14,2715736.48
PF07/0014/E537,TA,40.367138,17.310415,50.0,4471075.48,2716175.73
PF10/0014/E537,TA,40.371066,17.305224,9.0,4471500.1,2715723.58
PF21/0014/E537,TA,40.3663,17.312442,50.0,4470987.05,2716350.23
PF22/0014/E537,TA,40.366095,17.314318,50.0,4470968.45,2716510.2
PF18/0015/E537,TA,40.362106,17.332347,54.0,4470565.77,2718052.8
PF24/0015/E537,TA,40.363667,17.329303,54.0,4470732.27,2717789.72
PF32/0015/E537,TA,40.361622,17.32543,12.0,4470496.55,2717466.8
PF19/0053/E630,TA,40.328911,17.445467,50.0,4467140.14,2727760.89
PF34/0053/E630,TA,40.326352,17.451758,12.0,4466870.84,2728303.3
PF14/0062/E630,TA,40.325528,17.453995,12.0,4466784.59,2728495.91
PF32/0067/E630,TA,40.315988,17.467015,12.0,4465756.37,2729631.69
PF33/0067/E630,TA,40.316269,17.464441,12.0,4465781.43,2729412.03
PF34/0067/E630,TA,40.318377,17.465621,10.0,4466018.18,2729505.82
PF35/0067/E630,TA,40.316434,17.461062,12.0,4465791.78,2729124.413
PF27/0139/E882,TA,40.301957,17.615368,20.0,4464560.628,2742284.761
PF10/0140/E882,TA,40.302675,17.62545,12.0,4464665.66,2743139.34
PF11/0140/E882,TA,40.303425,17.628894,12.0,4464757.68,2743429.61
PF13/0140/E882,TA,40.302929,17.627793,12.0,4464699.8,2743337.71
PF35/0143/E882,TA,40.304923,17.681316,12.0,4465057.56,2747880.3
PF03/0144/E882,TA,40.301376,17.716209,21.0,4464754.241,2750858.15
PF08/0145/E882,TA,40.29679,17.74035,50.0,4464308.31,2752925.91
PF40/0145/E882,TA,40.295737,17.764003,12.0,4464253.96,2754940.224
PF43/0145/E882,TA,40.295651,17.743588,12.0,4464190.43,2753205.11
PF44/0145/E882,TA,40.295777,17.748555,12.0,4464217.52,2753626.93
PF02/0012/E995,TA,40.333122,17.517614,3.0,4467779.56,2733877.46
PF04/0022/E995,TA,40.299786,17.504599,3.0,4464047.35,2732876.43
PF10/0022/E995,TA,40.295032,17.509104,50.0,4463530.38,2733274.34
PF37/0022/E995,TA,40.299975,17.504817,12.0,4464068.88,2732894.41
PF02/0026/E995,TA,40.321266,17.573438,4.0,4466599.78,2738658.44
PF13/0030/E995,TA,40.295795,17.525828,50.0,4463655.56,2734693.52
PF14/0030/E995,TA,40.295367,17.517861,50.0,4463588.73,2734017.64
PF18/0030/E995,TA,40.295302,17.524453,12.0,4463597.464,2734578.197
PF26/0030/E995,TA,40.296884,17.521972,50.0,4463767.05,2734362.3
PF01/0031/E995,TA,40.296209,17.534018,7.0,4463721.36,2735388.45
PF20/0031/E995,TA,40.296092,17.529365,50.0,4463697.07,2734993.27
PF33/0031/E995,TA,40.297199,17.540808,12.0,4463847.84,2735962.47
PF32/0032/E995,TA,40.297547,17.547394,12.0,4463902.6,2736521.16
PF06/0034/E995,TA,40.301552,17.580041,50.0,4464427.5,2739283.34
PF08/0034/E995,TA,40.300056,17.574127,50.0,4464246.79,2738785.48
PF28/0034/E995,TA,40.300255,17.575755,12.0,4464272.989,2738923.252
PF29/0034/E995,TA,40.30027,17.573339,12.0,4464268.608,2738717.822
PF23/0036/E995,TA,40.300719,17.600267,52.0,4464385.31,2741005.28
PF38/0036/E995,TA,40.299584,17.590509,12.0,4464235.04,2740179.5
PF40/0036/E995,TA,40.299992,17.594054,12.0,4464289.15,2740479.48
PF41/0036/E995,TA,40.299944,17.597328,12.0,4464291.965,2740757.949
PF07/0108/F027,TA,40.51748,17.061989,50.0,4487243.84,2694691.48
PF11/0112/F027,TA,40.520605,17.101706,12.0,4487670.232,2698048.154
PF08/0001/G252,TA,40.599942,16.996702,12.0,4496270.88,2688952.73
PF09/0001/G252,TA,40.601409,17.004452,12.0,4496448.66,2689604.88
PF10/0001/G252,TA,40.596261,17.001305,12.0,4495871.16,2689351.57
PF11/0001/G252,TA,40.601199,16.991084,12.0,4496399.7,2688474.2
PF12/0001/G252,TA,40.598135,16.992593,12.0,4496062.5,2688609.6
PF04/0002/G252,TA,40.594429,17.007289,12.0,4495679.28,2689862.59
PF13/0003/G252,TA,40.593641,17.021733,12.0,4495619.8,2691086.93
PF14/0003/G252,TA,40.590132,17.022465,12.0,4495231.62,2691157.77
PF15/0003/G252,TA,40.591682,17.016944,12.0,4495393.03,2690686.59
PF16/0003/G252,TA,40.599212,17.015256,12.0,4496225.64,2690524.61
PF17/0003/G252,TA,40.593648,17.015879,12.0,4495609.213,2690591.518
PF18/0003/G252,TA,40.59647,17.01991,12.0,4495930.341,2690925.399
PF12/0004/G252,TA,40.594488,17.025504,12.0,4495721.1,2691403.9
PF13/0004/G252,TA,40.600185,17.030963,12.0,4496364.27,2691851.27
PF14/0004/G252,TA,40.602868,17.026612,12.0,4496653.59,2691476.23
PF15/0004/G252,TA,40.600135,17.02752,12.0,4496351.98,2691560.04
PF16/0004/G252,TA,40.599587,17.024633,12.0,4496285.51,2691317.13
PF11/0005/G252,TA,40.592705,17.036333,12.0,4495544.31,2692324.856
PF17/0006/G252,TA,40.598773,17.056488,12.0,4496257.621,2694014.743
PF18/0006/G252,TA,40.604504,17.045004,12.0,4496871.245,2693028.227
PF19/0006/G252,TA,40.594911,17.054221,12.0,4495824.44,2693832.91
PF20/0006/G252,TA,40.591835,17.053792,12.0,4495482.05,2693804.6
PF21/0006/G252,TA,40.5983,17.044207,12.0,4496180.882,2692976.806
PF11/0007/G252,TA,40.589434,17.064874,12.0,4495237.48,2694748.72
PF12/0007/G252,TA,40.599099,17.059833,12.0,4496300.4,2694296.95
PF13/0007/G252,TA,40.594519,17.064621,12.0,4495801.45,2694714.04
PF14/0007/G252,TA,40.597773,17.062403,12.0,4496158.37,2694517.86
PF15/0007/G252,TA,40.600339,17.06577,12.0,4496449.89,2694796.15
PF16/0007/G252,TA,40.591054,17.057867,12.0,4495403.47,2694151.52
PF11/0008/G252,TA,40.591926,17.000578,12.0,4495388.45,2689300.95
PF12/0008/G252,TA,40.590468,16.989619,12.0,4495205.57,2688377.22
PF15/0008/G252,TA,40.589824,16.992609,12.0,4495139.82,2688631.85
PF16/0008/G252,TA,40.595184,16.998584,12.0,4495746.31,2689124.02
PF17/0008/G252,TA,40.592746,17.003802,12.0,4495485.76,2689571.78
PF11/0009/G252,TA,40.58759,17.010749,12.0,4494926.76,2690172.74
PF12/0009/G252,TA,40.585547,17.008721,12.0,4494696.02,2690006.23
PF13/0009/G252,TA,40.582355,17.023032,12.0,4494369.35,2691225.6
PF14/0009/G252,TA,40.583517,17.017794,12.0,4494488.18,2690779.35
PF15/0009/G252,TA,40.58796,17.015198,12.0,4494976.46,2690548.33
PF16/0009/G252,TA,40.584579,17.013061,12.0,4494596.96,2690376.03
PF17/0010/G252,TA,40.584505,17.024973,12.0,4494611.82,2691384.45
PF18/0010/G252,TA,40.585862,17.027427,12.0,4494767.27,2691588.66
PF19/0010/G252,TA,40.586958,17.025146,12.0,4494884.52,2691392.77
PF20/0010/G252,TA,40.585699,17.03665,12.0,4494767.19,2692369.7
PF21/0010/G252,TA,40.59089,17.034092,12.0,4495338.48,2692139.88
PF22/0010/G252,TA,40.583512,17.036211,12.0,4494523.547,2692338.12
PF23/0010/G252,TA,40.583122,17.031199,12.0,4494470.4,2691914.91
PF24/0010/G252,TA,40.589586,17.026949,12.0,4495179.77,2691538.66
PF12/0011/G252,TA,40.578633,17.031339,12.0,4493972.39,2691938.29
PF14/0011/G252,TA,40.579551,17.033549,12.0,4494078.65,2692122.98
PF15/0011/G252,TA,40.581112,17.038643,12.0,4494261.848,2692550.108
PF16/0011/G252,TA,40.579272,17.040565,12.0,4494061.403,2692717.582
PF17/0011/G252,TA,40.579335,17.037646,12.0,4494062.62,2692470.325
PF18/0011/G252,TA,40.577391,17.039413,12.0,4493850.31,2692624.865
PF19/0011/G252,TA,40.578216,17.035243,12.0,4493933.692,2692269.757
PF17/0012/G252,TA,40.585474,17.047319,12.0,4494763.14,2693273.21
PF18/0012/G252,TA,40.586633,17.049064,12.0,4494895.293,2693417.926
PF19/0012/G252,TA,40.585095,17.042363,12.0,4494711.4,2692854.7
PF20/0012/G252,TA,40.589763,17.039985,12.0,4495224.873,2692641.481
PF21/0012/G252,TA,40.587255,17.046692,12.0,4494959.598,2693215.586
PF22/0012/G252,TA,40.580767,17.049653,12.0,4494245.203,2693482.948
PF14/0013/G252,TA,40.582802,17.05767,12.0,4494486.9,2694156.21
PF15/0013/G252,TA,40.584737,17.052553,12.0,4494691.68,2693718.09
PF16/0013/G252,TA,40.587392,17.05179,12.0,4494984.924,2693646.63
PF17/0013/G252,TA,40.588485,17.059394,12.0,4495121.23,2694287.35
PF18/0013/G252,TA,40.588711,17.055855,12.0,4495139.32,2693987.258
PF19/0013/G252,TA,40.586962,17.062137,12.0,4494957.61,2694523.478
PF20/0013/G252,TA,40.586146,17.057709,12.0,4494858.29,2694150.866
PF21/0013/G252,TA,40.584064,17.062774,12.0,4494637.218,2694584.981
PF10/0014/G252,TA,40.574602,17.056744,12.0,4493574.85,2694099.14
PF11/0014/G252,TA,40.578098,17.058537,12.0,4493966.47,2694241.8
PF12/0014/G252,TA,40.575733,17.062508,12.0,4493711.77,2694584.08
PF13/0014/G252,TA,40.577731,17.05037,12.0,4493909.55,2693551.48
PF14/0014/G252,TA,40.572075,17.066326,12.0,4493313.25,2694916.84
PF18/0015/G252,TA,40.584308,16.998025,12.0,4494537.9,2689104.13
PF19/0015/G252,TA,40.58328,16.990412,12.0,4494409.17,2688462.32
PF07/0016/G252,TA,40.574468,16.999578,12.0,4493448.448,2689260.335
PF08/0016/G252,TA,40.57755,16.999633,12.0,4493790.678,2689257.23
PF09/0016/G252,TA,40.576474,17.003718,12.0,4493679.105,2689605.748
PF10/0016/G252,TA,40.574703,17.003237,12.0,4493481.606,2689569.514
PF07/0017/G252,TA,40.581123,17.018253,12.0,4494223.33,2690824.25
PF08/0017/G252,TA,40.580759,17.023191,12.0,4494192.51,2691243.11
PF08/0019/G252,TA,40.570843,17.010793,12.0,4493067.7,2690218.9
PF09/0019/G252,TA,40.573031,17.009572,12.0,4493308.2,2690110.01
PF10/0019/G252,TA,40.567976,16.997419,12.0,4492723.616,2689093.984
PF12/0020/G252,TA,40.577333,17.025465,12.0,4493816.601,2691444.363
PF13/0020/G252,TA,40.576306,17.019304,12.0,4493690.6,2690925.515
PF14/0020/G252,TA,40.575346,17.023541,12.0,4493592.243,2691286.586
PF15/0020/G252,TA,40.574843,17.015296,12.0,4493520.45,2690589.954
PF16/0020/G252,TA,40.572188,17.015494,12.0,4493226.03,2690613.413
PF17/0020/G252,TA,40.571324,17.01846,12.0,4493135.914,2690866.747
PF19/0021/G252,TA,40.57357,17.024355,12.0,4493396.7,2691360.03
PF20/0021/G252,TA,40.573874,17.027946,12.0,4493437.48,2691663.23
PF21/0021/G252,TA,40.57121,17.024837,12.0,4493135.62,2691406.87
PF22/0021/G252,TA,40.569016,17.021109,12.0,4492884.8,2691096.86
PF23/0021/G252,TA,40.572768,17.022444,12.0,4493303.988,2691200.291
PF24/0021/G252,TA,40.570143,17.013185,12.0,4492994.639,2690423.15
PF18/0022/G252,TA,40.569705,17.032784,12.0,4492984.11,2692083.48
PF19/0022/G252,TA,40.57336,17.030337,12.0,4493385.01,2691866.9
PF20/0022/G252,TA,40.571335,17.033995,12.0,4493167.38,2692181.8
PF21/0022/G252,TA,40.570674,17.030059,12.0,4493086.32,2691850.27
PF11/0023/G252,TA,40.568,17.035328,12.0,4492799.78,2692303.16
PF12/0023/G252,TA,40.568984,17.041346,12.0,4492920.84,2692810.13
PF13/0023/G252,TA,40.566671,17.041476,12.0,4492664.28,2692827.09
PF12/0024/G252,TA,40.57483,17.045422,12.0,4493577.78,2693140.09
PF13/0024/G252,TA,40.573735,17.042194,12.0,4493449.87,2692869.7
PF14/0024/G252,TA,40.574929,17.048418,12.0,4493594.67,2693393.49
PF15/0024/G252,TA,40.57067,17.045064,12.0,4493115.26,2693120.55
PF16/0024/G252,TA,40.572265,17.047819,12.0,4493297.71,2693349.62
PF17/0024/G252,TA,40.567393,17.046877,12.0,4492755.007,2693282.477
PF10/0025/G252,TA,40.564143,17.05666,12.0,4492413.58,2694119.15
PF11/0025/G252,TA,40.564956,17.053668,12.0,4492497.84,2693863.71
PF12/0025/G252,TA,40.571228,17.060596,12.0,4493207.85,2694433.95
PF11/0026/G252,TA,40.563053,17.013923,12.0,4492208.92,2690503.66
PF13/0026/G252,TA,40.559465,17.010024,12.0,4491803.08,2690182.62
PF14/0026/G252,TA,40.567715,17.001334,12.0,4492702.18,2689426.01
PF15/0026/G252,TA,40.563418,17.003444,12.0,4492229.24,2689615.54
PF10/0027/G252,TA,40.560683,17.020729,12.0,4491959.04,2691085.92
PF12/0027/G252,TA,40.563622,17.022205,12.0,4492288.2,2691203.41
PF13/0027/G252,TA,40.564336,17.017985,12.0,4492359.24,2690844.27
PF14/0027/G252,TA,40.56259,17.016115,12.0,4492161.75,2690690.41
PF15/0027/G252,TA,40.565538,17.02178,12.0,4492500.02,2691162.55
PF16/0027/G252,TA,40.564163,17.028228,12.0,4492359.93,2691711.89
PF17/0027/G252,TA,40.562269,17.023549,12.0,4492140.592,2691320.587
PF18/0027/G252,TA,40.562269,17.023549,12.0,4492140.592,2691320.587
PF10/0028/G252,TA,40.562084,17.032455,12.0,4492137.34,2692075.15
PF11/0028/G252,TA,40.564675,17.034356,12.0,4492428.71,2692229.44
PF12/0028/G252,TA,40.565671,17.030024,12.0,4492530.89,2691860.16
PF09/0029/G252,TA,40.56058,17.047944,12.0,4492000.8,2693390.39
PF10/0029/G252,TA,40.559406,17.042097,12.0,4491858.98,2692898.32
PF11/0029/G252,TA,40.562065,17.043552,12.0,4492157.0,2693014.68
PF12/0029/G252,TA,40.565729,17.045367,12.0,4492567.315,2693158.931
PF13/0029/G252,TA,40.557896,17.050942,12.0,4491708.776,2693651.187
PF14/0030/G252,TA,40.56349,16.995411,12.0,4492221.759,2688935.239
PF04/0031/G252,TA,40.551475,17.01036,12.0,4490916.74,2690231.3
PF08/0032/G252,TA,40.557198,17.018114,12.0,4491567.11,2690873.37
PF09/0032/G252,TA,40.555463,17.018109,12.0,4491374.49,2690877.32
PF10/0032/G252,TA,40.560238,17.016757,12.0,4491901.91,2690750.7
PF11/0032/G252,TA,40.55801,17.023366,12.0,4491667.38,2691315.96
PF12/0032/G252,TA,40.557289,17.014753,12.0,4491570.68,2690588.52
PF13/0032/G252,TA,40.561283,17.026693,12.0,4492037.2,2691589.3
PF14/0032/G252,TA,40.554436,17.020509,12.0,4491265.08,2691083.14
PF15/0032/G252,TA,40.560001,17.024877,12.0,4491891.4,2691438.8
PF11/0033/G252,TA,40.552751,17.028824,12.0,4491094.21,2691791.58
PF12/0033/G252,TA,40.553649,17.033817,12.0,4491203.66,2692212.09
PF13/0033/G252,TA,40.558401,17.036402,12.0,4491736.19,2692418.72
PF14/0033/G252,TA,40.55957,17.029819,12.0,4491853.14,2691858.4
PF15/0033/G252,TA,40.554343,17.023323,12.0,4491260.26,2691321.69
PF16/0033/G252,TA,40.556623,17.028385,12.0,4491523.15,2691744.5
PF17/0033/G252,TA,40.556959,17.040591,12.0,4491584.34,2692777.1
PF18/0033/G252,TA,40.559174,17.03935,12.0,4491827.78,2692666.36
PF19/0033/G252,TA,40.557402,17.030986,12.0,4491614.719,2691962.757
PF20/0033/G252,TA,40.555913,17.035036,12.0,4491457.406,2692309.47
PF08/0034/G252,TA,40.551796,17.048996,12.0,4491027.72,2693502.13
PF09/0034/G252,TA,40.55204,17.042179,12.0,4491041.39,2692924.25
PF10/0034/G252,TA,40.55335,17.044097,12.0,4491190.63,2693083.27
PF11/0034/G252,TA,40.555099,17.044228,12.0,4491385.03,2693089.89
PF12/0034/G252,TA,40.548472,17.046517,12.0,4490653.881,2693300.789
PF13/0034/G252,TA,40.549277,17.049827,12.0,4490749.67,2693579.055
PF02/0035/G252,TA,40.552588,17.00033,50.0,4491020.935,2689379.147
PF08/0035/G252,TA,40.550111,17.008031,4.0,4490760.83,2690037.58
PF09/0035/G252,TA,40.548064,17.003412,12.0,4490524.62,2689651.55
PF10/0035/G252,TA,40.552391,17.005267,12.0,4491008.601,2689797.7
PF11/0035/G252,TA,40.550738,16.997252,12.0,4490809.602,2689123.175
PF10/0036/G252,TA,40.539493,17.002242,12.0,4489570.89,2689574.1
PF11/0036/G252,TA,40.536711,16.999028,12.0,4489255.905,2689308.95
PF12/0036/G252,TA,40.54592,17.005393,4.0,4490290.48,2689824.77
PF13/0036/G252,TA,40.545091,17.000429,12.0,4490188.88,2689406.43
PF14/0036/G252,TA,40.53919,16.997745,12.0,4489528.584,2689193.971
PF06/0037/G252,TA,40.544865,17.015026,12.0,4490191.99,2690643.2
PF07/0037/G252,TA,40.537894,17.012114,12.0,4489412.44,2690414.27
PF08/0037/G252,TA,40.548956,17.013637,12.0,4490643.37,2690515.21
PF09/0037/G252,TA,40.540588,17.0111,12.0,4489709.54,2690321.55
PF10/0037/G252,TA,40.543051,17.010726,12.0,4489982.2,2690283.67
PF15/0038/G252,TA,40.546062,17.015365,12.0,4490325.52,2690668.86
