identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF43/0004/A125,TE,42.836618,13.932199,52.0,4743236.52,2432741.12
PF37/0010/A125,TE,42.828736,13.934696,56.0,4742358.59,2432934.11
PF38/0010/A125,TE,42.82382,13.936339,12.0,4741811.0,2433061.5
PF01/0001/A445,TE,43.184523,12.659207,52.0,95979.009,-40220.997
PF02/0001/A445,TE,43.183945,12.668598,56.0,95893.543,-39459.583
PF03/0001/A445,TE,43.183817,12.662064,54.0,95894.065,-39991.075
PF04/0001/A445,TE,43.18368,12.662005,54.0,95878.977,-39996.253
PF05/0001/A445,TE,43.177754,12.658112,54.0,95229.69,-40331.063
PF07/0001/A445,TE,43.177956,12.665089,54.0,95236.325,-39763.324
PF08/0001/A445,TE,43.180761,12.667656,56.0,95541.986,-39546.036
PF10/0001/A445,TE,43.177998,12.670646,12.0,95228.42,-39311.536
PF01/0002/A445,TE,43.187653,12.672054,56.0,96297.486,-39167.275
PF03/0002/A445,TE,43.174208,12.675631,52.0,94796.194,-38918.089
PF04/0002/A445,TE,43.176927,12.678838,52.0,95090.995,-38649.044
PF05/0002/A445,TE,43.18152,12.679025,56.0,95600.634,-38619.696
PF06/0002/A445,TE,43.184697,12.673851,56.0,95965.175,-39030.388
PF07/0002/A445,TE,43.1834,12.677948,56.0,95811.799,-38701.412
PF09/0002/A445,TE,43.179891,12.671642,12.0,95436.373,-39224.79
PF10/0002/A445,TE,43.180407,12.675184,12.0,95485.721,-38935.32
PF02/0003/A445,TE,43.18166,12.680319,56.0,95613.299,-38514.116
PF04/0003/A445,TE,43.179634,12.680864,12.0,95387.025,-38476.026
PF06/0003/A445,TE,43.183085,12.684216,12.0,95762.7,-38193.0
PF05/0004/A445,TE,43.174458,12.680903,52.0,94812.121,-38488.8
PF06/0004/A445,TE,43.177213,12.686065,54.0,95106.472,-38060.735
PF07/0004/A445,TE,43.177007,12.696488,54.0,95060.21,-37214.154
PF08/0004/A445,TE,43.174055,12.685833,52.0,94756.223,-38089.281
PF10/0004/A445,TE,43.175469,12.688457,12.0,94907.35,-37871.7
PF12/0004/A445,TE,43.179239,12.690696,12.0,95321.0,-37678.1
PF13/0004/A445,TE,43.178076,12.688219,12.0,95197.5,-37883.0
PF14/0004/A445,TE,43.176272,12.683058,12.0,95008.65,-38308.076
PF01/0005/A445,TE,43.174831,12.660614,8.0,94899.37,-40136.8
PF02/0005/A445,TE,43.167801,12.65475,52.0,94131.964,-40635.294
PF03/0005/A445,TE,43.172402,12.666609,54.0,94616.002,-39657.019
PF05/0005/A445,TE,43.168505,12.667824,52.0,94180.553,-39570.292
PF06/0005/A445,TE,43.173885,12.664756,52.0,94784.956,-39803.072
PF07/0005/A445,TE,43.167747,12.663768,52.0,94105.567,-39902.396
PF08/0005/A445,TE,43.17623,12.662988,54.0,95049.352,-39939.467
PF02/0006/A445,TE,43.172334,12.675072,52.0,94589.403,-38969.262
PF03/0006/A445,TE,43.168305,12.673825,52.0,94144.656,-39083.068
PF05/0006/A445,TE,43.167924,12.679393,52.0,94089.805,-38631.661
PF06/0006/A445,TE,43.171478,12.678438,52.0,94486.655,-38698.328
PF07/0006/A445,TE,43.172574,12.672348,52.0,94622.194,-39189.947
PF08/0006/A445,TE,43.172238,12.683826,12.0,94559.0,-38258.0
PF09/0006/A445,TE,43.174781,12.672477,12.0,94867.0,-39172.7
PF02/0007/A445,TE,43.165498,12.699656,52.0,93774.906,-36991.865
PF03/0007/A445,TE,43.169225,12.686442,52.0,94218.499,-38054.654
PF04/0007/A445,TE,43.173029,12.692695,54.0,94626.905,-37534.66
PF06/0007/A445,TE,43.17111,12.691109,52.0,94417.344,-37669.48
PF08/0007/A445,TE,43.174744,12.700533,54.0,94799.786,-36892.307
PF09/0007/A445,TE,43.167025,12.684788,52.0,93977.835,-38195.825
PF10/0007/A445,TE,43.170007,12.691589,52.0,94293.769,-37633.852
PF11/0007/A445,TE,43.172327,12.69874,52.0,94535.411,-37045.443
PF12/0007/A445,TE,43.171548,12.688791,12.0,94471.133,-37856.551
PF14/0007/A445,TE,43.168227,12.697874,12.0,94082.003,-37128.394
PF15/0007/A445,TE,43.16531,12.69183,12.0,93771.515,-37628.646
PF01/0008/A445,TE,43.165219,12.66063,11.0,93831.9,-40165.3
PF02/0008/A445,TE,43.163616,12.659056,52.0,93657.401,-40298.238
PF03/0008/A445,TE,43.16517,12.665094,10.0,93816.3,-39802.6
PF04/0008/A445,TE,43.161744,12.658702,52.0,93450.289,-40332.857
PF05/0008/A445,TE,43.157944,12.667557,52.0,93008.182,-39624.735
PF06/0008/A445,TE,43.161525,12.656026,10.0,93432.1,-40551.1
PF07/0008/A445,TE,43.157888,12.656726,50.0,93026.536,-40505.473
PF08/0008/A445,TE,43.160655,12.651834,10.0,93345.0,-40894.6
PF09/0008/A445,TE,43.164978,12.656895,10.0,93813.6,-40469.7
PF01/0009/A445,TE,43.15428,12.680702,8.0,92571.58,-38567.21
PF02/0009/A445,TE,43.165221,12.682876,7.0,93781.74,-38356.83
PF04/0009/A445,TE,43.154279,12.680774,52.0,92571.36,-38561.363
PF05/0009/A445,TE,43.165177,12.670791,52.0,93804.141,-39339.437
PF06/0009/A445,TE,43.163085,12.674104,52.0,93564.318,-39076.574
PF07/0009/A445,TE,43.158236,12.67289,52.0,93028.509,-39190.186
PF08/0009/A445,TE,43.154478,12.674579,52.0,92607.441,-39064.47
PF09/0009/A445,TE,43.151951,12.672376,52.0,92331.693,-39251.42
PF10/0009/A445,TE,43.165851,12.676999,52.0,93865.037,-38832.64
PF11/0009/A445,TE,43.162925,12.677698,52.0,93538.422,-38784.84
PF12/0009/A445,TE,43.159897,12.680189,12.0,93196.534,-38591.663
PF01/0010/A445,TE,43.159412,12.684438,52.0,93133.177,-38247.695
PF02/0010/A445,TE,43.162203,12.684661,52.0,93442.643,-38220.954
PF03/0010/A445,TE,43.159857,12.687511,52.0,93175.683,-37996.489
PF04/0010/A445,TE,43.163733,12.688355,52.0,93604.227,-37915.98
PF05/0010/A445,TE,43.159972,12.698058,12.0,93164.81,-37138.59
PF05/0011/A445,TE,43.154908,12.659213,50.0,92689.93,-40312.557
PF06/0011/A445,TE,43.155997,12.662833,50.0,92802.642,-40014.823
PF07/0011/A445,TE,43.14909,12.650647,12.0,92063.308,-41027.135
PF08/0011/A445,TE,43.153327,12.649996,12.0,92535.39,-41066.91
PF09/0011/A445,TE,43.151577,12.655116,12.0,92329.3,-40656.0
PF01/0012/A445,TE,43.140233,12.643628,6.0,91095.7,-41625.64
PF02/0012/A445,TE,43.139475,12.65346,50.0,90989.087,-40828.357
PF03/0012/A445,TE,43.146949,12.654251,52.0,91817.378,-40740.748
PF04/0012/A445,TE,43.140235,12.647946,50.0,91086.031,-41274.41
PF05/0012/A445,TE,43.141945,12.644727,50.0,91283.356,-41530.869
PF06/0012/A445,TE,43.143753,12.647193,50.0,91478.467,-41324.737
PF03/0013/A445,TE,43.14552,12.667001,52.0,91629.629,-39708.337
PF04/0013/A445,TE,43.146592,12.6612,52.0,91761.898,-40176.745
PF05/0013/A445,TE,43.141694,12.66558,12.0,91207.97,-39835.75
PF06/0013/A445,TE,43.140194,12.662557,4.0,91048.226,-40086.302
PF07/0013/A445,TE,43.142191,12.660983,12.0,91273.613,-40208.055
PF02/0014/A445,TE,43.14458,12.68222,52.0,91490.882,-38473.597
PF03/0014/A445,TE,43.153358,12.683928,52.0,92461.976,-38307.764
PF04/0014/A445,TE,43.15285,12.681208,52.0,92411.583,-38530.461
PF05/0014/A445,TE,43.150685,12.676044,12.0,92182.8,-38957.03
PF06/0014/A445,TE,43.147265,12.676365,12.0,91802.29,-38941.46
PF01/0015/A445,TE,43.156419,12.684683,52.0,92800.143,-38236.971
PF03/0015/A445,TE,43.152341,12.690436,54.0,92334.371,-37781.675
PF04/0015/A445,TE,43.155291,12.695293,54.0,92651.123,-37377.718
PF05/0015/A445,TE,43.144608,12.684357,52.0,91489.214,-38299.775
PF06/0015/A445,TE,43.14505,12.68708,52.0,91532.173,-38076.921
PF07/0015/A445,TE,43.141838,12.687462,52.0,91174.586,-38055.715
PF08/0015/A445,TE,43.149239,12.685884,52.0,92000.094,-38161.326
PF09/0015/A445,TE,43.154376,12.687017,52.0,92568.006,-38053.452
PF11/0015/A445,TE,43.140494,12.689985,12.0,91019.65,-37854.68
PF12/0015/A445,TE,43.148166,12.695681,12.0,91858.945,-37367.956
PF02/0016/A445,TE,43.137652,12.658174,52.0,90775.895,-40450.619
PF03/0016/A445,TE,43.13635,12.651149,50.0,90647.339,-41026.026
PF04/0016/A445,TE,43.132274,12.657122,12.0,90181.032,-40552.861
PF05/0016/A445,TE,43.127381,12.653419,12.0,89646.054,-40869.334
PF01/0017/A445,TE,43.130745,12.667635,52.0,89987.271,-39702.49
PF02/0017/A445,TE,43.137037,12.665538,12.0,90690.886,-39853.607
PF01/0018/A445,TE,43.133565,12.669244,52.0,90296.867,-39562.911
PF02/0018/A445,TE,43.132904,12.672639,12.0,90215.735,-39288.792
PF03/0018/A445,TE,43.134741,12.66768,12.0,90430.976,-39686.456
PF01/0019/A445,TE,43.139602,12.680439,52.0,90942.056,-38633.744
PF01/0020/A445,TE,43.12934,12.674111,50.0,89816.687,-39180.065
PF02/0020/A445,TE,43.126639,12.679334,50.0,89504.933,-38763.549
PF03/0020/A445,TE,43.121399,12.679553,50.0,88922.391,-38761.834
PF04/0020/A445,TE,43.125274,12.677055,50.0,89358.394,-38953.096
PF05/0020/A445,TE,43.130859,12.680058,50.0,89971.89,-38691.659
PF01/0021/A445,TE,43.118101,12.646286,6.0,88631.7,-41478.53
PF03/0022/A445,TE,43.124617,12.666315,50.0,89309.739,-39828.847
PF04/0022/A445,TE,43.1207,12.671832,12.0,88862.21,-39392.143
PF01/0023/A445,TE,43.108305,12.663245,12.0,87505.15,-40129.1
PF03/0023/A445,TE,43.109501,12.665441,12.0,87632.95,-39946.75
PF04/0023/A445,TE,43.112157,12.658958,12.0,87942.687,-40466.006
PF01/0024/A445,TE,43.10743,12.625581,8.0,87494.15,-43196.64
PF01/0025/A445,TE,43.099704,12.647847,3.0,86584.96,-41408.91
PF02/0025/A445,TE,43.109932,12.659307,12.0,87694.806,-40444.5
PF07/0098/A488,TE,43.224502,12.901828,12.0,99896.0,-20392.0
PF02/0100/A488,TE,43.216918,12.927174,52.0,99002.43,-18354.35
PF04/0100/A488,TE,43.220456,12.924289,52.0,99401.126,-18578.952
PF08/0100/A488,TE,43.224947,12.918443,21.0,99911.751,-19041.366
PF04/0101/A488,TE,43.225585,12.937227,52.0,99944.779,-17514.08
PF07/0101/A488,TE,43.224769,12.944013,52.0,99840.537,-16965.168
PF11/0101/A488,TE,43.225983,12.940136,12.0,99983.087,-17276.738
PF08/0102/A488,TE,43.222101,12.93768,52.0,99556.961,-17486.789
PF09/0102/A488,TE,43.223228,12.934749,52.0,99687.895,-17721.747
PF10/0102/A488,TE,43.219397,12.934391,52.0,99263.214,-17761.329
PF13/0102/A488,TE,43.21553,12.927823,21.0,98846.894,-18305.464
PF05/0103/A488,TE,43.222175,12.939901,52.0,99560.725,-17306.213
PF10/0103/A488,TE,43.220229,12.949306,52.0,99325.834,-16547.607
PF11/0103/A488,TE,43.222559,12.949195,52.0,99584.781,-16550.349
PF14/0103/A488,TE,43.221525,12.952807,52.0,99462.723,-16259.746
PF17/0103/A488,TE,43.223314,12.946747,20.0,99673.545,-16747.104
PF02/0104/A488,TE,43.221395,12.878029,52.0,99599.757,-22333.603
PF03/0104/A488,TE,43.223294,12.871298,52.0,99824.47,-22874.88
PF03/0105/A488,TE,43.21872,12.879313,52.0,99300.012,-22236.86
PF04/0105/A488,TE,43.222392,12.88179,52.0,99702.746,-22025.327
PF06/0105/A488,TE,43.215765,12.882993,21.0,98964.215,-21946.27
PF01/0106/A488,TE,43.220166,12.897957,52.0,99422.4,-20718.5
PF04/0106/A488,TE,43.224535,12.895048,52.0,99913.5,-20942.5
PF06/0106/A488,TE,43.224564,12.890154,12.0,99926.776,-21339.94
PF02/0107/A488,TE,43.218317,12.901936,54.0,99208.871,-20400.398
PF03/0107/A488,TE,43.215933,12.904417,54.0,98939.058,-20205.541
PF05/0107/A488,TE,43.220391,12.908734,21.0,99425.44,-19842.505
PF02/0108/A488,TE,43.219137,12.910561,54.0,99282.379,-19697.599
PF07/0108/A488,TE,43.217235,12.910533,21.0,99071.238,-19705.189
PF02/0109/A488,TE,43.213808,12.927845,52.0,98655.643,-18308.396
PF04/0109/A488,TE,43.209778,12.931698,52.0,98200.3,-18006.5
PF05/0109/A488,TE,43.210397,12.927357,52.0,98277.786,-18357.44
PF06/0109/A488,TE,43.216385,12.919724,52.0,98958.249,-18960.948
PF11/0109/A488,TE,43.213874,12.918991,21.0,98680.876,-19027.419
PF02/0110/A488,TE,43.211986,12.940246,52.0,98428.4,-17306.1
PF03/0110/A488,TE,43.209389,12.942999,52.0,98134.5,-17089.5
PF04/0110/A488,TE,43.219419,12.941473,52.0,99251.408,-17186.036
PF05/0110/A488,TE,43.216772,12.940293,52.0,98959.871,-17289.159
PF07/0110/A488,TE,43.214832,12.939754,21.0,98745.43,-17338.272
PF03/0111/A488,TE,43.214907,12.953107,54.0,98727.176,-16253.426
PF04/0111/A488,TE,43.216365,12.950425,54.0,98894.422,-16467.305
PF06/0111/A488,TE,43.212952,12.950697,52.0,98514.887,-16454.481
