identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0002/A074,TO,45.0883,8.310131,50.0,2033.469,126.023
PF02/0002/A074,TO,45.090851,8.308458,50.0,2317.01,-5.629
PF01/0003/A074,TO,45.089826,8.313538,50.0,2203.114,394.219
PF02/0003/A074,TO,45.089408,8.314184,50.0,2156.678,445.047
PF01/0006/A074,TO,45.085086,8.322315,50.0,1676.472,1085.181
PF03/0006/A074,TO,45.088082,8.323868,50.0,2009.458,1207.334
PF04/0006/A074,TO,45.090247,8.321487,50.0,2249.945,1019.927
PF01/0009/A074,TO,45.084013,8.326445,50.0,1557.282,1410.29
PF04/0009/A074,TO,45.086446,8.32628,50.0,1827.638,1397.287
PF02/0010/A074,TO,45.085299,8.329432,50.0,1700.215,1645.392
PF01/0011/A074,TO,45.081206,8.334744,50.0,1245.598,2063.752
PF01/0012/A074,TO,45.080893,8.339918,50.0,1210.864,2471.055
PF01/0013/A074,TO,45.077993,8.334715,50.0,888.505,2061.546
PF03/0013/A074,TO,45.076205,8.340851,50.0,690.057,2544.742
PF04/0013/A074,TO,45.076421,8.338222,50.0,713.913,2337.749
PF05/0013/A074,TO,45.078348,8.33892,50.0,928.14,2392.58
PF06/0013/A074,TO,45.079283,8.336552,50.0,1031.945,2206.133
PF01/0014/A074,TO,45.075552,8.332593,50.0,617.278,1894.604
PF02/0014/A074,TO,45.074552,8.336343,50.0,506.195,2189.881
PF03/0014/A074,TO,45.073708,8.339741,50.0,412.484,2457.462
PF01/0015/A074,TO,45.08022,8.331308,50.0,1135.93,1793.283
PF01/0016/A074,TO,45.077835,8.331382,50.0,870.924,1799.115
PF02/0017/A074,TO,45.079124,8.324374,12.0,1014.001,1247.356
PF01/0018/A074,TO,45.081724,8.327683,50.0,1303.0,1507.8
PF02/0018/A074,TO,45.08226,8.323568,50.0,1362.49,1183.887
PF01/0019/A074,TO,45.080151,8.319365,50.0,1128.048,852.971
PF01/0020/A074,TO,45.072515,8.314113,50.0,279.439,439.568
PF02/0020/A074,TO,45.078887,8.31666,50.0,987.565,640.092
PF04/0020/A074,TO,45.074559,8.314404,50.0,506.57,462.51
PF05/0020/A074,TO,45.077192,8.320134,50.0,799.266,913.592
PF02/0021/A074,TO,45.078188,8.312766,50.0,909.9,333.5
PF03/0021/A074,TO,45.073518,8.311871,50.0,390.891,263.031
PF05/0021/A074,TO,45.075846,8.311955,50.0,649.606,269.678
PF01/0022/A074,TO,45.08535,8.311422,50.0,1705.758,227.632
PF02/0022/A074,TO,45.084589,8.314472,50.0,1621.106,467.752
PF04/0022/A074,TO,45.086783,8.314763,50.0,1864.943,490.662
PF05/0022/A074,TO,45.084601,8.318227,50.0,1622.548,763.393
PF06/0022/A074,TO,45.081189,8.314996,12.0,1243.33,509.01
PF07/0022/A074,TO,45.0866,8.31792,12.0,1844.63,739.16
PF01/0023/A074,TO,45.088979,8.306231,50.0,2109.018,-180.94
PF02/0023/A074,TO,45.086951,8.303713,50.0,1883.602,-379.167
PF03/0023/A074,TO,45.085416,8.308501,50.0,1713.005,-2.311
PF02/0024/A074,TO,45.08369,8.311212,50.0,1521.285,211.114
PF01/0025/A074,TO,45.078223,8.305653,50.0,913.8,-226.5
PF02/0025/A074,TO,45.080876,8.305336,50.0,1208.505,-251.444
PF03/0025/A074,TO,45.080119,8.308967,50.0,1124.445,34.435
PF01/0026/A074,TO,45.076327,8.307927,50.0,703.115,-47.441
PF03/0026/A074,TO,45.076985,8.301473,50.0,776.202,-555.62
PF06/0026/A074,TO,45.074677,8.309055,50.0,519.747,41.374
PF07/0026/A074,TO,45.076155,8.305237,50.0,684.008,-259.252
PF08/0026/A074,TO,45.078349,8.30358,50.0,927.736,-389.702
PF09/0026/A074,TO,45.075511,8.302036,50.0,612.449,-511.283
PF01/0027/A074,TO,45.073058,8.301834,50.0,339.786,-527.247
PF03/0027/A074,TO,45.074206,8.30618,50.0,467.43,-185.054
