identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A176,TP,38.316728,13.571611,8.0,19922.14,35127.14
PF02/0001/A176,TP,38.028354,12.935952,70.0,4210969.866,2338838.063
PF04/0001/A176,TP,38.31815,13.570022,52.0,20082.119,34990.662
PF07/0001/A176,TP,38.315602,13.568605,52.0,19801.338,34862.398
PF08/0001/A176,TP,38.315671,13.564659,70.0,19814.322,34517.481
PF09/0001/A176,TP,38.027735,12.93366,52.0,4210905.574,2338635.365
PF10/0001/A176,TP,38.315901,13.57118,12.0,19831.0,35088.0
PF01/0002/A176,TP,38.31705,13.574589,52.0,19953.902,35388.05
PF03/0002/A176,TP,38.319551,13.58479,70.0,20217.671,36284.145
PF11/0002/A176,TP,38.319096,13.589052,52.0,20161.577,36655.951
PF12/0002/A176,TP,38.317448,13.588772,70.0,19979.011,36628.636
PF14/0002/A176,TP,38.31497,13.573894,52.0,19723.975,35323.676
PF19/0002/A176,TP,38.316991,13.584608,70.0,19933.841,36263.808
PF21/0002/A176,TP,38.315823,13.585098,70.0,19803.66,36304.705
PF01/0003/A176,TP,38.305975,13.546793,52.0,18762.741,32938.599
PF02/0003/A176,TP,38.025046,12.915391,52.0,4210643.0,2337025.0
PF04/0003/A176,TP,38.024732,12.910993,52.0,4210616.8,2336638.1
PF05/0003/A176,TP,38.309597,13.545994,52.0,19165.804,32875.023
PF06/0003/A176,TP,38.307025,13.539608,52.0,18889.183,32312.15
PF09/0003/A176,TP,38.308328,13.54309,52.0,19028.99,32618.839
PF11/0003/A176,TP,38.307319,13.534131,52.0,18929.37,31833.733
PF13/0003/A176,TP,38.305204,13.531433,52.0,18698.451,31594.125
PF14/0003/A176,TP,38.312521,13.545896,70.0,19490.428,32871.538
PF15/0003/A176,TP,38.310784,13.547507,52.0,19295.371,33009.334
PF16/0003/A176,TP,38.308378,13.548662,52.0,19026.787,33106.199
PF17/0003/A176,TP,38.310926,13.543179,52.0,19317.111,32631.202
PF19/0003/A176,TP,38.313303,13.548795,70.0,19573.163,33126.379
PF20/0003/A176,TP,38.304886,13.534147,52.0,18659.396,31830.9
PF21/0003/A176,TP,38.305845,13.536794,12.0,18762.12,32063.99
PF22/0003/A176,TP,38.312414,13.540436,12.0,19486.0,32394.0
PF01/0004/A176,TP,38.309723,13.554523,8.0,19168.04,33620.96
PF02/0004/A176,TP,38.307369,13.551107,52.0,18911.47,33318.196
PF04/0004/A176,TP,38.303666,13.54749,52.0,18505.509,32995.453
PF07/0004/A176,TP,38.310689,13.554306,52.0,19275.597,33603.682
PF08/0004/A176,TP,38.312937,13.5533,52.0,19526.406,33519.602
PF09/0004/A176,TP,38.304816,13.553817,52.0,18624.441,33550.769
PF10/0004/A176,TP,38.301882,13.556239,52.0,18295.618,33757.471
PF11/0004/A176,TP,38.308813,13.550566,52.0,19072.455,33273.448
PF12/0004/A176,TP,38.025459,12.920507,52.0,4210678.75,2337475.15
PF15/0004/A176,TP,38.314062,13.550232,52.0,19655.426,33253.32
PF17/0004/A176,TP,38.311796,13.551394,52.0,19402.404,33351.022
PF18/0004/A176,TP,38.301068,13.553223,12.0,18209.42,33492.32
PF19/0004/A176,TP,38.302411,13.550128,12.0,18362.69,33224.0
PF01/0005/A176,TP,38.027716,12.93103,52.0,4210908.626,2338404.483
PF04/0005/A176,TP,38.313728,13.563159,52.0,19600.67,34382.954
PF06/0005/A176,TP,38.314183,13.556312,52.0,19660.586,33785.14
PF07/0005/A176,TP,38.315082,13.56793,70.0,19744.476,34802.483
PF08/0005/A176,TP,38.313646,13.55991,52.0,19596.021,34098.783
PF09/0005/A176,TP,38.313629,13.568934,52.0,19581.953,34887.775
PF10/0005/A176,TP,38.310358,13.559796,52.0,19231.357,34083.153
PF12/0005/A176,TP,38.311684,13.563829,10.0,19373.0,34438.0
PF01/0006/A176,TP,38.302528,13.564112,52.0,18356.605,34446.994
PF02/0006/A176,TP,38.304771,13.566878,52.0,18601.764,34692.714
PF03/0006/A176,TP,38.304997,13.570416,70.0,18621.983,35002.515
PF04/0006/A176,TP,38.307901,13.56818,52.0,18947.26,34812.005
PF05/0006/A176,TP,38.310348,13.569945,52.0,19216.428,34970.494
PF06/0006/A176,TP,38.305192,13.558372,52.0,18659.985,33949.643
PF01/0007/A176,TP,38.30844,13.582049,52.0,18988.389,36025.53
PF02/0007/A176,TP,38.31339,13.582521,52.0,19537.018,36075.263
PF03/0007/A176,TP,38.303701,13.581464,70.0,18463.359,35966.332
PF04/0007/A176,TP,38.300932,13.58014,52.0,18157.813,35845.839
PF05/0007/A176,TP,38.303088,13.577142,52.0,18401.104,35587.369
PF06/0007/A176,TP,38.311718,13.578821,52.0,19356.444,35748.908
PF07/0007/A176,TP,38.314395,13.578793,52.0,19653.61,35751.038
PF09/0007/A176,TP,38.306071,13.576946,52.0,18732.382,35575.286
PF10/0007/A176,TP,38.309197,13.57452,52.0,19082.581,35368.544
PF11/0007/A176,TP,38.312082,13.574372,52.0,19402.837,35360.565
PF12/0007/A176,TP,38.314034,13.574733,52.0,19618.986,35395.431
PF13/0007/A176,TP,38.305794,13.573817,52.0,18705.861,35301.271
PF14/0007/A176,TP,38.309258,13.579426,20.0,19082.695,35797.592
PF16/0007/A176,TP,38.310733,13.581511,52.0,19243.532,35982.421
PF17/0007/A176,TP,38.30859,13.57561,20.0,19013.718,35462.776
PF18/0007/A176,TP,38.306402,13.576398,70.0,18769.878,35527.942
PF19/0007/A176,TP,38.303295,13.577973,52.0,18422.982,35660.373
PF20/0007/A176,TP,38.306032,13.580013,70.0,18723.915,35843.396
PF21/0007/A176,TP,38.304311,13.583613,52.0,18528.098,36155.269
PF01/0008/A176,TP,38.309902,13.587147,52.0,19143.822,36473.779
PF02/0008/A176,TP,38.307673,13.589702,52.0,18893.015,36693.384
PF03/0008/A176,TP,38.312117,13.588928,70.0,19387.189,36633.284
PF04/0008/A176,TP,38.309876,13.591504,52.0,19135.141,36854.676
PF05/0008/A176,TP,38.308037,13.585494,52.0,18939.073,36326.1
PF06/0008/A176,TP,38.312044,13.584858,52.0,19384.527,36277.272
PF07/0008/A176,TP,38.306635,13.59284,52.0,18773.738,36966.058
PF08/0008/A176,TP,38.314257,13.592443,70.0,19620.008,36944.215
PF01/0009/A176,TP,38.319707,13.593974,52.0,20222.825,37087.249
PF02/0009/A176,TP,38.327695,13.611623,52.0,21085.821,38643.539
PF03/0009/A176,TP,38.326009,13.614054,52.0,20895.609,38853.234
PF04/0009/A176,TP,38.325256,13.606087,52.0,20822.454,38155.549
PF07/0009/A176,TP,38.309125,13.5994,70.0,19041.253,37543.862
PF08/0009/A176,TP,38.316822,13.599017,52.0,19895.926,37523.318
PF09/0009/A176,TP,38.326839,13.600841,52.0,21005.073,37699.624
PF10/0009/A176,TP,38.321254,13.59646,52.0,20391.18,37307.192
PF11/0009/A176,TP,38.322872,13.603921,52.0,20560.814,37962.154
PF12/0009/A176,TP,38.321534,13.600586,52.0,20416.752,37668.392
PF13/0009/A176,TP,38.314399,13.596938,52.0,19629.803,37337.496
PF15/0009/A176,TP,38.323936,13.609514,52.0,20671.508,38452.915
PF16/0009/A176,TP,38.325678,13.60365,52.0,20872.504,37943.209
PF17/0009/A176,TP,38.320008,13.602576,52.0,20244.718,37839.809
PF18/0009/A176,TP,38.327351,13.603602,52.0,21058.214,37941.784
PF19/0009/A176,TP,38.306487,13.600988,52.0,18746.4,37678.278
PF02/0010/A176,TP,38.318002,13.612661,52.0,20008.858,38718.117
PF03/0010/A176,TP,38.322477,13.611499,12.0,20507.0,38624.0
PF01/0011/A176,TP,38.307756,13.604804,8.0,18882.19,38014.02
PF02/0011/A176,TP,38.314345,13.603672,52.0,19614.878,37926.088
PF03/0011/A176,TP,38.31733,13.60471,52.0,19944.755,38021.85
PF04/0011/A176,TP,38.307753,13.61134,52.0,18873.339,38585.527
PF05/0011/A176,TP,38.319321,13.605447,52.0,20164.735,38089.632
PF06/0011/A176,TP,38.309075,13.603102,52.0,19030.855,37867.428
PF07/0011/A176,TP,38.316438,13.607884,52.0,19841.599,38297.886
PF01/0012/A176,TP,38.305557,13.618731,6.0,18619.88,39228.14
PF02/0012/A176,TP,38.312167,13.609235,52.0,19365.899,38408.826
PF03/0012/A176,TP,38.310338,13.614163,52.0,19156.418,38836.727
PF04/0012/A176,TP,38.305867,13.615357,52.0,18658.767,38933.659
PF05/0012/A176,TP,38.306564,13.618788,52.0,18731.579,39234.851
PF02/0013/A176,TP,38.304746,13.543631,70.0,18630.685,32659.881
PF03/0013/A176,TP,38.301977,13.540284,52.0,18328.058,32362.413
PF04/0013/A176,TP,38.302502,13.543405,70.0,18381.998,32636.239
PF05/0013/A176,TP,38.297877,13.540012,52.0,17873.41,32331.436
PF06/0013/A176,TP,38.296103,13.538465,52.0,17678.752,32193.069
PF07/0013/A176,TP,38.300726,13.546339,70.0,18180.927,32889.72
PF08/0013/A176,TP,38.305068,13.531179,52.0,18683.664,31571.676
PF11/0013/A176,TP,38.300078,13.5356,52.0,18123.786,31949.46
PF13/0013/A176,TP,38.29923,13.544037,52.0,18018.087,32685.779
PF14/0013/A176,TP,38.303419,13.534393,52.0,18496.199,31849.764
PF15/0013/A176,TP,38.304212,13.53258,52.0,18586.723,31692.655
PF16/0013/A176,TP,38.299449,13.544131,52.0,18042.234,32694.419
PF17/0013/A176,TP,38.302263,13.537262,52.0,18363.96,32098.597
PF18/0013/A176,TP,38.295887,13.545684,52.0,17644.796,32823.939
PF20/0013/A176,TP,38.304865,13.540272,12.0,18648.57,32366.41
PF01/0014/A176,TP,38.293719,13.539553,8.0,17412.65,32284.04
PF02/0014/A176,TP,38.294328,13.53569,52.0,17485.623,31947.208
PF03/0014/A176,TP,38.296328,13.541792,70.0,17699.147,32484.401
PF04/0014/A176,TP,38.294315,13.542169,70.0,17475.173,32513.82
PF05/0014/A176,TP,38.29284,13.546694,70.0,17305.249,32907.0
PF06/0014/A176,TP,38.290773,13.544391,52.0,17079.039,32702.002
PF07/0014/A176,TP,38.291049,13.551435,12.0,17100.0,33318.5
PF02/0015/A176,TP,38.295923,13.548394,52.0,17645.117,33061.033
PF05/0015/A176,TP,38.294393,13.553439,70.0,17468.332,33499.553
PF07/0015/A176,TP,38.299442,13.554828,52.0,18026.79,33629.807
PF10/0015/A176,TP,38.297548,13.550414,70.0,17822.585,33240.492
PF11/0015/A176,TP,38.287912,13.555805,52.0,16745.899,33695.23
PF12/0015/A176,TP,38.298345,13.546355,52.0,17916.598,32886.93
PF15/0015/A176,TP,38.296925,13.554434,12.0,17748.0,33591.0
PF16/0015/A176,TP,38.289592,13.553353,12.0,16935.756,33483.747
PF01/0016/A176,TP,38.294767,13.559156,8.0,17502.11,34000.22
PF03/0016/A176,TP,38.291991,13.565729,70.0,17185.067,34570.222
PF06/0016/A176,TP,38.29829,13.560042,52.0,17891.809,34083.814
PF10/0016/A176,TP,38.296635,13.561562,70.0,17706.119,34213.869
PF12/0016/A176,TP,38.301132,13.55907,52.0,18208.468,34003.728
PF13/0016/A176,TP,38.294109,13.561971,70.0,17425.272,34245.226
PF15/0016/A176,TP,38.28888,13.563447,52.0,16842.915,34365.275
PF16/0016/A176,TP,38.29647,13.565007,70.0,17683.085,34514.791
PF17/0016/A176,TP,38.290437,13.565352,52.0,17013.135,34534.589
PF19/0016/A176,TP,38.299535,13.557779,12.0,18033.0,33888.0
PF20/0016/A176,TP,38.287759,13.565487,12.0,16715.8,34541.8
PF21/0016/A176,TP,38.290997,13.558971,12.0,17084.0,33977.5
PF22/0016/A176,TP,38.290791,13.556091,12.0,17065.019,33725.246
PF02/0017/A176,TP,38.296773,13.569424,52.0,17710.703,34901.625
PF03/0017/A176,TP,38.293278,13.56903,70.0,17323.403,34861.187
PF04/0017/A176,TP,38.291055,13.575527,52.0,17067.917,35425.569
PF05/0017/A176,TP,38.300618,13.567229,52.0,18140.333,34716.258
PF07/0017/A176,TP,38.301477,13.569908,52.0,18232.075,34952.07
PF09/0017/A176,TP,38.297313,13.573949,50.0,17764.55,35298.268
PF10/0017/A176,TP,38.299641,13.573701,52.0,18023.202,35280.529
PF11/0017/A176,TP,38.293443,13.572561,52.0,17336.981,35170.216
PF12/0017/A176,TP,38.298492,13.565987,52.0,17906.191,34604.058
PF03/0018/A176,TP,38.29636,13.585369,52.0,17643.484,36295.305
PF04/0018/A176,TP,38.294143,13.588603,52.0,17393.087,36574.441
PF05/0018/A176,TP,38.29161,13.590734,52.0,17109.225,36756.455
PF06/0018/A176,TP,38.297772,13.591003,70.0,17792.584,36790.405
PF07/0018/A176,TP,38.298119,13.588657,52.0,17834.288,36585.863
PF10/0018/A176,TP,38.299988,13.575435,52.0,18059.402,35432.761
PF11/0018/A176,TP,38.298758,13.577078,52.0,17920.729,35574.387
PF12/0018/A176,TP,38.298794,13.574283,52.0,17928.457,35329.983
