identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF17/0001/A045,TR,43.834754,12.549588,12.0,89661.6,3413.8
PF19/0001/A045,TR,43.829403,12.552871,21.0,89078.603,3703.305
PF20/0001/A045,TR,43.831253,12.549292,21.0,89271.753,3406.641
PF15/0002/A045,TR,43.828788,12.568978,21.0,89066.065,5001.412
PF01/0003/A045,TR,43.82465,12.538125,52.0,88499.788,2540.147
PF05/0003/A045,TR,43.823233,12.552202,52.0,88390.912,3678.987
PF20/0003/A045,TR,43.821334,12.533432,52.0,88115.347,2178.451
PF21/0003/A045,TR,43.824403,12.547866,20.0,88505.97,3324.675
PF01/0004/A045,TR,43.828401,12.556632,70.0,88980.322,4010.544
PF04/0004/A045,TR,43.824904,12.562451,72.0,88612.052,4495.134
PF13/0004/A045,TR,43.821258,12.559891,72.0,88198.194,4306.774
PF20/0004/A045,TR,43.822364,12.563263,21.0,88332.692,4572.615
PF07/0005/A045,TR,43.813915,12.528487,21.0,87274.226,1816.0
PF03/0006/A045,TR,43.818078,12.529445,52.0,87739.899,1873.274
PF07/0006/A045,TR,43.812869,12.534157,70.0,87177.593,2277.036
PF14/0006/A045,TR,43.812201,12.53949,21.0,87121.753,2709.125
PF08/0007/A045,TR,43.809488,12.545453,52.0,86840.858,3201.688
PF19/0007/A045,TR,43.811314,12.543575,20.0,87037.235,3041.948
PF20/0007/A045,TR,43.811978,12.546981,21.0,87122.782,3312.764
PF06/0008/A045,TR,43.817622,12.562581,72.0,87803.588,4540.498
PF19/0008/A045,TR,43.815439,12.55928,21.0,87549.662,4285.482
PF20/0008/A045,TR,43.813919,12.55591,21.0,87369.21,4021.628
PF12/0009/A045,TR,43.811874,12.551595,21.0,87127.184,3684.385
PF13/0009/A045,TR,43.809842,12.562385,21.0,86938.838,4561.945
PF15/0010/A045,TR,43.81735,12.567086,21.0,87789.015,4904.16
PF10/0012/A045,TR,43.807399,12.593009,52.0,86774.07,7037.127
PF20/0012/A045,TR,43.805367,12.594529,52.0,86553.652,7169.204
PF24/0012/A045,TR,43.801331,12.587172,20.0,86079.607,6596.803
PF02/0013/A045,TR,43.817037,12.601198,52.0,87873.24,7649.199
PF21/0013/A045,TR,43.808283,12.597177,70.0,86886.782,7368.12
PF22/0013/A045,TR,43.810547,12.598248,52.0,87142.048,7443.337
PF23/0013/A045,TR,43.81454,12.600725,52.0,87594.284,7623.246
PF25/0013/A045,TR,43.809541,12.602343,52.0,87044.59,7777.543
PF27/0013/A045,TR,43.813135,12.60439,21.0,87451.047,7924.825
PF14/0014/A045,TR,43.81567,12.608538,21.0,87747.137,8246.194
PF05/0015/A045,TR,43.806305,12.605258,52.0,86695.43,8027.755
PF19/0015/A045,TR,43.809316,12.605837,20.0,87031.947,8059.738
PF04/0016/A045,TR,43.804412,12.629838,52.0,86571.668,10014.266
PF08/0016/A045,TR,43.802244,12.630405,20.0,86332.901,10070.442
PF02/0025/A045,TR,43.819032,12.683602,52.0,88386.905,14266.945
PF15/0025/A045,TR,43.818911,12.678245,21.0,88354.311,13836.714
PF02/0026/A045,TR,43.814372,12.669441,52.0,87818.596,13151.011
PF18/0026/A045,TR,43.809959,12.667723,21.0,87322.292,13034.568
PF17/0027/A045,TR,43.809707,12.541565,21.0,86851.874,2887.913
PF18/0027/A045,TR,43.81054,12.535938,21.0,86925.026,2431.291
PF13/0028/A045,TR,43.801798,12.545762,21.0,85987.865,3263.21
PF14/0028/A045,TR,43.792671,12.537179,21.0,84944.471,2616.078
PF01/0029/A045,TR,43.800949,12.550179,52.0,85908.8,3622.526
PF19/0029/A045,TR,43.799963,12.562854,21.0,85843.105,4646.954
PF20/0030/A045,TR,43.799703,12.585752,21.0,85893.878,6490.451
PF05/0031/A045,TR,43.796211,12.582932,52.0,85496.185,6280.319
PF07/0031/A045,TR,43.795322,12.592076,52.0,85429.361,7020.322
PF20/0031/A045,TR,43.791338,12.587174,52.0,84969.627,6645.122
PF31/0031/A045,TR,43.791848,12.593375,52.0,85048.021,7141.598
PF33/0031/A045,TR,43.79554,12.576599,52.0,85399.562,5774.003
PF34/0031/A045,TR,43.793576,12.580202,52.0,85193.981,6073.403
