identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/D324A,TS,45.740604,12.567128,21.0,-35875.659,-51254.312
PF09/0002/D324A,TS,45.737943,12.58157,21.0,-36205.39,-50139.799
PF10/0002/D324A,TS,45.743095,12.572983,20.0,-35612.752,-50790.422
PF04/0003/D324A,TS,45.74192,12.602267,52.0,-35812.089,-48516.322
PF11/0003/D324A,TS,45.736876,12.613823,52.0,-36399.355,-47634.135
PF13/0003/D324A,TS,45.743915,12.605817,52.0,-35598.658,-48233.55
PF22/0003/D324A,TS,45.737425,12.610875,52.0,-36331.495,-47861.675
PF32/0003/D324A,TS,45.745525,12.611487,52.0,-35433.028,-47787.149
PF35/0003/D324A,TS,45.740156,12.608189,20.0,-36021.919,-48061.569
PF07/0004/D324A,TS,45.73013,12.589972,21.0,-37093.183,-49512.315
PF03/0006/D324A,TS,45.742945,12.563837,52.0,-35607.816,-51502.394
PF07/0006/D324A,TS,45.743813,12.566869,20.0,-35518.591,-51263.59
PF16/0007/D324A,TS,45.74271,12.575119,20.0,-35660.603,-50625.529
PF17/0007/D324A,TS,45.743877,12.571496,20.0,-35522.435,-50903.469
PF02/0010/D324A,TS,45.739611,12.596717,21.0,-36055.687,-48955.791
PF03/0010/D324A,TS,45.739442,12.593511,20.0,-36066.977,-49205.759
PF10/0001/D324B,TS,45.746302,12.586009,21.0,-35287.132,-49766.37
PF11/0001/D324B,TS,45.746498,12.589948,20.0,-35274.67,-49459.323
PF13/0002/D324B,TS,45.755435,12.605176,21.0,-34317.304,-48245.055
PF15/0003/D324B,TS,45.755296,12.616375,20.0,-34358.825,-47374.533
PF16/0003/D324B,TS,45.756645,12.618454,20.0,-34213.765,-47208.436
PF07/0006/D324B,TS,45.751101,12.612081,52.0,-34814.879,-47722.461
PF09/0006/D324B,TS,45.753179,12.610302,20.0,-34579.85,-47853.922
PF01/0007/D324B,TS,45.755008,12.60746,52.0,-34370.075,-48068.835
PF03/0007/D324B,TS,45.753636,12.607592,20.0,-34522.824,-48063.191
PF02/0008/D324B,TS,45.754191,12.608313,20.0,-34462.828,-48005.229
PF09/0010/D324B,TS,45.753361,12.604552,12.0,-34546.258,-48300.484
PF11/0010/D324B,TS,45.7519,12.608356,20.0,-34717.531,-48009.532
PF03/0011/D324B,TS,45.751197,12.608718,52.0,-34796.422,-47983.705
PF07/0011/D324B,TS,45.749151,12.610144,20.0,-35027.102,-47879.57
PF09/0012/D324B,TS,45.745273,12.581097,20.0,-35389.95,-50151.944
PF04/0013/D324B,TS,45.744165,12.586626,20.0,-35526.093,-49725.526
PF03/0014/D324B,TS,45.749257,12.598442,52.0,-34987.986,-48789.411
PF05/0014/D324B,TS,45.743956,12.602169,20.0,-35585.68,-48517.219
PF06/0015/D324B,TS,45.746169,12.605897,20.0,-35348.46,-48219.819
PF05/0017/D324B,TS,45.744336,12.580071,20.0,-35491.617,-50234.856
PF06/0017/D324B,TS,45.744033,12.576616,20.0,-35517.137,-50504.657
PF02/0018/D324B,TS,45.743896,12.589114,9.0,-35561.72,-49532.94
PF10/0018/D324B,TS,45.741801,12.589612,20.0,-35795.692,-49501.22
PF06/0019/D324B,TS,45.745017,12.592646,21.0,-35445.516,-49254.407
PF07/0019/D324B,TS,45.74127,12.59434,21.0,-35865.723,-49135.146
PF23/0001/D324C,TS,45.723921,12.593719,52.0,-37791.77,-49241.521
PF24/0001/D324C,TS,45.730707,12.583841,20.0,-37014.666,-49987.387
PF25/0001/D324C,TS,45.726661,12.59114,21.0,-37481.388,-49433.039
PF10/0002/D324C,TS,45.721586,12.59279,20.0,-38049.019,-49321.594
PF11/0002/D324C,TS,45.72204,12.590524,20.0,-37993.341,-49496.408
PF17/0001/D324D,TS,45.76995,12.63863,21.0,-32782.115,-45595.595
PF18/0001/D324D,TS,45.758374,12.641851,21.0,-34075.644,-45383.129
PF14/0003/D324D,TS,45.757642,12.642904,21.0,-34159.382,-45303.672
PF15/0003/D324D,TS,45.753015,12.636839,20.0,-34659.472,-45790.49
PF23/0005/D324E,TS,45.768883,12.65234,20.0,-32932.069,-44533.102
PF24/0005/D324E,TS,45.766028,12.649647,21.0,-33243.073,-44751.812
PF08/0008/D324E,TS,45.764113,12.652727,21.0,-33462.878,-44518.586
PF31/0001/D324F,TS,45.72403,12.603032,21.0,-37801.519,-48516.427
PF32/0001/D324F,TS,45.726569,12.602401,20.0,-37517.89,-48557.049
PF02/0001/D324G,TS,45.765121,12.59211,52.0,-33210.625,-49228.861
PF25/0001/D324G,TS,45.759526,12.589238,21.0,-33825.5,-49470.923
PF26/0001/D324G,TS,45.763157,12.595113,21.0,-33435.912,-49001.852
PF03/0002/D324G,TS,45.757945,12.592139,52.0,-34008.022,-49250.582
PF09/0002/D324G,TS,45.747749,12.58213,52.0,-35117.265,-50063.241
PF17/0002/D324G,TS,45.754317,12.589703,52.0,-34405.324,-49452.174
PF33/0002/D324G,TS,45.751808,12.585135,20.0,-34673.438,-49815.876
PF02/0003/D324G,TS,45.749366,12.580542,52.0,-34933.954,-50181.311
PF16/0003/D324G,TS,45.750549,12.581927,20.0,-34805.695,-50069.609
PF04/0004/D324G,TS,45.745116,12.572792,20.0,-35387.842,-50798.504
PF02/0005/D324G,TS,45.748379,12.579104,52.0,-35040.12,-50296.524
PF05/0005/D324G,TS,45.746076,12.575967,21.0,-35288.594,-50548.288
PF45/0001/D324H,TS,45.762654,12.606556,21.0,-33518.472,-48113.693
PF46/0001/D324H,TS,45.760347,12.614206,21.0,-33792.574,-47526.487
PF48/0001/D324H,TS,45.761861,12.610715,4.0,-33616.291,-47792.957
PF08/0002/D324H,TS,45.761679,12.616947,52.0,-33651.008,-47308.897
PF11/0002/D324H,TS,45.765516,12.624121,21.0,-33241.299,-46738.355
PF09/0001/D383A,TS,45.895891,12.387052,20.0,-18180.863,-64698.241
PF06/0002/D383A,TS,45.896502,12.399163,20.0,-18143.696,-63756.536
PF22/0004/D383A,TS,45.89435,12.402763,21.0,-18391.921,-63485.007
PF23/0004/D383A,TS,45.885519,12.411303,20.0,-19394.65,-62854.342
PF42/0005/D383A,TS,45.886079,12.433798,20.0,-19388.772,-61106.967
PF44/0005/D383A,TS,45.885641,12.417134,21.0,-19395.71,-62401.531
PF11/0006/D383A,TS,45.88594,12.439345,21.0,-19418.134,-60677.065
PF22/0007/D383A,TS,45.885045,12.41565,21.0,-19458.188,-62518.78
PF16/0008/D383A,TS,45.882386,12.428119,21.0,-19784.945,-61560.829
PF30/0009/D383A,TS,45.869653,12.445064,21.0,-21241.847,-60291.288
PF09/0011/D383A,TS,45.884405,12.421211,21.0,-19543.32,-62089.565
PF07/0012/D383A,TS,45.899819,12.390189,21.0,-17752.436,-64440.577
PF08/0013/D383A,TS,45.888142,12.407711,21.0,-19094.077,-63123.62
PF06/0014/D383A,TS,45.887853,12.411102,20.0,-19134.783,-62861.529
PF07/0001/D383B,TS,45.91049,12.336214,20.0,-16428.414,-68587.915
PF04/0002/D383B,TS,45.917592,12.342727,21.0,-15656.158,-68056.432
PF17/0005/D383B,TS,45.911768,12.363235,21.0,-16356.026,-66487.569
PF15/0006/D383B,TS,45.906018,12.375308,21.0,-17025.853,-65572.265
PF16/0007/D383B,TS,45.906934,12.346166,20.0,-16849.148,-67829.234
PF10/0008/D383B,TS,45.906946,12.352144,21.0,-16863.24,-67365.525
PF08/0009/D383B,TS,45.909171,12.344209,21.0,-16595.551,-67972.673
PF08/0010/D383B,TS,45.915866,12.333476,21.0,-15824.0,-68780.272
PF29/0001/D383C,TS,45.923556,12.385798,21.0,-15103.969,-64694.757
PF21/0004/D383C,TS,45.922218,12.390882,21.0,-15265.587,-64305.37
PF35/0005/D383C,TS,45.909669,12.392181,21.0,-16663.083,-64250.267
PF08/0007/D383C,TS,45.899911,12.38183,21.0,-17720.901,-65088.68
PF07/0008/D383C,TS,45.909467,12.392838,21.0,-16687.248,-64200.056
PF06/0009/D383C,TS,45.922986,12.390589,21.0,-15179.483,-64325.318
PF06/0010/D383C,TS,45.908627,12.388558,20.0,-16769.693,-64535.053
PF09/0011/D383C,TS,45.907656,12.379802,21.0,-16855.307,-65217.688
PF14/0012/D383C,TS,45.909196,12.392495,21.0,-16716.455,-64227.659
PF06/0013/D383C,TS,45.901014,12.387433,20.0,-17612.697,-64650.038
PF03/0002/D383D,TS,45.935666,12.348333,20.0,-13662.567,-67554.871
PF11/0003/D383D,TS,45.921437,12.339699,21.0,-15221.132,-68277.034
PF22/0004/D383D,TS,45.932028,12.351169,21.0,-14074.076,-67348.485
PF08/0006/D383D,TS,45.918273,12.330205,21.0,-15548.104,-69024.951
PF28/0002/D383E,TS,45.900696,12.433323,21.0,-17763.665,-61091.549
PF35/0003/D383E,TS,45.899453,12.454497,21.0,-17954.376,-59453.454
PF07/0005/D383E,TS,45.895391,12.434503,20.0,-18355.979,-61018.987
PF21/0006/D383E,TS,45.896317,12.444396,20.0,-18277.727,-60248.189
PF16/0003/D383F,TS,45.914211,12.428225,21.0,-16249.312,-61438.543
PF24/0005/D383F,TS,45.906936,12.398312,20.0,-16982.337,-63784.693
PF17/0006/D383F,TS,45.902792,12.418873,20.0,-17494.532,-62204.851
PF14/0003/F378,TS,45.861301,12.539912,20.0,-22401.174,-52958.479
PF16/0003/F378,TS,45.859422,12.531915,20.0,-22590.767,-53585.645
PF18/0004/F378,TS,45.857438,12.547518,52.0,-22848.521,-52381.198
PF19/0004/F378,TS,45.859563,12.543139,21.0,-22602.062,-52713.874
PF19/0005/F378,TS,45.857647,12.536336,20.0,-22798.615,-53248.553
PF28/0006/F378,TS,45.858844,12.543057,52.0,-22681.696,-52722.749
PF33/0006/F378,TS,45.855386,12.555623,21.0,-23095.881,-51759.012
PF34/0006/F378,TS,45.855602,12.54079,20.0,-23036.469,-52909.836
PF36/0006/F378,TS,45.855476,12.549867,4.0,-23072.106,-52205.595
PF12/0007/F378,TS,45.83727,12.584908,52.0,-25177.796,-49546.439
PF18/0007/F378,TS,45.852545,12.55887,21.0,-23419.184,-51516.564
PF19/0007/F378,TS,45.854234,12.561122,20.0,-23236.903,-51336.01
PF06/0008/F378,TS,45.847611,12.555969,21.0,-23960.484,-51758.628
PF15/0009/F378,TS,45.835745,12.582388,21.0,-25341.3,-49747.259
PF16/0009/F378,TS,45.834063,12.579792,20.0,-25522.071,-49954.528
PF11/0011/F378,TS,45.859773,12.541124,52.0,-22573.895,-52869.589
PF17/0011/F378,TS,45.859722,12.539275,21.0,-22575.076,-53013.341
PF18/0011/F378,TS,45.858238,12.540825,21.0,-22743.704,-52898.063
PF04/0001/F795A,TS,45.739848,12.512532,52.0,-35828.954,-55504.143
PF25/0001/F795A,TS,45.73225,12.516231,52.0,-36682.064,-55242.574
PF27/0001/F795A,TS,45.732716,12.507713,52.0,-36609.692,-55903.735
PF45/0001/F795A,TS,45.736506,12.509248,20.0,-36192.334,-55771.117
PF09/0002/F795A,TS,45.735401,12.522932,52.0,-36348.15,-54710.347
PF10/0002/F795A,TS,45.736893,12.523256,52.0,-36183.193,-54680.014
PF11/0002/F795A,TS,45.735642,12.525776,52.0,-36328.277,-54488.277
PF14/0002/F795A,TS,45.73773,12.529418,21.0,-36105.012,-54197.777
PF03/0003/F795A,TS,45.730963,12.539921,21.0,-36882.116,-53403.779
PF04/0003/F795A,TS,45.728851,12.542557,20.0,-37123.049,-53205.934
PF03/0005/F795A,TS,45.733603,12.528297,52.0,-36560.907,-54299.149
PF04/0005/F795A,TS,45.733561,12.530867,52.0,-36571.757,-54099.313
PF13/0005/F795A,TS,45.731493,12.537747,52.0,-36817.985,-53571.136
PF31/0005/F795A,TS,45.729014,12.537984,52.0,-37094.004,-53561.194
PF42/0005/F795A,TS,45.730967,12.526879,20.0,-36850.347,-54418.502
PF04/0007/F795A,TS,45.741061,12.519662,52.0,-35711.412,-54945.237
PF09/0007/F795A,TS,45.743292,12.519024,20.0,-35462.107,-54987.185
PF10/0007/F795A,TS,45.73968,12.521764,21.0,-35869.946,-54786.517
PF05/0008/F795A,TS,45.739211,12.524301,52.0,-35928.15,-54590.736
PF06/0008/F795A,TS,45.740291,12.526243,21.0,-35812.889,-54435.965
PF02/0009/F795A,TS,45.738365,12.522237,52.0,-36017.209,-54754.226
PF08/0009/F795A,TS,45.736471,12.520554,20.0,-36223.536,-54891.7
PF04/0010/F795A,TS,45.738623,12.526437,20.0,-35998.694,-54426.567
PF01/0011/F795A,TS,45.73306,12.51786,52.0,-36596.06,-55113.003
PF03/0011/F795A,TS,45.734469,12.519738,21.0,-36444.069,-54962.054
PF06/0013/F795A,TS,45.743464,12.560833,52.0,-35542.98,-51734.29
PF10/0013/F795A,TS,45.739651,12.557241,21.0,-35958.151,-52026.707
PF02/0016/F795A,TS,45.736865,12.554675,52.0,-36261.594,-52235.747
PF10/0016/F795A,TS,45.737474,12.555921,12.0,-36196.909,-52136.736
PF11/0016/F795A,TS,45.735996,12.557407,20.0,-36364.605,-52026.168
PF15/0019/F795A,TS,45.729594,12.554101,20.0,-37068.05,-52305.109
PF16/0019/F795A,TS,45.737575,12.543609,21.0,-36156.315,-53094.253
PF17/0019/F795A,TS,45.734275,12.55601,4.0,-36552.443,-52140.687
PF06/0021/F795A,TS,45.730463,12.544236,20.0,-36947.98,-53069.717
PF07/0021/F795A,TS,45.727552,12.548809,20.0,-37282.229,-52723.877
PF07/0022/F795A,TS,45.728194,12.557126,20.0,-37230.765,-52074.549
PF08/0022/F795A,TS,45.730527,12.558076,20.0,-36973.845,-51992.661
PF08/0002/F795B,TS,45.729017,12.51301,20.0,-37033.489,-55504.324
PF24/0004/F795B,TS,45.726026,12.522505,21.0,-37388.707,-54775.827
PF27/0004/F795B,TS,45.726385,12.540064,20.0,-37390.999,-53408.294
PF28/0004/F795B,TS,45.728334,12.529968,4.0,-37150.299,-54187.208
PF08/0009/F795B,TS,45.72332,12.531814,52.0,-37711.766,-54060.804
PF09/0009/F795B,TS,45.725038,12.528736,20.0,-37513.548,-54294.414
PF09/0001/F795C,TS,45.732857,12.564397,52.0,-36729.897,-51492.961
PF25/0001/F795C,TS,45.727057,12.56386,21.0,-37373.068,-51554.389
PF22/0002/F795C,TS,45.722459,12.5647,52.0,-37885.851,-51504.612
PF25/0002/F795C,TS,45.72193,12.559622,52.0,-37932.559,-51901.551
PF31/0002/F795C,TS,45.72037,12.551153,21.0,-38085.73,-52565.866
PF32/0002/F795C,TS,45.718596,12.556722,21.0,-38296.177,-52138.557
PF05/0005/F795C,TS,45.737972,12.564969,20.0,-36163.006,-51431.202
PF06/0005/F795C,TS,45.737537,12.569353,20.0,-36221.7,-51091.56
PF20/0012/F795C,TS,45.741689,12.560668,21.0,-35739.897,-51753.19
PF05/0013/F795C,TS,45.736109,12.559801,52.0,-36357.756,-51839.513
PF07/0013/F795C,TS,45.736017,12.562228,52.0,-36373.661,-51651.016
PF25/0013/F795C,TS,45.73731,12.560762,20.0,-36226.526,-51760.736
PF01/0001/F795D,TS,45.741128,12.472532,52.0,-35589.147,-58611.383
PF10/0001/F795D,TS,45.744104,12.484888,52.0,-35288.913,-57639.798
PF18/0001/F795D,TS,45.736484,12.494002,54.0,-36157.693,-56957.309
PF27/0001/F795D,TS,45.744463,12.494774,52.0,-35273.152,-56869.494
PF31/0001/F795D,TS,45.732938,12.475221,12.0,-36505.67,-58430.91
PF34/0001/F795D,TS,45.736425,12.474788,20.0,-36117.243,-58452.341
PF15/0002/F795D,TS,45.735049,12.501964,52.0,-36336.569,-56342.883
PF22/0002/F795D,TS,45.740818,12.497514,20.0,-35684.805,-56669.068
PF20/0004/F795D,TS,45.733825,12.496506,52.0,-36459.27,-56771.785
PF24/0004/F795D,TS,45.7349,12.487189,20.0,-36317.08,-57492.942
PF11/0007/F795D,TS,45.746419,12.505185,20.0,-35081.168,-56052.876
PF12/0007/F795D,TS,45.744797,12.509108,20.0,-35270.894,-55753.31
PF02/0008/F795D,TS,45.742685,12.51454,52.0,-35518.606,-55338.09
PF09/0008/F795D,TS,45.741038,12.509051,52.0,-35688.33,-55770.766
PF11/0008/F795D,TS,45.742762,12.509697,21.0,-35498.431,-55714.54
PF06/0009/F795D,TS,45.738756,12.504304,20.0,-35930.312,-56147.99
PF07/0009/F795D,TS,45.741441,12.504565,20.0,-35632.721,-56118.383
PF03/0010/F795D,TS,45.743469,12.499793,52.0,-35395.835,-56482.529
PF04/0010/F795D,TS,45.743808,12.502756,21.0,-35365.296,-56250.843
PF04/0011/F795D,TS,45.740956,12.509339,20.0,-35698.174,-55748.682
PF05/0011/F795D,TS,45.739118,12.507845,20.0,-35898.765,-55871.221
PF07/0001/I715A,TS,45.871041,12.493609,20.0,-21207.176,-56518.696
PF11/0002/I715A,TS,45.877761,12.493369,21.0,-20459.98,-56513.838
PF11/0007/I715A,TS,45.860514,12.52342,20.0,-22449.045,-54241.38
PF29/0008/I715A,TS,45.868017,12.49662,20.0,-21550.495,-56295.591
PF18/0009/I715A,TS,45.871191,12.496026,20.0,-21196.385,-56330.638
PF16/0010/I715A,TS,45.86219,12.511929,21.0,-22235.116,-55127.537
PF11/0002/I715B,TS,45.867061,12.449717,20.0,-21541.352,-59939.364
PF28/0003/I715B,TS,45.858463,12.477466,20.0,-22565.154,-57815.791
PF12/0004/I715B,TS,45.864879,12.487234,21.0,-21876.196,-57035.01
PF18/0005/I715B,TS,45.854393,12.479704,21.0,-23022.834,-57656.315
PF22/0006/I715B,TS,45.85231,12.499453,20.0,-23302.491,-56130.389
PF10/0007/I715B,TS,45.851332,12.506016,21.0,-23427.132,-55624.24
PF09/0008/I715B,TS,45.840424,12.518677,20.0,-24669.656,-54678.944
PF09/0011/I715B,TS,45.845826,12.513663,21.0,-24057.39,-55049.633
PF08/0012/I715B,TS,45.848535,12.521007,20.0,-23774.167,-54469.98
PF09/0013/I715B,TS,45.842984,12.515948,20.0,-24378.6,-54882.019
PF09/0001/I715C,TS,45.89601,12.464485,21.0,-18361.616,-58690.886
