identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF11/0001/A237,TV,45.486332,12.265434,52.0,334.752,-4345.814
PF17/0001/A237,TV,45.491875,12.27504,52.0,950.248,-3594.603
PF20/0001/A237,TV,45.486851,12.273009,20.0,391.996,-3753.661
PF13/0002/A237,TV,45.488927,12.281878,54.0,622.415,-3060.278
PF18/0002/A237,TV,45.489692,12.275671,52.0,707.647,-3545.425
PF19/0002/A237,TV,45.493307,12.27646,52.0,1109.383,-3483.506
PF21/0002/A237,TV,45.490846,12.27913,21.0,835.764,-3274.935
PF01/0003/A237,TV,45.490222,12.28555,54.0,766.152,-2773.201
PF14/0003/A237,TV,45.487812,12.290258,21.0,498.139,-2405.292
PF02/0004/A237,TV,45.484976,12.272397,54.0,183.703,-3801.628
PF14/0004/A237,TV,45.485337,12.259073,52.0,224.498,-4843.085
PF23/0004/A237,TV,45.484911,12.263163,54.0,176.969,-4523.421
PF24/0004/A237,TV,45.478666,12.274913,20.0,-517.628,-3605.314
PF31/0004/A237,TV,45.479932,12.256496,12.0,-376.0,-5045.0
PF32/0004/A237,TV,45.476224,12.273564,12.0,-789.0,-3711.0
PF33/0004/A237,TV,45.480918,12.274916,12.0,-267.431,-3604.944
PF34/0004/A237,TV,45.483131,12.259113,12.0,-20.575,-4840.209
PF35/0004/A237,TV,45.485008,12.269014,10.0,187.425,-4066.06
PF36/0004/A237,TV,45.482836,12.263931,21.0,-53.685,-4463.548
PF04/0005/A237,TV,45.486672,12.281209,54.0,371.809,-3112.722
PF07/0005/A237,TV,45.483362,12.275836,54.0,4.147,-3532.898
PF13/0005/A237,TV,45.477745,12.281249,20.0,-620.257,-3110.053
PF20/0005/A237,TV,45.474225,12.279727,52.0,-1011.388,-3229.223
PF23/0005/A237,TV,45.487169,12.277886,54.0,427.201,-3372.377
PF25/0005/A237,TV,45.477026,12.276364,12.0,-700.0,-3492.0
PF26/0005/A237,TV,45.4812,12.278044,20.0,-236.22,-3360.398
PF05/0006/A237,TV,45.483513,12.28254,54.0,20.71,-3008.847
PF07/0006/A237,TV,45.484039,12.291419,54.0,78.823,-2314.702
PF11/0006/A237,TV,45.477062,12.284188,52.0,-696.244,-2880.297
PF16/0006/A237,TV,45.477356,12.293355,52.0,-663.844,-2163.635
PF20/0006/A237,TV,45.485713,12.289219,54.0,264.956,-2486.631
PF21/0006/A237,TV,45.48163,12.282658,52.0,-188.616,-2999.71
PF26/0006/A237,TV,45.483164,12.287003,12.0,-18.296,-2659.929
PF27/0006/A237,TV,45.479569,12.283242,21.0,-417.601,-2954.156
PF17/0007/A237,TV,45.480263,12.296561,52.0,-340.933,-1912.849
PF20/0007/A237,TV,45.476229,12.30119,52.0,-789.322,-1551.096
PF21/0007/A237,TV,45.486608,12.294271,54.0,364.241,-2091.666
PF22/0007/A237,TV,45.487426,12.30006,54.0,455.075,-1639.142
PF23/0007/A237,TV,45.47808,12.296614,12.0,-583.478,-1908.807
PF24/0007/A237,TV,45.480386,12.299374,20.0,-327.267,-1693.012
PF03/0008/A237,TV,45.498493,12.320712,52.0,1684.717,-24.866
PF06/0008/A237,TV,45.496809,12.325579,52.0,1497.5,355.545
PF09/0008/A237,TV,45.495204,12.320165,52.0,1319.132,-67.577
PF12/0008/A237,TV,45.498157,12.31812,52.0,1647.369,-227.391
PF14/0008/A237,TV,45.500617,12.313871,52.0,1920.718,-559.497
PF17/0008/A237,TV,45.496467,12.322899,52.0,1459.485,146.093
PF18/0008/A237,TV,45.49462,12.317079,52.0,1254.294,-308.788
PF22/0008/A237,TV,45.497797,12.31387,52.0,1607.396,-559.593
PF24/0008/A237,TV,45.499333,12.32533,21.0,1777.994,336.07
PF01/0009/A237,TV,45.485795,12.334812,54.0,273.651,1077.299
PF07/0009/A237,TV,45.489719,12.328744,54.0,709.634,602.949
PF08/0009/A237,TV,45.493399,12.324106,52.0,1118.572,240.38
PF10/0009/A237,TV,45.490088,12.320947,52.0,750.665,-6.471
PF12/0009/A237,TV,45.488202,12.321292,52.0,541.015,20.446
PF15/0009/A237,TV,45.492252,12.320238,52.0,991.136,-61.892
PF17/0009/A237,TV,45.490823,12.323527,52.0,832.275,195.19
PF18/0009/A237,TV,45.491466,12.326736,54.0,903.813,446.01
PF24/0009/A237,TV,45.491828,12.329419,54.0,944.019,655.645
PF26/0009/A237,TV,45.485441,12.330173,12.0,234.3,714.7
PF27/0009/A237,TV,45.492407,12.333006,20.0,1008.457,936.069
PF28/0009/A237,TV,45.49004,12.315964,20.0,745.319,-395.967
PF29/0009/A237,TV,45.519949,12.411339,21.0,4073.048,7055.044
PF03/0010/A237,TV,45.486286,12.316279,52.0,328.165,-371.384
PF07/0010/A237,TV,45.488209,12.30973,50.0,541.843,-883.244
PF18/0010/A237,TV,45.485573,12.305453,50.0,249.003,-1217.658
PF21/0010/A237,TV,45.486054,12.310615,52.0,302.416,-814.142
PF24/0010/A237,TV,45.48221,12.309892,20.0,-124.815,-870.665
PF04/0011/A237,TV,45.475632,12.311348,54.0,-855.763,-756.999
PF10/0011/A237,TV,45.481317,12.305776,52.0,-223.934,-1192.472
PF11/0011/A237,TV,45.480532,12.311467,52.0,-311.219,-747.622
PF20/0011/A237,TV,45.476569,12.305763,52.0,-751.58,-1193.593
PF24/0011/A237,TV,45.477515,12.31272,20.0,-646.576,-649.662
PF25/0011/A237,TV,45.482638,12.315497,20.0,-77.29,-432.516
PF02/0012/A237,TV,45.485739,12.323032,54.0,267.303,156.507
PF08/0012/A237,TV,45.478306,12.326055,52.0,-558.655,392.816
PF12/0012/A237,TV,45.484415,12.327367,54.0,120.177,495.39
PF05/0013/A237,TV,45.471833,12.312358,52.0,-1277.951,-678.031
PF20/0013/A237,TV,45.473669,12.313902,52.0,-1073.907,-557.269
PF22/0013/A237,TV,45.470021,12.309512,20.0,-1479.273,-900.583
PF23/0013/A237,TV,45.473032,12.318213,20.0,-1144.778,-220.211
PF24/0013/A237,TV,45.476434,12.318201,20.0,-766.76,-221.21
PF25/0013/A237,TV,45.474662,12.306857,21.0,-963.507,-1108.133
PF02/0014/A237,TV,45.493978,12.344327,52.0,1183.192,1820.815
PF03/0014/A237,TV,45.493182,12.338813,52.0,1094.677,1389.855
PF11/0014/A237,TV,45.490791,12.337944,52.0,828.909,1322.027
PF13/0014/A237,TV,45.486754,12.341224,54.0,380.362,1578.499
