identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A103A,UD,45.977122,12.658593,12.0,2548.0,-134.0
PF04/0001/A103A,UD,45.975204,12.656075,50.0,2334.901,-329.117
PF05/0001/A103A,UD,45.976078,12.649443,12.0,2432.0,-843.0
PF01/0003/A103A,UD,45.963967,12.657703,12.0,1086.0,-203.0
PF02/0003/A103A,UD,45.967369,12.656615,50.0,1464.059,-287.292
PF03/0003/A103A,UD,45.963119,12.637425,54.0,992.039,-1774.669
PF06/0003/A103A,UD,45.961507,12.669765,54.0,812.638,731.867
PF02/0004/A103A,UD,45.964957,12.667238,12.0,1196.0,536.0
PF03/0004/A103A,UD,45.965071,12.661966,54.0,1208.637,127.402
PF01/0006/A103A,UD,45.956934,12.653491,54.0,304.37,-529.541
PF02/0006/A103A,UD,45.955693,12.656816,54.0,166.421,-271.773
PF08/0006/A103A,UD,45.963545,12.650214,50.0,1039.14,-783.428
PF09/0006/A103A,UD,45.963139,12.653562,12.0,994.0,-524.0
PF10/0006/A103A,UD,45.955477,12.650445,44.0,142.43,-765.67
PF12/0006/A103A,UD,45.955519,12.648193,44.0,147.18,-940.257
PF15/0006/A103A,UD,45.958964,12.648247,12.0,530.0,-936.0
PF16/0006/A103A,UD,45.961239,12.64244,12.0,783.0,-1386.0
PF17/0006/A103A,UD,45.9608,12.659164,12.0,734.0,-89.8
PF18/0006/A103A,UD,45.958667,12.659817,12.0,497.0,-39.2
PF06/0007/A103A,UD,45.957975,12.663651,12.0,420.0,258.0
PF07/0007/A103A,UD,45.960206,12.661528,12.0,668.0,93.41
PF08/0007/A103A,UD,45.956058,12.660761,12.0,207.0,34.0
PF09/0007/A103A,UD,45.96277,12.665432,54.0,953.0,396.0
PF13/0007/A103A,UD,45.95352,12.667276,54.0,-75.111,539.001
PF14/0007/A103A,UD,45.953396,12.668544,54.0,-88.863,637.292
PF01/0008/A103A,UD,45.946689,12.634758,12.0,-834.0,-1982.0
PF02/0008/A103A,UD,45.95082,12.641592,12.0,-375.0,-1452.0
PF04/0008/A103A,UD,45.942971,12.645151,9.0,-1247.37,-1176.289
PF01/0009/A103A,UD,45.953772,12.653731,12.0,-47.0,-511.0
PF02/0009/A103A,UD,45.94954,12.659541,50.0,-517.379,-60.595
PF03/0009/A103A,UD,45.94996,12.651535,54.0,-470.71,-681.247
PF04/0009/A103A,UD,45.950285,12.652602,50.0,-434.61,-598.543
PF05/0009/A103A,UD,45.953178,12.648996,12.0,-113.0,-878.0
PF07/0009/A103A,UD,45.943614,12.653009,12.0,-1176.0,-567.0
PF08/0009/A103A,UD,45.949808,12.646752,12.0,-487.5,-1052.0
PF01/0010/A103A,UD,45.951626,12.674663,54.0,-285.527,1111.696
PF02/0010/A103A,UD,45.953669,12.661191,54.0,-58.466,67.316
PF08/0012/A103A,UD,45.942156,12.651165,12.0,-1338.0,-710.0
PF09/0012/A103A,UD,45.941491,12.657898,12.0,-1412.0,-188.0
PF01/0014/A103A,UD,45.961933,12.647137,12.0,860.0,-1022.0
PF02/0014/A103A,UD,45.959603,12.654517,12.0,601.0,-450.0
PF03/0014/A103A,UD,45.960386,12.650427,12.0,688.0,-767.0
PF01/0015/A103A,UD,45.961592,12.657961,12.0,822.0,-183.0
PF03/0015/A103A,UD,45.96233,12.66111,12.0,904.0,61.0
PF01/0016/A103A,UD,45.958361,12.650595,12.0,463.0,-754.0
PF01/0017/A103A,UD,45.958029,12.657897,12.0,426.0,-188.0
PF02/0017/A103A,UD,45.959234,12.657097,12.0,560.0,-250.0
PF06/0001/A103B,UD,45.966158,12.650701,54.0,1329.509,-745.685
PF07/0001/A103B,UD,45.965488,12.655265,9.0,1255.0,-392.0
PF03/0002/A103B,UD,45.967368,12.663845,12.0,1464.0,273.0
PF05/0002/A103B,UD,45.966846,12.667948,12.0,1406.0,591.0
PF06/0002/A103B,UD,45.953428,12.673319,54.0,-85.249,1007.481
PF09/0002/A103B,UD,45.963824,12.659577,54.0,1070.081,-57.762
PF01/0003/A103B,UD,45.95651,12.654215,54.0,257.226,-473.455
PF02/0003/A103B,UD,45.956901,12.658062,54.0,300.639,-175.234
PF04/0003/A103B,UD,45.95597,12.660162,54.0,197.17,-12.446
PF07/0003/A103B,UD,45.954162,12.487429,54.0,10.755,-13402.353
PF08/0003/A103B,UD,45.956979,12.487748,54.0,323.882,-13376.904
PF10/0003/A103B,UD,45.931693,11.575796,9.0,-1928.898,-84101.501
PF11/0003/A103B,UD,45.959584,12.644408,9.0,599.0,-1233.5
PF12/0003/A103B,UD,45.956492,12.66359,54.0,255.22,253.248
PF01/0004/A103B,UD,45.952887,12.392642,54.0,-110.597,-20750.44
PF03/0004/A103B,UD,45.959447,12.662995,54.0,583.6,207.144
PF04/0004/A103B,UD,45.957552,12.666889,12.0,373.0,509.0
PF07/0004/A103B,UD,45.960934,12.67165,12.0,749.0,878.0
PF11/0004/A103B,UD,45.961727,12.665354,12.0,837.0,390.0
PF02/0006/A103B,UD,45.952846,12.657625,54.0,-149.928,-209.122
PF07/0006/A103B,UD,45.946318,12.652271,54.0,-875.418,-624.21
PF08/0006/A103B,UD,45.950351,12.651244,54.0,-427.182,-703.79
PF09/0006/A103B,UD,45.955138,12.657616,54.0,104.749,-209.809
PF10/0006/A103B,UD,45.954316,12.649722,54.0,13.412,-821.752
PF11/0006/A103B,UD,45.954683,12.654102,54.0,54.143,-482.203
PF12/0006/A103B,UD,45.945467,12.648637,9.0,-970.0,-906.0
PF02/0007/A103B,UD,45.954154,12.661901,54.0,-4.668,122.377
PF03/0007/A103B,UD,45.951838,12.665947,12.0,-262.0,436.0
PF08/0007/A103B,UD,45.952994,12.660477,54.0,-133.5,12.0
PF09/0007/A103B,UD,45.954173,12.65947,54.0,-2.455,-66.098
PF10/0007/A103B,UD,45.949193,12.657846,12.0,-556.0,-192.0
PF11/0007/A103B,UD,45.955185,12.66098,12.0,110.0,51.0
PF12/0007/A103B,UD,45.953692,12.659471,54.0,-56.0,-66.0
PF13/0007/A103B,UD,45.949912,12.665947,9.0,-476.0,436.0
PF01/0008/A103B,UD,45.938125,12.651746,12.0,-1786.0,-665.0
PF04/0008/A103B,UD,45.947897,12.660632,12.0,-700.0,24.0
PF05/0008/A103B,UD,45.945696,12.655053,9.0,-944.664,-408.514
PF06/0008/A103B,UD,45.941671,12.656556,12.0,-1392.0,-292.0
PF01/0001/A254,UD,46.413533,13.078693,10.0,51137.0,32162.0
