identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF06/0002/A085,VA,45.654757,8.880971,20.0,5055717.215,1490753.787
PF05/0010/A085,VA,45.657562,8.892843,20.0,5056027.551,1491679.193
PF01/0903/A085,VA,46.037502,8.752913,8.0,5098265.31,1480908.02
PF03/0903/A085,VA,46.033888,8.754967,50.0,5097863.177,1481065.749
PF04/0903/A085,VA,46.036464,8.75713,50.0,5098148.941,1481234.027
PF05/0903/A085,VA,46.03448,8.755736,50.0,5097928.831,1481125.46
PF06/0903/A085,VA,46.034696,8.752486,50.0,5097953.551,1480874.031
PF07/0903/A085,VA,46.033376,8.757581,50.0,5097805.672,1481267.843
PF01/0904/A085,VA,46.034257,8.770936,70.0,5097900.515,1482301.675
PF02/0904/A085,VA,46.038918,8.765609,50.0,5098419.595,1481890.929
PF03/0904/A085,VA,46.039087,8.769556,50.0,5098437.519,1482196.372
PF06/0904/A085,VA,46.036771,8.765039,50.0,5098181.194,1481846.15
PF08/0904/A085,VA,46.036727,8.770899,70.0,5098175.045,1482299.58
PF09/0904/A085,VA,46.037472,8.772519,50.0,5098257.449,1482425.128
PF10/0904/A085,VA,46.03965,8.771114,70.0,5098499.671,1482317.166
PF11/0904/A085,VA,46.040986,8.766039,50.0,5098649.258,1481924.845
PF12/0904/A085,VA,46.036435,8.767898,50.0,5098143.177,1482067.253
PF14/0904/A085,VA,46.034838,8.768992,70.0,5097965.527,1482151.381
PF18/0904/A085,VA,46.032939,8.762443,12.0,5097756.0,1481644.0
PF19/0904/A085,VA,46.033203,8.768972,50.0,5097783.886,1482149.298
PF20/0904/A085,VA,46.032448,8.766058,50.0,5097700.667,1481923.571
PF23/0904/A085,VA,46.032723,8.773759,50.0,5097729.432,1482519.588
PF24/0904/A085,VA,46.035126,8.774548,70.0,5097996.271,1482581.394
PF25/0904/A085,VA,46.03595,8.75983,70.0,5098091.204,1481442.788
PF26/0904/A085,VA,46.033634,8.760925,70.0,5097833.553,1481526.702
PF27/0904/A085,VA,46.034257,8.765409,50.0,5097901.759,1481873.914
PF28/0904/A085,VA,46.037496,8.771016,70.0,5098260.422,1482308.875
PF29/0904/A085,VA,46.034865,8.776081,12.0,5097967.0,1482700.0
PF30/0904/A085,VA,46.03529,8.772603,12.0,5098015.0,1482431.0
PF31/0904/A085,VA,46.038252,8.768365,12.0,5098345.0,1482104.0
PF01/0905/A085,VA,46.035026,8.778662,70.0,5097984.243,1482899.728
PF01/0906/A085,VA,46.031181,8.754155,50.0,5097562.637,1481001.944
PF01/0907/A085,VA,46.031851,8.775592,8.0,5097632.21,1482661.19
PF02/0907/A085,VA,46.032188,8.771361,50.0,5097670.592,1482333.853
PF03/0907/A085,VA,46.030956,8.774574,70.0,5097532.991,1482582.113
PF04/0907/A085,VA,46.029905,8.769198,50.0,5097417.385,1482165.774
PF02/0901/A167A,VA,45.740381,8.809007,70.0,5065241.12,1485169.531
PF03/0901/A167A,VA,45.740776,8.805634,50.0,5065285.673,1484907.192
PF04/0901/A167A,VA,45.738622,8.806147,70.0,5065046.24,1484946.561
PF01/0902/A167A,VA,45.731144,8.795665,70.0,5064217.505,1484128.953
PF06/0902/A167A,VA,45.731877,8.791704,50.0,5064299.642,1483820.929
PF07/0902/A167A,VA,45.727942,8.797672,70.0,5063861.29,1484284.223
PF08/0902/A167A,VA,45.729395,8.79325,70.0,5064023.617,1483940.539
PF10/0902/A167A,VA,45.729109,8.794746,8.0,5063991.59,1484056.88
PF01/0903/A167A,VA,45.731404,8.807706,70.0,5064243.974,1485065.889
PF03/0903/A167A,VA,45.73328,8.80561,70.0,5064452.826,1484903.358
PF04/0903/A167A,VA,45.733928,8.806978,70.0,5064524.596,1485009.916
PF06/0903/A167A,VA,45.733799,8.800163,70.0,5064511.556,1484479.664
PF07/0903/A167A,VA,45.731604,8.800165,70.0,5064267.641,1484479.201
PF08/0903/A167A,VA,45.729676,8.801293,70.0,5064053.292,1484566.467
PF12/0903/A167A,VA,45.731013,8.811223,50.0,5064199.935,1485339.439
PF13/0903/A167A,VA,45.730874,8.804465,70.0,5064185.725,1484813.611
PF16/0903/A167A,VA,45.7281,8.80393,50.0,5063877.701,1484771.198
PF20/0903/A167A,VA,45.729853,8.798142,50.0,5064073.484,1484321.282
PF22/0903/A167A,VA,45.729613,8.808056,8.0,5064045.02,1485092.65
PF24/0903/A167A,VA,45.729009,8.806371,70.0,5063978.226,1484961.394
PF25/0903/A167A,VA,45.736149,8.806449,70.0,5064771.425,1484969.4
PF26/0903/A167A,VA,45.727777,8.810539,50.0,5063840.57,1485285.401
PF27/0903/A167A,VA,45.735226,8.802695,50.0,5064669.568,1484677.06
PF01/0904/A167A,VA,45.720517,8.786948,8.0,5063038.5,1483447.57
PF04/0904/A167A,VA,45.725194,8.79498,70.0,5063556.482,1484073.93
PF05/0904/A167A,VA,45.727114,8.789531,50.0,5063770.911,1483650.514
PF06/0904/A167A,VA,45.725773,8.787899,50.0,5063622.348,1483523.146
PF07/0904/A167A,VA,45.724871,8.791841,50.0,5063521.279,1483829.628
PF08/0904/A167A,VA,45.722909,8.796683,50.0,5063302.337,1484205.804
PF09/0904/A167A,VA,45.719492,8.791775,50.0,5062923.615,1483822.931
PF10/0904/A167A,VA,45.721059,8.787096,50.0,5063098.769,1483459.231
PF11/0904/A167A,VA,45.720972,8.79571,70.0,5063087.331,1484129.567
PF12/0904/A167A,VA,45.727149,8.794479,70.0,5063773.814,1484035.491
PF01/0905/A167A,VA,45.720948,8.802967,70.0,5063083.196,1484694.342
PF02/0905/A167A,VA,45.726564,8.806506,50.0,5063706.536,1484971.254
PF06/0905/A167A,VA,45.723098,8.799824,70.0,5063322.752,1484450.282
PF07/0905/A167A,VA,45.724768,8.809418,50.0,5063506.407,1485197.317
PF11/0905/A167A,VA,45.7223,8.80588,70.0,5063232.843,1484921.345
PF13/0905/A167A,VA,45.719393,8.806183,70.0,5062909.793,1484944.188
PF17/0905/A167A,VA,45.718494,8.801901,70.0,5062810.787,1484610.673
PF18/0905/A167A,VA,45.718265,8.799119,70.0,5062785.891,1484394.137
PF20/0905/A167A,VA,45.72099,8.807771,70.0,5063086.933,1485068.157
PF22/0905/A167A,VA,45.724323,8.806672,70.0,5063457.473,1484983.537
PF23/0905/A167A,VA,45.72007,8.799869,70.0,5062986.235,1484452.945
PF24/0905/A167A,VA,45.726944,8.80029,70.0,5063749.894,1484487.633
