identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A317,VB,46.073809,8.770102,8.0,71189.74,-11674.37
PF02/0001/A317,VB,46.083856,8.750797,8.0,72309.47,-13165.29
PF03/0001/A317,VB,46.078087,8.786551,8.0,71662.94,-10401.28
PF01/0002/A317,VB,46.089141,8.791066,8.0,72890.88,-10050.02
PF01/0003/A317,VB,46.09465,8.824248,8.0,73499.56,-7483.32
PF02/0003/A317,VB,46.086799,8.832252,8.0,72626.22,-6865.41
PF03/0003/A317,VB,46.09143,8.81317,8.0,73142.72,-8340.44
PF01/0004/A317,VB,46.075515,8.82496,8.0,71372.84,-7430.9
PF02/0004/A317,VB,46.080754,8.849051,3.0,71953.1,-5566.95
PF03/0004/A317,VB,46.072564,8.828071,10.0,71044.56,-7190.601
PF01/0005/A317,VB,46.054088,8.760921,8.0,68999.43,-12389.0
PF02/0005/A317,VB,46.063479,8.763406,8.0,70042.67,-12194.65
PF03/0005/A317,VB,46.057218,8.738458,8.0,69351.01,-14126.3
PF04/0005/A317,VB,46.049337,8.777984,8.0,68468.86,-11069.58
PF01/0006/A317,VB,46.05251,8.789864,8.0,68819.95,-10149.71
PF02/0006/A317,VB,46.066307,8.785411,8.0,70353.82,-10491.67
PF03/0006/A317,VB,46.075202,8.802904,8.0,71340.32,-9136.91
PF04/0006/A317,VB,46.059776,8.801053,8.0,69626.02,-9282.65
PF05/0006/A317,VB,46.067535,8.802384,8.0,70488.27,-9178.38
PF01/0007/A317,VB,46.067543,8.824345,10.0,70486.875,-7479.497
PF07/0007/A317,VB,46.072065,8.992165,21.0,70987.323,5502.548
PF01/0008/A317,VB,46.067849,8.826632,8.0,70520.65,-7302.54
PF02/0008/A317,VB,46.067929,8.825219,10.0,70529.686,-7411.853
PF03/0008/A317,VB,46.068757,8.82391,10.0,70621.78,-7513.015
PF04/0008/A317,VB,46.070886,8.827562,10.0,70858.1,-7230.2
PF01/0009/A317,VB,46.070133,8.830627,52.0,70774.079,-6993.251
PF02/0009/A317,VB,46.070051,8.833048,52.0,70764.836,-6805.94
PF03/0009/A317,VB,46.068971,8.832327,52.0,70644.876,-6861.822
PF04/0009/A317,VB,46.068103,8.830359,52.0,70548.528,-7014.226
PF05/0009/A317,VB,46.067187,8.832799,50.0,70446.529,-6825.521
PF06/0009/A317,VB,46.066772,8.829339,10.0,70400.7,-7093.3
PF02/0010/A317,VB,46.068109,8.835453,10.0,70548.8,-6620.1
PF04/0010/A317,VB,46.065164,8.835751,50.0,70221.438,-6597.429
PF05/0010/A317,VB,46.066719,8.837701,52.0,70394.076,-6446.395
PF06/0010/A317,VB,46.070005,8.837993,10.0,70759.328,-6423.46
PF07/0010/A317,VB,46.06799,8.839272,10.0,70535.23,-6324.726
PF08/0010/A317,VB,46.06814,8.83576,12.0,70552.145,-6596.399
PF02/0011/A317,VB,46.06863,8.845554,10.0,70605.9,-5838.7
PF03/0011/A317,VB,46.069807,8.841517,10.0,70737.0,-6150.813
PF02/0012/A317,VB,46.062041,8.829452,52.0,69874.937,-7085.151
PF03/0012/A317,VB,46.059927,8.832409,52.0,69639.648,-6856.626
PF05/0012/A317,VB,46.063586,8.828716,10.0,70046.668,-7141.885
PF06/0012/A317,VB,46.057699,8.832978,52.0,69392.059,-6812.861
PF07/0012/A317,VB,46.062416,8.832276,50.0,69916.3,-6866.573
PF01/0013/A317,VB,46.063943,8.833906,52.0,70085.858,-6740.328
PF02/0013/A317,VB,46.062684,8.835091,52.0,69945.828,-6648.813
PF03/0013/A317,VB,46.06096,8.83583,52.0,69754.201,-6591.801
PF04/0013/A317,VB,46.059554,8.837721,52.0,69597.776,-6445.708
PF06/0013/A317,VB,46.059554,8.839525,12.0,69597.656,-6306.142
PF07/0013/A317,VB,45.369566,9.809777,12.0,-6702.0,69613.105
PF04/0014/A317,VB,46.058145,8.841172,52.0,69440.906,-6178.842
PF06/0014/A317,VB,46.057949,8.836863,12.0,69419.474,-6512.223
