identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A119,VC,45.565707,7.41782,3.0,53034.61,-25441.12
PF02/0001/A119,VC,45.565202,7.440998,8.0,52943.17,-23633.47
PF03/0001/A119,VC,45.558859,7.414034,8.0,52279.64,-25751.56
PF04/0001/A119,VC,45.550992,7.423858,8.0,51390.53,-25002.0
PF01/0002/A119,VC,45.560486,7.464128,8.0,52384.38,-21838.48
PF02/0002/A119,VC,45.026293,7.600218,20.0,-7156.115,-12248.33
PF01/0003/A119,VC,45.529601,7.407798,50.0,49038.724,-26302.745
PF02/0003/A119,VC,45.524033,7.415633,50.0,48408.12,-25703.21
PF03/0003/A119,VC,45.520607,7.407119,50.0,48040.634,-26375.649
PF04/0003/A119,VC,45.517834,7.407485,10.0,47731.998,-26353.166
PF01/0004/A119,VC,45.540452,7.442831,8.0,50190.68,-23543.78
PF01/0005/A119,VC,45.53528,7.420539,8.0,49650.08,-25295.46
PF02/0005/A119,VC,45.52244,7.429999,10.0,48209.05,-24584.75
PF03/0005/A119,VC,44.890256,8.37565,50.0,-23031.933,48724.333
PF04/0005/A119,VC,44.892231,8.374344,50.0,-22811.796,48622.916
PF01/0006/A119,VC,45.546065,7.483548,8.0,50753.37,-20353.1
PF02/0006/A119,VC,45.530623,7.468338,8.0,49060.32,-21573.27
PF03/0006/A119,VC,45.535995,7.467184,8.0,49658.9,-21651.92
PF01/0007/A119,VC,45.522808,7.470329,52.0,48189.085,-21434.295
PF02/0007/A119,VC,45.524935,7.468342,52.0,48428.324,-21584.988
PF03/0007/A119,VC,45.52605,7.464508,52.0,48557.931,-21882.053
PF04/0007/A119,VC,45.527559,7.469235,12.0,48718.621,-21509.702
PF01/0008/A119,VC,45.513523,7.45262,8.0,47184.05,-22837.19
PF02/0008/A119,VC,45.517187,7.475943,8.0,47556.26,-21007.71
PF03/0008/A119,VC,45.523087,7.467032,52.0,48225.03,-21691.222
PF04/0008/A119,VC,45.514769,7.44252,50.0,47337.754,-23623.404
PF05/0008/A119,VC,44.892554,8.376542,50.0,-22777.271,48796.751
PF01/0009/A119,VC,45.527507,7.480683,8.0,48695.77,-20615.81
PF01/0010/A119,VC,45.49233,7.416278,8.0,44884.93,-25722.26
PF03/0010/A119,VC,45.505297,7.434306,8.0,46297.92,-24285.52
PF04/0010/A119,VC,45.51665,7.414002,50.0,47590.322,-25846.792
PF05/0010/A119,VC,45.51679,7.409989,50.0,47612.052,-26159.851
PF06/0010/A119,VC,45.513512,7.413613,50.0,47242.316,-25884.036
PF07/0010/A119,VC,45.511073,7.427015,52.0,46950.719,-24842.555
PF08/0010/A119,VC,45.510551,7.430225,52.0,46887.789,-24592.883
PF09/0010/A119,VC,45.509595,7.428392,52.0,46784.444,-24738.194
PF10/0010/A119,VC,45.503583,7.426913,12.0,46118.81,-24866.819
PF11/0010/A119,VC,45.50419,7.423402,10.0,46191.606,-25139.768
PF12/0010/A119,VC,45.518624,7.430577,10.0,47784.2,-24547.9
PF13/0010/A119,VC,45.520009,7.432652,10.0,47934.87,-24382.8
PF14/0010/A119,VC,45.51543,7.409652,10.0,47461.488,-26189.197
PF15/0010/A119,VC,45.514981,7.41597,10.0,47401.872,-25696.72
PF16/0010/A119,VC,45.511186,7.418162,10.0,46976.885,-25533.833
PF17/0010/A119,VC,45.513041,7.420919,10.0,47178.743,-25314.429
PF18/0010/A119,VC,45.510404,7.424397,10.0,46880.455,-25048.445
PF19/0010/A119,VC,45.507637,7.41263,12.0,46591.125,-25973.721
PF01/0011/A119,VC,45.506291,7.457016,8.0,46373.94,-22509.31
PF04/0011/A119,VC,45.503108,7.448257,52.0,46033.56,-23200.38
PF05/0011/A119,VC,45.505106,7.447135,52.0,46257.242,-23283.699
PF06/0011/A119,VC,45.504497,7.443825,52.0,46194.559,-23543.606
PF07/0011/A119,VC,45.513721,7.442934,50.0,47220.701,-23593.363
PF08/0011/A119,VC,45.513575,7.444605,50.0,47201.976,-23463.147
PF09/0011/A119,VC,45.506434,7.440541,50.0,46414.696,-23796.019
PF02/0012/A119,VC,45.50279,7.451432,52.0,45993.398,-22952.989
PF03/0012/A119,VC,45.504306,7.450683,12.0,46163.0,-23008.29
PF09/0012/A119,VC,44.997401,7.600063,20.0,-10365.545,-12316.082
PF01/0013/A119,VC,45.501648,7.458126,50.0,45856.538,-22432.493
PF02/0013/A119,VC,45.500302,7.456378,50.0,45709.544,-22571.905
PF01/0014/A119,VC,45.494671,7.450012,8.0,45093.55,-23081.36
PF13/0014/A119,VC,44.987396,7.610209,20.0,-11490.751,-11535.38
PF01/0016/A119,VC,45.505691,7.466446,8.0,46293.17,-21773.86
PF05/0016/A119,VC,45.018288,7.65542,20.0,-8119.04,-7914.218
PF06/0016/A119,VC,45.020417,7.646864,20.0,-7871.31,-8584.43
PF01/0017/A119,VC,45.501386,7.463658,52.0,45819.124,-22000.839
PF13/0017/A119,VC,44.981828,7.602061,20.0,-12098.212,-12188.423
PF01/0018/A119,VC,45.496972,7.463136,8.0,45329.51,-22050.98
PF03/0018/A119,VC,44.98525,7.604304,20.0,-11721.143,-12005.011
PF01/0019/A119,VC,45.494186,7.470436,52.0,45009.055,-21486.58
PF02/0019/A119,VC,45.498422,7.467649,12.0,45483.882,-21695.348
PF03/0019/A119,VC,44.992905,7.604841,20.0,-10871.493,-11948.07
PF01/0020/A119,VC,45.507799,7.479532,10.0,46508.007,-20747.168
PF02/0020/A119,VC,45.51214,7.477355,10.0,46993.42,-20908.077
PF03/0020/A119,VC,45.514287,7.477092,10.0,47232.368,-20924.118
PF05/0020/A119,VC,44.989951,7.603154,20.0,-11197.304,-12086.687
PF15/0020/A119,VC,45.001901,7.682658,20.0,-9974.836,-5797.756
PF17/0020/A119,VC,45.006221,7.679743,20.0,-9491.174,-6019.649
PF01/0021/A119,VC,45.500692,7.47303,52.0,45727.984,-21270.138
PF02/0021/A119,VC,45.498748,7.472844,52.0,45512.35,-21288.779
PF03/0021/A119,VC,45.499727,7.473175,12.0,45620.595,-21260.81
PF04/0021/A119,VC,45.499159,7.47116,12.0,45560.546,-21419.467
PF17/0021/A119,VC,44.979494,7.596999,20.0,-12350.583,-12592.013
PF18/0021/A119,VC,44.98635,7.602443,20.0,-11596.39,-12149.6
PF01/0022/A119,VC,45.499064,7.477441,52.0,45540.567,-20928.92
PF04/0022/A119,VC,44.985088,7.581006,20.0,-11707.232,-13842.081
PF10/0022/A119,VC,45.002627,7.667323,20.0,-9874.338,-7005.004
PF01/0023/A119,VC,45.497618,7.477933,54.0,45379.258,-20893.543
PF02/0023/A119,VC,45.496342,7.476461,54.0,45239.678,-21011.237
PF03/0023/A119,VC,45.495684,7.477672,54.0,45164.707,-20917.992
PF04/0023/A119,VC,45.494876,7.479073,54.0,45072.877,-20810.244
PF05/0023/A119,VC,45.494324,7.476554,54.0,45015.322,-21008.214
PF06/0023/A119,VC,45.493574,7.477875,54.0,44930.096,-20906.556
PF01/0024/A119,VC,45.494456,7.473196,52.0,45034.994,-21270.312
PF02/0024/A119,VC,45.492379,7.474855,10.0,44801.742,-21145.104
PF08/0024/A119,VC,44.96725,7.588308,20.0,-13698.884,-13300.976
PF09/0024/A119,VC,44.969827,7.586459,20.0,-13410.07,-13441.785
PF11/0024/A119,VC,45.003197,7.650887,20.0,-9789.607,-8299.356
PF01/0025/A119,VC,45.511854,7.478761,10.0,46959.657,-20798.905
PF12/0025/A119,VC,44.963605,7.586804,20.0,-14101.712,-13426.64
PF02/0026/A119,VC,45.500932,7.478638,52.0,45746.4,-20831.458
PF03/0026/A119,VC,45.505118,7.48137,52.0,46207.344,-20609.223
PF04/0026/A119,VC,45.506717,7.479364,52.0,46387.965,-20762.594
PF05/0026/A119,VC,45.50512,7.477665,52.0,46213.128,-20898.684
PF08/0026/A119,VC,44.964907,7.592542,20.0,-13964.972,-12971.554
PF09/0026/A119,VC,45.506376,7.477078,50.0,46353.53,-20941.854
PF01/0028/A119,VC,45.514133,7.489303,8.0,47197.21,-19970.66
PF04/0028/A119,VC,44.974847,7.618221,20.0,-12895.624,-10927.562
PF01/0029/A119,VC,45.504354,7.495168,8.0,46102.19,-19532.92
PF01/0030/A119,VC,45.523839,7.504379,8.0,48253.54,-18773.01
PF02/0030/A119,VC,45.516944,7.500263,8.0,47493.48,-19108.78
PF03/0030/A119,VC,44.963312,7.632122,20.0,-14195.612,-9853.047
PF04/0030/A119,VC,44.997446,7.627487,20.0,-10397.443,-10154.415
PF01/0031/A119,VC,45.485418,7.440141,8.0,44080.48,-23872.58
PF02/0031/A119,VC,45.473399,7.411321,8.0,42789.38,-26151.23
PF07/0031/A119,VC,44.96088,7.604339,20.0,-14428.373,-12048.899
PF12/0032/A119,VC,44.961488,7.626997,20.0,-14391.334,-10260.74
PF03/0033/A119,VC,44.964818,7.641233,20.0,-14040.341,-9131.683
PF06/0033/A119,VC,44.991713,7.661441,20.0,-11079.171,-7488.667
PF01/0035/A119,VC,45.48258,7.45768,8.0,43738.72,-22508.03
PF02/0035/A119,VC,45.48104,7.460747,10.0,43563.011,-22271.615
PF01/0036/A119,VC,45.484758,7.463462,52.0,43971.994,-22051.465
PF02/0036/A119,VC,45.485299,7.466802,10.0,44027.2,-21789.3
PF08/0036/A119,VC,44.977937,7.656543,20.0,-12603.133,-7900.102
PF01/0037/A119,VC,45.48269,7.462478,52.0,43743.811,-22132.823
PF01/0038/A119,VC,45.489302,7.467411,8.0,44470.96,-21733.28
PF07/0038/A119,VC,44.981131,7.658088,20.0,-12250.322,-7772.453
PF01/0040/A119,VC,45.487864,7.476191,54.0,44298.149,-21050.171
PF02/0040/A119,VC,45.491188,7.4744,12.0,44670.096,-21183.177
PF06/0040/A119,VC,44.975578,7.653839,20.0,-12861.691,-8117.709
PF01/0041/A119,VC,45.493403,7.4791,7.0,44909.28,-20811.2
PF02/0041/A119,VC,45.49226,7.477813,52.0,44784.137,-20914.2
PF03/0041/A119,VC,45.491655,7.479874,52.0,44713.921,-20754.456
PF04/0041/A119,VC,45.491767,7.476357,54.0,44731.53,-21029.025
PF05/0041/A119,VC,45.490877,7.477841,52.0,44630.446,-20914.929
PF06/0041/A119,VC,45.490572,7.479593,54.0,44594.002,-20778.629
PF01/0042/A119,VC,45.490298,7.480747,54.0,44561.807,-20689.079
PF02/0042/A119,VC,45.489843,7.477992,52.0,44515.383,-20905.288
PF03/0042/A119,VC,45.489761,7.479473,54.0,44504.106,-20789.731
PF04/0042/A119,VC,45.489062,7.480336,52.0,44425.141,-20723.74
PF05/0042/A119,VC,45.489184,7.482188,52.0,44435.886,-20578.758
PF07/0042/A119,VC,45.487661,7.481515,52.0,44267.777,-20634.579
PF08/0042/A119,VC,45.486822,7.478643,52.0,44178.806,-20860.806
PF09/0042/A119,VC,45.487623,7.479256,52.0,44266.844,-20811.171
PF10/0042/A119,VC,45.486194,7.475966,12.0,44113.0,-21071.33
PF01/0043/A119,VC,45.50062,7.481209,54.0,45707.858,-20631.299
PF02/0043/A119,VC,45.499576,7.479826,54.0,45593.917,-20741.478
PF03/0043/A119,VC,45.501022,7.483846,52.0,45748.714,-20424.436
PF02/0044/A119,VC,45.496402,7.481236,54.0,45239.308,-20637.999
PF01/0045/A119,VC,45.488028,7.484351,52.0,44304.32,-20412.157
PF01/0047/A119,VC,45.496056,7.494267,8.0,45181.63,-19620.61
PF01/0049/A119,VC,45.500665,7.508351,8.0,45673.19,-18510.67
PF02/0049/A119,VC,45.512213,7.511504,8.0,46951.57,-18240.55
PF01/0050/A119,VC,45.47455,7.425637,8.0,42895.25,-25029.7
PF01/0051/A119,VC,45.477,7.448845,12.0,43132.1,-23210.47
PF02/0051/A119,VC,45.478473,7.453739,12.0,43288.4,-22824.75
PF01/0052/A119,VC,45.463358,7.456308,8.0,41605.25,-22656.26
PF02/0052/A119,VC,45.468271,7.463952,8.0,42139.62,-22048.22
PF01/0001/A119A,VC,45.483391,7.482818,8.0,43791.39,-20541.73
PF02/0001/A119A,VC,45.484339,7.486698,52.0,43891.024,-20236.547
PF03/0001/A119A,VC,45.484501,7.481579,52.0,43916.533,-20636.18
PF04/0001/A119A,VC,45.487142,7.481102,52.0,44210.687,-20667.933
PF05/0001/A119A,VC,45.485215,7.480013,52.0,43998.195,-20757.116
PF06/0001/A119A,VC,45.483856,7.487661,52.0,43835.934,-20162.3
PF01/0002/A119A,VC,45.481242,7.485649,52.0,43548.467,-20324.959
PF03/0002/A119A,VC,45.481211,7.490411,52.0,43537.992,-19952.913
PF01/0003/A119A,VC,45.485407,7.494564,8.0,43998.17,-19619.54
PF01/0005/A119A,VC,45.492017,7.521263,8.0,44693.67,-17519.56
PF01/0006/A119A,VC,45.47548,7.475668,8.0,42923.1,-21117.16
PF01/0007/A119A,VC,45.478407,7.49288,52.0,43222.89,-19765.734
PF02/0007/A119A,VC,45.477542,7.494361,52.0,43124.601,-19651.782
PF05/0007/A119A,VC,45.478733,7.488167,52.0,43266.058,-20133.427
PF06/0007/A119A,VC,45.479185,7.49485,50.0,43306.447,-19610.199
PF07/0007/A119A,VC,45.480181,7.492778,50.0,43420.162,-19770.042
PF08/0007/A119A,VC,45.476102,7.490778,52.0,42969.855,-19934.857
PF01/0008/A119A,VC,45.47736,7.494578,10.0,43104.1,-19635.2
PF02/0008/A119A,VC,45.476258,7.49694,52.0,42978.255,-19452.92
PF03/0008/A119A,VC,45.476112,7.498849,54.0,42959.15,-19304.018
PF04/0008/A119A,VC,45.474345,7.499005,52.0,42762.674,-19295.448
PF01/0009/A119A,VC,45.475943,7.493802,52.0,42947.802,-19698.854
PF02/0009/A119A,VC,45.468894,7.554663,52.0,42077.234,-14955.965
PF03/0009/A119A,VC,45.474024,7.494994,52.0,42732.806,-19609.685
PF04/0009/A119A,VC,45.472775,7.497587,52.0,42590.274,-19409.589
PF06/0009/A119A,VC,45.47243,7.500254,72.0,42548.131,-19201.857
PF01/0010/A119A,VC,45.474392,7.557034,52.0,42684.767,-14759.675
PF01/0011/A119A,VC,45.472365,7.495959,8.0,42547.08,-19537.67
PF02/0011/A119A,VC,45.47281,7.553613,52.0,42513.84,-15030.226
PF01/0012/A119A,VC,45.470637,7.500517,72.0,42348.48,-19185.003
PF03/0012/A119A,VC,45.469802,7.503013,72.0,42252.053,-18991.586
PF04/0012/A119A,VC,45.469813,7.496605,54.0,42262.693,-19492.449
PF05/0012/A119A,VC,45.469134,7.499784,72.0,42182.582,-19245.365
PF06/0012/A119A,VC,45.467969,7.504982,50.0,42045.598,-18841.462
PF07/0012/A119A,VC,45.470553,7.497611,72.0,42343.397,-19412.284
PF03/0013/A119A,VC,45.472771,7.504749,72.0,42579.449,-18849.754
PF04/0013/A119A,VC,45.476275,7.504175,8.0,42969.54,-18887.41
PF05/0013/A119A,VC,45.47494,7.502443,52.0,42823.737,-19025.532
PF01/0015/A119A,VC,45.467563,7.506066,50.0,41998.889,-18757.557
PF02/0015/A119A,VC,45.465222,7.512956,50.0,41728.811,-18223.743
PF01/0017/A119A,VC,45.470981,7.519948,8.0,42358.52,-17665.39
PF02/0017/A119A,VC,45.466025,7.5162,52.0,41813.329,-17968.553
PF01/0018/A119A,VC,45.472028,7.537253,8.0,42450.07,-16310.55
PF01/0019/A119A,VC,45.462688,7.522672,52.0,41433.33,-17469.394
PF01/0020/A119A,VC,45.452211,7.421404,8.0,40419.86,-25409.34
PF02/0020/A119A,VC,45.461184,7.421786,1.0,41416.19,-25359.92
PF03/0020/A119A,VC,45.458355,7.405302,8.0,41127.3,-26654.86
PF01/0021/A119A,VC,45.459486,7.45016,8.0,41184.34,-23145.21
PF02/0021/A119A,VC,45.454877,7.454328,8.0,40666.07,-22829.21
PF01/0022/A119A,VC,45.443982,7.451399,52.0,39460.001,-23081.5
PF01/0025/A119A,VC,45.453892,7.47351,8.0,40527.97,-21331.45
PF03/0025/A119A,VC,45.450736,7.466952,12.0,40187.02,-21850.87
PF04/0025/A119A,VC,45.453781,7.470866,72.0,40519.473,-21538.369
PF01/0026/A119A,VC,45.455523,7.470173,54.0,40714.048,-21588.912
PF01/0027/A119A,VC,45.460011,7.471515,12.0,41210.654,-21474.468
PF02/0027/A119A,VC,45.459544,7.472558,12.0,41157.228,-21393.951
PF01/0028/A119A,VC,45.455333,7.475916,52.0,40684.429,-21140.225
PF02/0028/A119A,VC,45.456,7.473096,72.0,40762.731,-21359.333
PF03/0028/A119A,VC,45.457831,7.474203,52.0,40964.469,-21268.922
PF01/0029/A119A,VC,45.456029,7.477105,52.0,40760.048,-21045.809
PF02/0029/A119A,VC,45.456904,7.480257,52.0,40852.515,-20797.55
PF03/0029/A119A,VC,45.459355,7.480429,52.0,41124.618,-20778.908
PF04/0029/A119A,VC,45.460912,7.482469,50.0,41294.555,-20616.173
PF05/0029/A119A,VC,45.462045,7.477809,50.0,41427.343,-20978.079
PF01/0030/A119A,VC,45.465058,7.480616,8.0,41757.89,-20752.35
PF01/0031/A119A,VC,45.463258,7.486826,50.0,41548.799,-20270.613
PF02/0031/A119A,VC,45.466188,7.487452,12.0,41873.42,-20215.551
PF01/0032/A119A,VC,45.467788,7.502112,72.0,42029.633,-19066.197
PF01/0033/A119A,VC,45.461368,7.500183,8.0,41319.17,-19230.34
PF01/0034/A119A,VC,45.464833,7.509887,50.0,41690.035,-18464.53
PF01/0035/A119A,VC,45.463228,7.517446,52.0,41500.759,-17876.871
PF02/0035/A119A,VC,45.464028,7.520998,52.0,41584.543,-17597.568
PF03/0035/A119A,VC,45.462476,7.520331,52.0,41413.145,-17652.852
PF01/0036/A119A,VC,45.460893,7.527233,52.0,41227.278,-17116.509
PF02/0036/A119A,VC,45.460341,7.529374,52.0,41162.93,-16950.242
PF03/0036/A119A,VC,45.45948,7.53499,10.0,41059.3,-16512.85
PF05/0036/A119A,VC,45.461499,7.53051,12.0,41289.958,-16859.057
PF06/0036/A119A,VC,45.459195,7.533227,50.0,41030.064,-16651.288
PF01/0037/A119A,VC,45.44561,7.428989,8.0,39674.96,-24830.55
PF02/0037/A119A,VC,45.442042,7.439445,52.0,39262.609,-24020.546
PF03/0037/A119A,VC,45.445893,7.429599,52.0,39705.424,-24782.268
PF04/0037/A119A,VC,45.44564,7.432888,12.0,39672.285,-24525.632
PF01/0038/A119A,VC,45.438774,7.445579,8.0,38890.18,-23547.84
PF02/0038/A119A,VC,45.43924,7.445428,52.0,38942.241,-23558.711
PF03/0038/A119A,VC,45.443235,7.432254,12.0,39406.096,-24580.383
