identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A302,VE,45.273087,12.322112,2.0,-17206.31,1952.09
PF03/0001/A302,VE,45.271577,12.337552,52.0,-17414.165,3157.665
PF04/0001/A302,VE,45.27134,12.321744,54.0,-17399.437,1916.742
PF05/0001/A302,VE,45.270501,12.319682,52.0,-17487.183,1751.911
PF06/0001/A302,VE,45.273302,12.320378,52.0,-17177.85,1816.873
PF08/0001/A302,VE,45.272507,12.325257,52.0,-17278.862,2196.686
PF09/0001/A302,VE,45.272887,12.330662,52.0,-17250.778,2622.058
PF10/0001/A302,VE,45.269717,12.325558,52.0,-17589.645,2209.984
PF11/0001/A302,VE,45.274968,12.324463,52.0,-17003.459,2143.428
PF12/0001/A302,VE,45.277946,12.329631,52.0,-16686.036,2559.769
PF13/0001/A302,VE,45.275372,12.3296,52.0,-16971.944,2547.893
PF14/0001/A302,VE,45.273825,12.320192,52.0,-17119.283,1804.216
PF15/0001/A302,VE,45.271259,12.336267,14.0,-17446.19,3055.75
PF16/0001/A302,VE,45.270666,12.327457,14.0,-17489.13,2362.41
PF17/0001/A302,VE,45.269049,12.320808,14.0,-17651.48,1834.86
PF18/0001/A302,VE,45.272334,12.324831,14.0,-17297.05,2162.59
PF19/0001/A302,VE,45.274306,12.328694,14.0,-17087.97,2472.85
PF20/0001/A302,VE,45.270422,12.333071,52.0,-17530.84,2801.932
PF01/0002/A302,VE,45.257342,12.305529,54.0,-18912.065,592.812
PF02/0002/A302,VE,45.260788,12.311036,54.0,-18543.721,1037.677
PF05/0002/A302,VE,45.258975,12.297637,52.0,-18709.922,-20.304
PF06/0002/A302,VE,45.265186,12.299192,52.0,-18024.04,124.839
PF07/0002/A302,VE,45.261035,12.304164,52.0,-18498.193,499.422
PF09/0002/A302,VE,45.263382,12.294919,52.0,-18213.212,-217.158
PF10/0002/A302,VE,45.265001,12.302983,52.0,-18054.565,421.575
PF12/0002/A302,VE,45.264056,12.310391,52.0,-18178.944,999.201
PF13/0002/A302,VE,45.263994,12.310451,52.0,-18185.964,1003.667
PF14/0002/A302,VE,45.260919,12.312127,14.0,-18531.93,1123.75
PF15/0002/A302,VE,45.261978,12.3073,14.0,-18401.65,749.01
PF16/0002/A302,VE,45.2573,12.301277,14.0,-18905.62,259.04
PF17/0002/A302,VE,45.261342,12.294507,14.0,-18438.68,-257.04
PF18/0002/A302,VE,45.263124,12.300102,14.0,-18255.54,188.57
PF19/0002/A302,VE,45.261336,12.293547,52.0,-18436.864,-332.417
PF01/0003/A302,VE,45.268162,12.31734,52.0,-17740.998,1559.603
PF05/0003/A302,VE,45.265173,12.314626,52.0,-18065.966,1335.57
PF06/0003/A302,VE,45.264794,12.329024,52.0,-18145.57,2463.759
PF08/0003/A302,VE,45.267194,12.319708,52.0,-17854.678,1741.745
PF11/0003/A302,VE,45.265787,12.317431,52.0,-18005.049,1557.917
PF12/0003/A302,VE,45.265834,12.322094,52.0,-18011.994,1923.875
PF16/0003/A302,VE,45.263633,12.320771,12.0,-18253.0,1812.0
PF18/0003/A302,VE,45.263037,12.316118,52.0,-18307.141,1444.748
