identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A093,VI,45.476965,10.987122,52.0,4849.893,3864.072
PF03/0001/A093,VI,45.480527,10.978902,70.0,5245.327,3221.257
PF04/0001/A093,VI,45.473727,10.98695,50.0,4490.083,3850.857
PF06/0001/A093,VI,45.474426,10.97566,52.0,4567.261,2968.135
PF07/0001/A093,VI,45.484331,10.976118,70.0,5668.05,3003.432
PF08/0001/A093,VI,45.482503,10.98232,21.0,5465.159,3488.356
PF01/0002/A093,VI,45.477218,10.991216,50.0,4878.225,4184.145
PF03/0002/A093,VI,45.479277,10.98908,50.0,5106.901,4017.036
PF04/0002/A093,VI,45.47893,10.985553,50.0,5068.159,3741.331
PF11/0002/A093,VI,45.481417,10.987673,20.0,5344.706,3906.836
PF12/0002/A093,VI,45.479402,10.992161,12.0,5120.996,4257.89
PF01/0003/A093,VI,45.469086,10.982685,50.0,3974.086,3517.71
PF03/0003/A093,VI,45.474168,10.981556,70.0,4538.772,3429.111
PF04/0003/A093,VI,45.467983,10.986093,21.0,3851.686,3784.214
PF02/0004/A093,VI,45.471615,10.993876,50.0,4255.684,4392.554
PF04/0004/A093,VI,45.475908,10.998386,50.0,4733.078,4744.8
PF05/0004/A093,VI,45.475743,10.994414,50.0,4714.425,4434.275
PF07/0004/A093,VI,45.471508,11.003952,50.0,4244.452,5180.363
PF08/0004/A093,VI,45.468633,11.004311,50.0,3924.925,5208.709
PF09/0004/A093,VI,45.476934,11.001186,50.0,4847.178,4963.613
PF10/0004/A093,VI,45.469928,11.000538,12.0,4068.6,4913.6
PF11/0004/A093,VI,45.470696,11.010439,21.0,4154.638,5687.696
PF03/0005/A093,VI,45.460472,10.977426,70.0,3016.633,3106.988
PF05/0005/A093,VI,45.466157,10.972591,12.0,3648.25,2728.54
PF06/0005/A093,VI,45.46878,10.978174,20.0,3939.924,3165.028
PF01/0006/A093,VI,45.462655,10.9824,50.0,3259.414,3495.848
PF02/0006/A093,VI,45.462558,10.990332,50.0,3249.035,4116.12
PF04/0006/A093,VI,45.496518,10.958838,50.0,7021.784,1652.252
PF06/0006/A093,VI,45.457573,10.982323,70.0,2694.667,3490.114
PF08/0006/A093,VI,45.464043,10.987504,20.0,3413.862,3894.878
PF02/0007/A093,VI,45.467565,11.001111,50.0,3806.069,4958.615
PF07/0007/A093,VI,45.461371,10.996715,50.0,3117.439,4615.387
PF08/0007/A093,VI,45.466792,10.991932,50.0,3719.589,4240.885
PF09/0007/A093,VI,45.458403,10.994395,12.0,2787.546,4434.193
PF10/0007/A093,VI,45.466636,10.988509,20.0,3702.097,3973.259
PF05/0008/A093,VI,45.460306,11.005263,50.0,2999.666,5283.903
PF08/0008/A093,VI,45.467691,11.011157,21.0,3820.713,5744.137
PF03/0009/A093,VI,45.472885,10.958444,60.0,4395.501,1622.12
PF05/0009/A093,VI,45.493622,10.96559,21.0,6700.217,2180.048
PF01/0010/A093,VI,45.482409,10.966331,70.0,5454.114,2238.403
PF03/0010/A093,VI,45.476221,10.973857,50.0,4766.651,2827.077
PF04/0010/A093,VI,45.478758,10.969713,21.0,5048.464,2502.961
PF01/0011/A093,VI,45.472696,10.966948,8.0,4374.7,2287.087
PF02/0011/A093,VI,45.47018,10.963092,70.0,4094.999,1985.667
PF03/0011/A093,VI,45.473601,10.959936,70.0,4475.078,1738.763
PF04/0011/A093,VI,45.47524,10.966998,70.0,4657.453,2290.846
PF06/0011/A093,VI,45.476185,10.963295,20.0,4762.315,2001.31
PF10/0012/A093,VI,45.473809,10.970653,70.0,4498.551,2576.661
PF13/0012/A093,VI,45.47246,10.969997,20.0,4348.624,2525.432
PF14/0012/A093,VI,45.473281,10.974059,10.0,4440.009,2843.044
PF06/0013/A093,VI,45.468137,10.965727,21.0,3868.037,2191.801
PF07/0013/A093,VI,45.465504,10.960033,21.0,3575.261,1746.649
PF02/0014/A093,VI,45.460811,10.958299,50.0,3053.747,1611.175
PF03/0014/A093,VI,45.455491,10.959406,21.0,2462.515,1697.879
PF01/0015/A093,VI,45.456531,10.967436,70.0,2578.349,2325.845
PF03/0015/A093,VI,45.455271,10.975431,50.0,2438.598,2951.221
PF04/0015/A093,VI,45.453451,10.973612,50.0,2236.279,2809.018
PF06/0015/A093,VI,45.460652,10.963117,21.0,3036.195,1987.917
PF01/0016/A093,VI,45.449214,10.982288,70.0,1765.795,3487.867
PF03/0016/A093,VI,45.452123,10.975392,21.0,2088.784,2948.35
PF03/0017/A093,VI,45.450814,10.973271,50.0,1943.18,2782.474
PF05/0017/A093,VI,45.449064,10.971733,12.0,1748.7,2662.3
PF06/0017/A093,VI,45.450274,10.958414,21.0,1882.789,1620.478
PF02/0018/A093,VI,45.444223,10.972859,50.0,1210.698,2750.57
PF04/0018/A093,VI,45.446424,10.975456,70.0,1455.445,2953.65
PF06/0018/A093,VI,45.442188,10.971606,12.0,984.55,2652.65
PF07/0018/A093,VI,45.445092,10.979863,20.0,1307.536,3298.455
PF02/0001/A154,VI,45.451481,10.947045,50.0,2016.777,731.177
PF03/0001/A154,VI,45.44982,10.953397,50.0,1832.225,1228.082
PF04/0001/A154,VI,45.448276,10.955893,50.0,1660.672,1423.309
PF06/0001/A154,VI,45.45404,10.943658,50.0,2301.128,466.276
PF07/0001/A154,VI,45.448498,10.944975,20.0,1685.298,569.34
PF02/0002/A154,VI,45.451559,10.952031,50.0,2025.487,1121.206
PF05/0002/A154,VI,45.447679,10.960341,50.0,1594.461,1771.271
PF09/0002/A154,VI,45.450144,10.958337,70.0,1868.323,1614.414
PF10/0002/A154,VI,45.452375,10.955607,21.0,2116.256,1400.865
PF11/0002/A154,VI,45.454225,10.959123,20.0,2321.882,1675.797
PF05/0003/A154,VI,45.44401,10.938921,60.0,1186.467,95.755
PF06/0003/A154,VI,45.438991,10.937485,60.0,628.731,-16.562
PF07/0003/A154,VI,45.436332,10.936247,20.0,333.223,-113.421
PF03/0004/A154,VI,45.439521,10.950334,70.0,687.719,988.671
PF06/0004/A154,VI,45.4453,10.943986,50.0,1329.905,491.974
PF08/0004/A154,VI,45.445391,10.956668,50.0,1340.149,1484.017
PF09/0004/A154,VI,45.438348,10.944237,21.0,557.297,511.698
PF10/0004/A154,VI,45.441013,10.946448,20.0,853.449,684.619
PF02/0005/A154,VI,45.438602,10.927221,50.0,585.512,-819.523
PF05/0005/A154,VI,45.415759,10.955375,70.0,-1952.794,1383.604
PF07/0005/A154,VI,45.445364,10.929374,12.0,1337.01,-651.07
PF09/0005/A154,VI,45.440364,10.929745,21.0,781.361,-622.097
PF03/0006/A154,VI,45.433706,10.922479,50.0,41.577,-1190.652
PF05/0006/A154,VI,45.438015,10.923537,50.0,520.409,-1107.744
PF07/0006/A154,VI,45.411448,10.932098,50.0,-2432.044,-438.2
PF08/0006/A154,VI,45.435925,10.927368,20.0,288.058,-808.085
PF01/0007/A154,VI,45.433333,10.937697,5.0,0.0,0.0
PF03/0007/A154,VI,45.428849,10.937288,50.0,-498.296,-31.97
PF05/0007/A154,VI,45.434985,10.940877,50.0,183.496,248.843
PF09/0007/A154,VI,45.437292,10.932728,50.0,439.947,-388.698
PF10/0007/A154,VI,45.425558,10.935345,50.0,-864.0,-184.0
PF11/0007/A154,VI,45.432886,10.929411,50.0,-49.646,-648.275
PF12/0007/A154,VI,45.427601,10.932278,12.0,-637.0,-424.0
PF13/0007/A154,VI,45.439712,10.933097,20.0,708.901,-359.867
PF14/0007/A154,VI,45.433346,10.943209,21.0,1.402,431.27
PF01/0008/A154,VI,45.428599,10.943714,70.0,-526.115,470.814
PF02/0008/A154,VI,45.437402,10.953931,70.0,452.313,1270.124
PF04/0008/A154,VI,45.436923,10.948704,50.0,398.936,861.16
PF05/0008/A154,VI,45.431164,10.95134,12.0,-241.0,1067.5
PF07/0008/A154,VI,45.427781,10.9487,20.0,-616.958,860.986
PF01/0009/A154,VI,45.434034,10.963058,70.0,78.155,1984.273
PF03/0009/A154,VI,45.439882,10.955718,70.0,727.947,1409.814
PF04/0009/A154,VI,45.436849,10.95803,20.0,390.883,1590.783
PF06/0010/A154,VI,45.42797,10.928656,50.0,-595.951,-707.404
PF07/0010/A154,VI,45.430071,10.926615,50.0,-362.52,-867.114
PF08/0010/A154,VI,45.432339,10.925143,50.0,-110.449,-982.239
PF09/0010/A154,VI,45.43024,10.929778,21.0,-343.736,-619.623
PF10/0010/A154,VI,45.436107,10.912713,21.0,308.493,-1954.666
PF01/0011/A154,VI,45.425561,10.920691,50.0,-863.556,-1330.711
PF05/0011/A154,VI,45.429635,10.918764,50.0,-410.758,-1481.389
PF06/0011/A154,VI,45.42917,10.912554,50.0,-462.382,-1967.352
PF08/0011/A154,VI,45.424283,10.913374,21.0,-1005.461,-1903.326
PF09/0011/A154,VI,45.426806,10.912579,20.0,-725.01,-1965.423
PF01/0012/A154,VI,45.425458,10.924133,50.0,-875.096,-1061.37
PF03/0012/A154,VI,45.424424,10.929668,50.0,-990.026,-628.234
PF06/0012/A154,VI,45.436315,10.934004,60.0,331.3,-288.922
PF07/0012/A154,VI,45.443898,10.94678,60.0,1174.022,710.537
PF09/0012/A154,VI,45.421895,10.927456,50.0,-1271.017,-801.423
PF10/0012/A154,VI,45.422521,10.931606,50.0,-1201.503,-476.622
PF11/0012/A154,VI,45.426068,10.927317,20.0,-807.361,-812.227
PF03/0013/A154,VI,45.423687,10.937899,70.0,-1071.971,15.829
PF04/0013/A154,VI,45.421546,10.935643,70.0,-1309.92,-160.743
PF06/0013/A154,VI,45.426684,10.941847,50.0,-738.874,324.725
PF08/0013/A154,VI,45.420388,10.939186,70.0,-1438.561,116.586
PF09/0013/A154,VI,45.4159,10.939464,70.0,-1937.29,138.289
PF11/0013/A154,VI,45.41913,10.937334,70.0,-1578.42,-28.408
PF12/0013/A154,VI,45.425651,10.931864,21.0,-853.702,-456.443
PF01/0014/A154,VI,45.442301,10.941483,60.0,996.587,296.202
PF02/0014/A154,VI,45.4142,10.940651,20.0,-2126.222,231.209
PF02/0015/A154,VI,45.407255,10.942507,12.0,-2898.0,376.5
PF03/0015/A154,VI,45.409302,10.936873,12.0,-2670.5,-64.5
PF04/0015/A154,VI,45.412746,10.940466,21.0,-2287.842,216.736
PF02/0016/A154,VI,45.405735,10.949178,12.0,-3066.925,898.753
PF03/0016/A154,VI,45.408187,10.948048,21.0,-2794.355,810.238
PF02/0017/A154,VI,45.399632,10.961568,50.0,-3744.903,1868.849
PF04/0017/A154,VI,45.395875,10.965804,50.0,-4162.221,2200.557
PF08/0017/A154,VI,45.397993,10.963239,20.0,-3926.924,1999.699
PF01/0018/A154,VI,45.426695,10.972406,50.0,-737.169,2715.997
PF03/0018/A154,VI,45.424154,10.961058,50.0,-1019.786,1828.099
PF05/0018/A154,VI,45.424754,10.956787,21.0,-953.223,1493.897
PF01/0019/A154,VI,45.414777,10.952063,50.0,-2062.043,1124.411
PF04/0019/A154,VI,45.419079,10.947044,70.0,-1583.955,731.488
PF07/0019/A154,VI,45.421854,10.947827,70.0,-1275.658,792.801
PF09/0019/A154,VI,45.413257,10.948476,50.0,-2230.955,843.698
PF10/0019/A154,VI,45.416883,10.949356,12.0,-1828.0,912.5
PF11/0019/A154,VI,45.421058,10.953645,20.0,-1364.019,1248.117
PF03/0020/A154,VI,45.415294,10.957952,70.0,-2004.47,1585.27
PF05/0020/A154,VI,45.41178,10.962195,50.0,-2394.906,1917.482
PF06/0020/A154,VI,45.418668,10.953205,70.0,-1629.586,1213.688
PF07/0020/A154,VI,45.420217,10.962765,70.0,-1457.313,1961.853
PF08/0020/A154,VI,45.41804,10.960739,70.0,-1699.309,1803.317
PF09/0020/A154,VI,45.420541,10.957019,70.0,-1421.418,1512.112
PF10/0020/A154,VI,45.421957,10.959598,50.0,-1264.04,1713.902
PF11/0020/A154,VI,45.418004,10.964078,70.0,-1703.164,2064.682
PF12/0020/A154,VI,45.413802,10.962779,70.0,-2170.15,1963.124
PF13/0020/A154,VI,45.416405,10.95948,70.0,-1880.936,1704.844
PF14/0020/A154,VI,45.413163,10.956228,21.0,-2241.284,1450.407
PF15/0020/A154,VI,45.42145,10.965362,21.0,-1320.194,2164.978
PF01/0021/A154,VI,45.415075,10.9708,50.0,-2028.502,2590.833
PF02/0021/A154,VI,45.4134,10.968099,50.0,-2214.707,2379.536
PF03/0021/A154,VI,45.412822,10.971709,50.0,-2278.783,2662.142
PF04/0021/A154,VI,45.417834,10.966945,50.0,-1722.022,2289.026
PF07/0021/A154,VI,45.425033,10.966769,12.0,-922.0,2275.0
PF08/0021/A154,VI,45.419796,10.972034,50.0,-1503.852,2687.211
PF09/0021/A154,VI,45.415631,10.965924,50.0,-1966.851,2209.228
PF10/0021/A154,VI,45.420844,10.972596,20.0,-1387.373,2731.177
PF11/0021/A154,VI,45.423706,10.971245,21.0,-1069.31,2625.275
PF01/0022/A154,VI,45.409843,10.964253,50.0,-2610.065,2078.641
PF07/0022/A154,VI,45.411599,10.951701,12.0,-2415.2,1096.1
PF08/0022/A154,VI,45.412158,10.96756,12.0,-2352.7,2337.37
PF09/0022/A154,VI,45.408823,10.959562,21.0,-2723.591,1711.464
PF10/0022/A154,VI,45.411105,10.956374,20.0,-2470.033,1461.935
PF01/0001/A220,VI,45.418744,10.972815,50.0,-1620.659,2748.356
PF06/0001/A220,VI,45.425963,10.988725,50.0,-817.748,3993.033
PF08/0001/A220,VI,45.422725,10.979781,21.0,-1177.998,3293.304
PF02/0002/A220,VI,45.424753,10.994022,60.0,-952.009,4407.595
PF04/0002/A220,VI,45.421438,10.997769,50.0,-1320.187,4701.11
PF05/0002/A220,VI,45.420176,11.000698,50.0,-1460.188,4930.417
PF07/0002/A220,VI,45.420383,10.984194,50.0,-1438.038,3638.856
PF09/0002/A220,VI,45.42266,11.000842,50.0,-1184.138,4941.496
PF11/0002/A220,VI,45.418928,10.9957,21.0,-1599.201,4539.382
PF12/0002/A220,VI,45.41805,10.993135,21.0,-1696.927,4338.675
PF13/0002/A220,VI,45.422979,10.990157,20.0,-1149.277,4105.259
PF02/0003/A220,VI,45.414775,10.962521,50.0,-2062.013,1942.932
PF03/0003/A220,VI,45.410043,10.967025,70.0,-2587.771,2295.583
PF04/0003/A220,VI,45.416345,10.957067,50.0,-1887.639,1516.04
PF05/0003/A220,VI,45.418404,10.9575,50.0,-1658.881,1549.825
PF06/0003/A220,VI,45.417384,10.960748,50.0,-1772.139,1804.087
PF11/0003/A220,VI,45.414463,10.958755,21.0,-2096.805,1648.141
PF12/0003/A220,VI,45.41885,10.968075,21.0,-1609.096,2377.394
