identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF03/0002/L781A,VR,45.534318,11.075802,12.0,5044424.5,1662107.4
PF04/0002/L781A,VR,45.535833,11.07835,12.0,5044598.0,1662302.0
PF01/0003/L781A,VR,45.53377,11.086673,12.0,5044385.7,1662957.82
PF02/0003/L781A,VR,45.530557,11.07892,12.0,5044013.0,1662361.7
PF03/0003/L781A,VR,45.537097,11.082111,12.0,5044746.0,1662592.0
PF01/0004/L781A,VR,45.533542,11.097098,52.0,5044381.5,1663772.5
PF02/0004/L781A,VR,45.531791,11.092398,50.0,5044177.456,1663410.567
PF04/0004/L781A,VR,45.534086,11.104945,12.0,5044458.0,1664383.6
PF05/0004/L781A,VR,45.538135,11.101342,12.0,5044900.5,1664090.5
PF06/0004/L781A,VR,45.537844,11.097835,12.0,5044861.0,1663817.5
PF07/0004/L781A,VR,45.537153,11.09478,12.0,5044778.0,1663581.0
PF01/0005/L781A,VR,45.5298,11.088231,50.0,5043947.8,1663090.9
PF01/0006/L781A,VR,45.529729,11.100965,52.0,5043965.763,1664085.517
PF02/0006/L781A,VR,45.529963,11.104251,50.0,5043998.527,1664341.401
PF04/0006/L781A,VR,45.52894,11.095907,50.0,5043867.796,1663692.813
PF02/0007/L781A,VR,45.52528,11.074357,52.0,5043417.526,1662020.52
PF04/0007/L781A,VR,45.526428,11.083196,4.0,5043562.9,1662707.5
PF01/0008/L781A,VR,45.524932,11.084689,52.0,5043399.722,1662828.41
PF05/0008/L781A,VR,45.526183,11.087334,50.0,5043544.124,1663031.347
PF06/0008/L781A,VR,45.523437,11.092381,52.0,5043249.31,1663433.4
PF01/0010/L781A,VR,45.523437,11.105941,52.0,5043276.957,1664492.395
PF02/0010/L781A,VR,45.524111,11.114643,52.0,5043369.737,1665170.032
PF03/0010/L781A,VR,45.526788,11.105939,50.0,5043649.282,1664482.43
PF01/0011/L781A,VR,45.513016,11.06698,52.0,5042040.167,1661479.539
PF07/0011/L781A,VR,45.508429,11.0664,52.0,5041529.379,1661447.358
PF01/0012/L781A,VR,45.515927,11.067938,52.0,5042365.512,1661546.008
PF02/0012/L781A,VR,45.52078,11.070352,52.0,5042909.486,1661720.674
PF03/0012/L781A,VR,45.517877,11.068173,52.0,5042582.547,1661558.833
PF01/0013/L781A,VR,45.52002,11.085466,52.0,5042855.598,1662903.253
PF02/0013/L781A,VR,45.516128,11.083372,52.0,5042418.978,1662750.93
PF01/0014/L781A,VR,45.520275,11.088716,52.0,5042890.537,1663156.313
PF02/0014/L781A,VR,45.515837,11.091603,52.0,5042403.337,1663394.663
PF03/0014/L781A,VR,45.517091,11.088207,8.0,5042535.77,1663125.81
PF04/0014/L781A,VR,45.512821,11.090549,56.0,5042066.117,1663321.067
PF02/0015/L781A,VR,45.519037,11.095033,52.0,5042765.797,1663653.288
PF03/0015/L781A,VR,45.513905,11.095347,52.0,5042196.321,1663692.715
PF05/0015/L781A,VR,45.516797,11.100985,50.0,5042529.125,1664124.671
PF06/0015/L781A,VR,45.516215,11.096004,52.0,5042454.35,1663737.287
PF07/0015/L781A,VR,45.513075,11.100153,12.0,5042113.918,1664070.49
PF01/0016/L781A,VR,45.519066,11.106483,8.0,5042792.43,1664547.47
PF02/0016/L781A,VR,45.521605,11.107499,52.0,5043076.572,1664619.397
PF03/0016/L781A,VR,45.516786,11.109752,52.0,5042545.872,1664809.446
PF04/0016/L781A,VR,45.522025,11.111337,50.0,5043131.164,1664917.932
PF05/0016/L781A,VR,45.519506,11.112104,52.0,5042852.891,1664985.209
PF02/0017/L781A,VR,45.516056,11.105871,52.0,5042456.789,1664508.404
PF03/0017/L781A,VR,45.518383,11.106669,12.0,5042717.0,1664563.98
PF01/0018/L781A,VR,45.512269,11.086347,52.0,5041996.275,1662994.464
PF02/0018/L781A,VR,45.510899,11.088329,52.0,5041848.028,1663153.203
PF01/0019/L781A,VR,45.514868,11.103249,50.0,5042319.499,1664307.095
PF02/0019/L781A,VR,45.512611,11.108327,52.0,5042079.107,1664710.299
PF03/0019/L781A,VR,45.511545,11.105313,12.0,5041954.55,1664478.0
PF01/0020/L781A,VR,45.50782,11.092734,50.0,5041514.995,1663506.231
PF05/0020/L781A,VR,45.508444,11.08538,50.0,5041569.304,1662929.935
PF06/0020/L781A,VR,45.506302,11.093834,50.0,5041348.609,1663596.5
PF07/0020/L781A,VR,45.508485,11.085253,12.0,5041573.611,1662919.917
PF01/0021/L781A,VR,45.509252,11.106169,54.0,5041701.531,1664551.57
