identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF08/0003/A040,VT,42.792548,11.935452,21.0,99971.413,-47893.475
PF02/0005/A040,VT,42.791535,11.9391,12.0,99869.324,-47591.191
PF07/0005/A040,VT,42.789568,11.941567,12.0,99657.899,-47381.742
PF10/0005/A040,VT,42.792527,11.942623,21.0,99989.568,-47306.832
PF04/0008/A040,VT,42.790884,11.886204,12.0,99647.438,-51915.207
PF05/0008/A040,VT,42.791207,11.892301,21.0,99700.469,-51417.734
PF02/0009/A040,VT,42.785195,11.886281,20.0,99015.851,-51887.258
PF01/0010/A040,VT,42.790428,11.900465,12.0,99636.934,-50747.014
PF02/0010/A040,VT,42.782884,11.900557,12.0,98799.313,-50710.662
PF03/0010/A040,VT,42.787292,11.898819,12.0,99283.99,-50869.683
PF06/0010/A040,VT,42.793093,11.904586,12.0,99944.493,-50420.16
PF08/0010/A040,VT,42.793262,11.90086,21.0,99952.74,-50725.547
PF01/0012/A040,VT,42.787024,11.912641,12.0,99293.15,-49738.004
PF05/0012/A040,VT,42.786571,11.921864,12.0,99268.944,-48981.808
PF06/0012/A040,VT,42.781985,11.911567,21.0,98730.488,-49806.527
PF03/0013/A040,VT,42.78424,11.92967,21.0,99032.275,-48334.324
PF05/0014/A040,VT,42.784926,11.936722,12.0,99128.499,-47760.088
PF06/0014/A040,VT,42.787098,11.934793,21.0,99364.268,-47926.33
PF01/0015/A040,VT,42.785469,11.957303,12.0,99247.754,-46078.665
PF02/0015/A040,VT,42.789,11.952097,12.0,99624.892,-46518.255
PF09/0016/A040,VT,42.777987,11.976343,21.0,98471.612,-44491.784
PF01/0017/A040,VT,42.77614,11.914022,12.0,98088.392,-49583.276
PF06/0017/A040,VT,42.7774,11.922451,21.0,98252.134,-48898.497
PF01/0018/A040,VT,42.779721,11.926064,12.0,98520.181,-48611.859
PF20/0018/A040,VT,42.776484,11.937876,20.0,98194.256,-47633.052
PF17/0019/A040,VT,42.772381,11.95639,20.0,97791.534,-46102.332
PF07/0020/A040,VT,42.772509,11.916187,21.0,97691.173,-49392.177
PF03/0021/A040,VT,42.769779,11.935099,20.0,97441.743,-47834.278
PF04/0022/A040,VT,42.763006,11.91933,20.0,96644.748,-49098.514
PF04/0023/A040,VT,42.762948,11.93541,21.0,96684.029,-47782.438
PF02/0025/A040,VT,42.762581,11.977562,12.0,96764.126,-44331.673
PF03/0025/A040,VT,42.76078,11.95851,21.0,96509.23,-45883.714
PF01/0026/A040,VT,42.75554,11.917289,12.0,95809.836,-49236.868
PF02/0026/A040,VT,42.760611,11.912885,12.0,96360.5,-49616.675
PF05/0026/A040,VT,42.748497,11.916456,21.0,95025.224,-49277.997
PF07/0027/A040,VT,42.759287,11.921797,12.0,96238.7,-48882.288
PF08/0027/A040,VT,42.75025,11.925995,21.0,95247.031,-48503.969
PF01/0028/A040,VT,42.758986,11.951596,12.0,96290.231,-46442.548
PF04/0028/A040,VT,42.752856,11.947775,12.0,95598.497,-46731.414
PF05/0028/A040,VT,42.755908,11.934293,12.0,95899.015,-47846.64
PF09/0028/A040,VT,42.755117,11.931331,21.0,95802.696,-48086.002
PF03/0029/A040,VT,42.747899,11.953058,21.0,95063.066,-46279.791
PF10/0030/A040,VT,42.7547,11.964767,21.0,95851.981,-45347.874
PF11/0030/A040,VT,42.747611,11.975913,21.0,95096.834,-44407.888
PF02/0031/A040,VT,42.742042,11.916057,12.0,94307.256,-49285.835
PF03/0031/A040,VT,42.738909,11.915932,12.0,93958.953,-49284.072
PF04/0031/A040,VT,42.740188,11.918494,12.0,94108.249,-49079.201
PF08/0031/A040,VT,42.745807,11.916297,12.0,94726.058,-49280.629
PF09/0031/A040,VT,42.745096,11.913308,21.0,94638.694,-49522.607
PF01/0032/A040,VT,42.737378,11.923581,12.0,93810.586,-48652.008
PF02/0032/A040,VT,42.738802,11.920517,12.0,93960.05,-48908.29
PF04/0032/A040,VT,42.740668,11.925212,12.0,94180.687,-48531.124
PF05/0032/A040,VT,42.747584,11.924373,12.0,94946.266,-48626.472
PF08/0032/A040,VT,42.73618,11.921024,21.0,93670.275,-48856.733
PF02/0033/A040,VT,42.747305,11.935669,12.0,94947.453,-47700.789
PF03/0033/A040,VT,42.739898,11.933529,21.0,94118.795,-47847.309
PF01/0034/A040,VT,42.741222,11.946202,12.0,94302.006,-46815.023
PF05/0034/A040,VT,42.750089,11.938386,12.0,95264.394,-47489.179
PF06/0034/A040,VT,42.74826,11.940382,12.0,95066.91,-47318.683
PF07/0034/A040,VT,42.744169,11.946959,21.0,94631.398,-46764.497
PF06/0035/A040,VT,42.73779,11.952958,21.0,93940.111,-46248.625
PF06/0036/A040,VT,42.733613,11.981599,21.0,93558.698,-43887.561
PF07/0037/A040,VT,42.732411,12.020816,21.0,93539.498,-40672.125
PF01/0038/A040,VT,42.726013,12.034522,20.0,92869.128,-39524.375
PF02/0039/A040,VT,42.731493,11.917669,12.0,93140.35,-49113.4
PF07/0039/A040,VT,42.726452,11.912969,12.0,92567.15,-49478.8
PF13/0039/A040,VT,42.727835,11.926339,12.0,92758.6,-48389.4
