identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A043,VV,38.560064,16.124209,6.0,-64297.43,-21280.24
PF02/0001/A043,VV,38.558169,16.118245,50.0,-64506.317,-21800.505
PF05/0001/A043,VV,38.559066,16.127725,50.0,-64408.959,-20974.085
PF02/0002/A043,VV,38.555851,16.135081,50.0,-64767.453,-20333.945
PF03/0002/A043,VV,38.557669,16.138108,60.0,-64566.328,-20069.62
PF04/0002/A043,VV,38.557568,16.132723,50.0,-64576.357,-20538.899
PF05/0002/A043,VV,38.560461,16.136234,50.0,-64256.03,-20232.117
PF06/0002/A043,VV,38.559682,16.138364,50.0,-64342.907,-20046.758
PF07/0002/A043,VV,38.55866,16.135849,50.0,-64455.862,-20266.224
PF08/0002/A043,VV,38.560791,16.129463,50.0,-64217.92,-20822.085
PF09/0002/A043,VV,38.558045,16.130064,50.0,-64522.854,-20770.562
PF10/0002/A043,VV,38.55541,16.130121,50.0,-64815.318,-20766.319
PF11/0002/A043,VV,38.554635,16.133378,50.0,-64902.067,-20482.675
PF12/0002/A043,VV,38.555939,16.141827,50.0,-64759.209,-19745.949
PF03/0003/A043,VV,38.551982,16.099288,50.0,-65188.365,-23454.718
PF04/0003/A043,VV,38.553305,16.105925,50.0,-65043.198,-22875.834
PF01/0005/A043,VV,38.556226,16.114826,50.0,-64721.15,-22099.085
PF01/0006/A043,VV,38.550445,16.102711,6.0,-65359.85,-23156.86
PF02/0006/A043,VV,38.549452,16.103053,52.0,-65470.145,-23127.326
PF03/0006/A043,VV,38.548709,16.105861,50.0,-65553.333,-22882.79
PF04/0006/A043,VV,38.550535,16.105024,50.0,-65350.434,-22955.227
PF05/0006/A043,VV,38.549626,16.099638,50.0,-65449.951,-23424.994
PF01/0007/A043,VV,38.549023,16.108409,50.0,-65519.108,-22660.664
PF02/0007/A043,VV,38.550137,16.111773,50.0,-65396.29,-22367.05
PF03/0007/A043,VV,38.546575,16.109503,50.0,-65791.073,-22566.083
PF01/0008/A043,VV,38.546106,16.1171,10.0,-65845.0,-21904.0
PF02/0008/A043,VV,38.544583,16.112368,50.0,-66012.912,-22316.93
PF02/0009/A043,VV,38.547704,16.114383,10.0,-65667.0,-22140.3
PF03/0009/A043,VV,38.54881,16.117836,10.0,-65545.0,-21839.0
PF01/0010/A043,VV,38.549265,16.125148,50.0,-65496.199,-21201.515
